    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -12.10537 -12.08201 -12.05545 -12.01554 -11.98097 -11.94133 -11.87859 -11.82302
 -11.76107 -11.66717 -11.58530 -11.49243 -11.34744 -11.21838 -11.07107 -10.84071
 -10.63561 -10.40320 -10.05823  -9.77675  -9.48677  -9.09655  -8.79736  -8.49634
 -12.28704 -12.27082 -12.25192 -12.22300 -12.19757 -12.16800 -12.12158 -12.08057
 -12.03433 -11.96425 -11.90280 -11.83210 -11.72179 -11.62338 -11.50935 -11.32530
 -11.15334 -10.94868 -10.63273 -10.36744 -10.08780  -9.70567  -9.40875  -9.10772
 -12.50281 -12.49234 -12.48043 -12.46262 -12.44667 -12.42734 -12.39652 -12.36938
 -12.33890 -12.29254 -12.25122 -12.20286 -12.12760 -12.05980 -11.97873 -11.84261
 -11.71028 -11.54717 -11.28389 -11.05226 -10.79880 -10.44428 -10.15670  -9.85567
 -12.63941 -12.63181 -12.62377 -12.61145 -12.60005 -12.58647 -12.56404 -12.54400
 -12.52205 -12.48815 -12.45734 -12.42125 -12.36414 -12.31146 -12.24714 -12.13433
 -12.01941 -11.87285 -11.63051 -11.41382 -11.17451 -10.84028 -10.56054 -10.25951
 -12.77513 -12.77039 -12.76524 -12.75654 -12.74867 -12.74026 -12.72628 -12.71335
 -12.69924 -12.67702 -12.65628 -12.63160 -12.59227 -12.55484 -12.50663 -12.41726
 -12.32158 -12.19496 -11.98084 -11.78503 -11.56486 -11.26108 -10.99365 -10.69262
