    3   16   25    1    3     /LITHIUM            /GCR PROJECT      
--------------------------------------------------------------------------------
    1    2    1    1                                                            
--------------------------------------------------------------------------------
   8.00000   8.69897   9.00000   9.69897  10.00000  10.69897  11.00000  11.69897
  12.00000  12.69897  13.00000  13.69897  14.00000  14.69897  15.00000  15.69897
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.47732   0.69917   0.84530
   1.00020   1.30123   1.47732   1.60226   1.69917   1.77835   1.84530   1.95444
   2.00020   2.47732   2.69917   2.84530   3.00020   3.47732   3.69917   3.84530
   4.00020
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 11/11/02
 -12.02214 -11.97143 -11.94413 -11.85814 -11.81144 -11.67426 -11.60278 -11.39276
 -11.28279 -10.97710 -10.81355 -10.31011 -10.04681  -9.38496  -9.08766  -8.38869
 -12.18686 -12.15291 -12.13387 -12.07668 -12.04419 -11.94625 -11.89493 -11.74443
 -11.66569 -11.43932 -11.31055 -10.88485 -10.64975 -10.03079  -9.74146  -9.04249
 -12.38609 -12.36527 -12.35378 -12.31763 -12.29758 -12.23869 -12.20649 -12.11160
 -12.06129 -11.90699 -11.81074 -11.47862 -11.29127 -10.77956 -10.51158  -9.81261
 -12.51273 -12.49878 -12.49084 -12.46509 -12.45108 -12.40908 -12.38621 -12.31798
 -12.28119 -12.16501 -12.08998 -11.83090 -11.68540 -11.26908 -11.02043 -10.32146
 -12.64604 -12.63688 -12.63152 -12.61519 -12.60543 -12.57651 -12.56100 -12.51606
 -12.49064 -12.40711 -12.35193 -12.16967 -12.06882 -11.75070 -11.52136 -10.82239
 -13.05131 -13.05200 -13.05152 -13.04683 -13.04487 -13.04150 -13.03992 -13.03205
 -13.02925 -13.01681 -13.01161 -13.02514 -13.02873 -12.91614 -12.72649 -12.02752
 -13.25009 -13.25008 -13.25003 -13.24974 -13.24995 -13.25049 -13.25077 -13.25298
 -13.25416 -13.26155 -13.27207 -13.34263 -13.37029 -13.30591 -13.12986 -12.43089
 -13.36851 -13.36887 -13.36957 -13.37045 -13.37120 -13.37368 -13.37535 -13.38159
 -13.38599 -13.40562 -13.42579 -13.52335 -13.55977 -13.52849 -13.36676 -12.66779
 -13.41704 -13.41785 -13.41882 -13.42032 -13.42099 -13.42495 -13.42729 -13.43556
