   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 20/12/00
 -72.94620 -72.94620 -72.94620 -72.94620 -72.94620 -72.94619 -72.94623 -72.94620
 -72.94609 -72.94660 -72.94620 -72.94460 -72.95176 -72.94620 -72.92394 -73.02381
 -72.94621 -72.63557 -74.00000 -72.94656 -65.84983 -60.38342 -62.13771 -64.70756
 -47.80574 -47.80574 -47.80574 -47.80574 -47.80574 -47.80575 -47.80574 -47.80574
 -47.80577 -47.80565 -47.80574 -47.80613 -47.80441 -47.80574 -47.81109 -47.78710
 -47.80571 -47.88023 -47.54552 -47.80589 -49.51126 -50.82566 -50.40546 -49.78937
 -40.99026 -40.99026 -40.99026 -40.99026 -40.99026 -40.99026 -40.99026 -40.99026
 -40.99025 -40.99027 -40.99026 -40.99020 -40.99045 -40.99025 -40.98945 -40.99309
 -40.99043 -40.97954 -41.03031 -40.99220 -40.73868 -40.54952 -40.62179 -40.72387
 -36.35246 -36.35246 -36.35246 -36.35246 -36.35246 -36.35246 -36.35246 -36.35246
 -36.35246 -36.35245 -36.35246 -36.35248 -36.35244 -36.35247 -36.35261 -36.35200
 -36.35349 -36.35740 -36.34512 -36.36029 -36.44158 -36.52047 -36.52659 -36.52526
 -33.37147 -33.37147 -33.37147 -33.37147 -33.37147 -33.37147 -33.37147 -33.37147
 -33.37147 -33.37148 -33.37147 -33.37142 -33.37144 -33.37141 -33.37129 -33.37227
 -33.37268 -33.37211 -33.38139 -33.38594 -33.37641 -33.40386 -33.46233 -33.52595
