    6   24   30    1    6     /CARBON             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    1    1                                             
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 04/11/99
 -42.52693 -42.52214 -42.50297 -42.58897 -42.52213 -42.08656 -41.77006 -41.84631
 -41.86066 -41.84118 -41.84609 -41.84698 -41.84575 -41.84608 -41.84609 -41.84731
 -41.84800 -41.84778 -41.86022 -41.86165 -41.85038 -41.99031 -41.94470 -41.64367
 -36.16919 -36.17082 -36.17737 -36.14799 -36.17084 -36.31968 -36.42783 -36.40177
 -36.39687 -36.40352 -36.40183 -36.40151 -36.40198 -36.40185 -36.40185 -36.40319
 -36.40376 -36.40354 -36.41640 -36.41832 -36.40831 -36.55691 -36.51671 -36.21568
 -31.97658 -31.97633 -31.97536 -31.97974 -31.97627 -31.95393 -31.93770 -31.94160
 -31.94233 -31.94136 -31.94166 -31.94175 -31.94147 -31.94158 -31.94251 -31.94392
 -31.94402 -31.94439 -31.95863 -31.96045 -31.94947 -32.10618 -32.07226 -31.77123
 -30.01729 -30.01736 -30.01763 -30.01646 -30.01763 -30.02429 -30.02908 -30.02795
 -30.02776 -30.02791 -30.02769 -30.02770 -30.02767 -30.02803 -30.02942 -30.03102
 -30.03119 -30.03244 -30.04972 -30.05410 -30.04662 -30.22717 -30.20833 -29.90730
 -28.57088 -28.57082 -28.57068 -28.57132 -28.57126 -28.56922 -28.56768 -28.56799
 -28.56793 -28.56846 -28.56916 -28.56914 -28.56907 -28.56931 -28.56974 -28.57284
 -28.57587 -28.57926 -28.60313 -28.61561 -28.61907 -28.83918 -28.84295 -28.54192
 -27.39300 -27.39311 -27.39314 -27.39305 -27.39307 -27.39336 -27.39375 -27.39380
 -27.39368 -27.39446 -27.39548 -27.39593 -27.39623 -27.39672 -27.39796 -27.40326
 -27.40930 -27.41781 -27.45478 -27.48217 -27.50477 -27.76383 -27.78596 -27.48493
 -26.77661 -26.77703 -26.77706 -26.77706 -26.77705 -26.77682 -26.77713 -26.77761
 -26.77757 -26.77749 -26.77777 -26.77833 -26.77979 -26.78121 -26.78288 -26.78918
 -26.79772 -26.81119 -26.85728 -26.89444 -26.93090 -27.21049 -27.24026 -26.93923
 -26.12630 -26.12647 -26.12648 -26.12646 -26.12646 -26.12645 -26.12680 -26.12729
 -26.12772 -26.12825 -26.12877 -26.12951 -26.13110 -26.13278 -26.13532 -26.14419
 -26.15601 -26.17427 -26.23087 -26.27873 -26.32656 -26.62061 -26.65555 -26.35452
 -25.56999 -25.57006 -25.57007 -25.57006 -25.57007 -25.57013 -25.56981 -25.56994
 -25.57123 -25.57217 -25.57229 -25.57328 -25.57500 -25.57682 -25.58050 -25.59176
 -25.60542 -25.62560 -25.68735 -25.74153 -25.79553 -26.08686 -26.11730 -25.81627
 -25.31717 -25.31769 -25.31772 -25.31762 -25.31765 -25.31763 -25.31775 -25.31794
 -25.31816 -25.31902 -25.31995 -25.32071 -25.32236 -25.32482 -25.32902 -25.33998
 -25.35360 -25.37500 -25.43720 -25.49125 -25.54598 -25.83000 -25.85478 -25.55375
 -25.12180 -25.12199 -25.12214 -25.12224 -25.12220 -25.12213 -25.12250 -25.12294
 -25.12304 -25.12317 -25.12382 -25.12523 -25.12758 -25.12992 -25.13383 -25.14481
 -25.15852 -25.17942 -25.24010 -25.29328 -25.34730 -25.62237 -25.64112 -25.34009
 -24.96759 -24.96780 -24.96798 -24.96807 -24.96805 -24.96802 -24.96816 -24.96824
 -24.96821 -24.96962 -24.97109 -24.97144 -24.97294 -24.97573 -24.97973 -24.99013
 -25.00312 -25.02317 -25.08184 -25.13321 -25.18508 -25.44922 -25.46127 -25.16024
 -24.89176 -24.89167 -24.89160 -24.89158 -24.89158 -24.89156 -24.89166 -24.89152
 -24.89102 -24.89241 -24.89428 -24.89471 -24.89585 -24.89842 -24.90262 -24.91318
 -24.92584 -24.94513 -25.00182 -25.05140 -25.10152 -25.35992 -25.36867 -25.06764
 -24.81920 -24.81887 -24.81883 -24.81892 -24.81890 -24.81894 -24.81877 -24.81893
 -24.81978 -24.81929 -24.81896 -24.82125 -24.82356 -24.82524 -24.83041 -24.84166
 -24.85344 -24.87160 -24.92425 -24.96989 -25.01736 -25.26995 -25.27545 -24.97442
 -24.76981 -24.76987 -24.76989 -24.76985 -24.76985 -24.76989 -24.76971 -24.76985
 -24.77079 -24.77204 -24.77263 -24.77333 -24.77545 -24.77801 -24.78137 -24.78985
 -24.80048 -24.81729 -24.86826 -24.91184 -24.95508 -25.19926 -25.20113 -24.90010
 -24.75899 -24.75906 -24.75905 -24.75908 -24.75913 -24.75911 -24.75925 -24.75914
 -24.75860 -24.76010 -24.76174 -24.76130 -24.76248 -24.76554 -24.76882 -24.77705
 -24.78724 -24.80268 -24.85098 -24.89193 -24.93177 -25.17173 -25.17226 -24.87123
 -24.75513 -24.75523 -24.75532 -24.75514 -24.75492 -24.75488 -24.75495 -24.75492
 -24.75487 -24.75556 -24.75656 -24.75740 -24.75840 -24.75992 -24.76333 -24.77249
 -24.78256 -24.79661 -24.84027 -24.87695 -24.91374 -25.14942 -25.14797 -24.84694
 -24.76748 -24.76745 -24.76718 -24.76785 -24.76878 -24.76889 -24.76872 -24.76878
 -24.76882 -24.76860 -24.76862 -24.76934 -24.77078 -24.77253 -24.77585 -24.78436
 -24.79326 -24.80538 -24.84675 -24.88164 -24.91526 -25.14300 -25.13764 -24.83661
 -24.73387 -24.73392 -24.73442 -24.73584 -24.73680 -24.73691 -24.73676 -24.73680
 -24.73679 -24.73689 -24.73686 -24.73650 -24.73697 -24.73899 -24.74287 -24.75117
 -24.75895 -24.76950 -24.80806 -24.83980 -24.86909 -25.09134 -25.08422 -24.78319
 -24.86628 -24.86654 -24.86821 -24.86941 -24.86910 -24.86905 -24.86913 -24.86910
 -24.86909 -24.86915 -24.86910 -24.86893 -24.86989 -24.87168 -24.87424 -24.88197
 -24.89016 -24.90020 -24.93703 -24.96666 -24.99289 -25.21211 -25.20434 -24.90331
 -25.19906 -25.19931 -25.20099 -25.20218 -25.20188 -25.20182 -25.20190 -25.20188
 -25.20186 -25.20192 -25.20188 -25.20171 -25.20267 -25.20445 -25.20702 -25.21474
 -25.22294 -25.23297 -25.26981 -25.29943 -25.32567 -25.54488 -25.53711 -25.23608
 -25.41825 -25.41851 -25.42018 -25.42138 -25.42107 -25.42101 -25.42109 -25.42107
 -25.42105 -25.42111 -25.42107 -25.42090 -25.42186 -25.42365 -25.42621 -25.43394
 -25.44213 -25.45217 -25.48900 -25.51862 -25.54486 -25.76407 -25.75630 -25.45527
 -25.65060 -25.65086 -25.65253 -25.65373 -25.65342 -25.65337 -25.65345 -25.65342
 -25.65341 -25.65347 -25.65342 -25.65325 -25.65421 -25.65600 -25.65856 -25.66629
 -25.67448 -25.68452 -25.72135 -25.75097 -25.77721 -25.99643 -25.98866 -25.68763
 -25.91474 -25.91500 -25.91667 -25.91787 -25.91756 -25.91750 -25.91758 -25.91756
 -25.91754 -25.91760 -25.91756 -25.91739 -25.91835 -25.92014 -25.92270 -25.93043
 -25.93862 -25.94866 -25.98549 -26.01511 -26.04135 -26.26056 -26.25279 -25.95176
 -26.10215 -26.10240 -26.10408 -26.10527 -26.10497 -26.10491 -26.10499 -26.10497
 -26.10495 -26.10501 -26.10497 -26.10480 -26.10576 -26.10754 -26.11011 -26.11783
 -26.12603 -26.13606 -26.17290 -26.20252 -26.22876 -26.44797 -26.44020 -26.13917
 -26.36628 -26.36654 -26.36821 -26.36941 -26.36910 -26.36905 -26.36913 -26.36910
 -26.36909 -26.36915 -26.36910 -26.36893 -26.36989 -26.37168 -26.37424 -26.38197
 -26.39016 -26.40020 -26.43703 -26.46666 -26.49289 -26.71211 -26.70434 -26.40331
 -26.69906 -26.69931 -26.70099 -26.70218 -26.70188 -26.70182 -26.70190 -26.70188
 -26.70186 -26.70192 -26.70188 -26.70171 -26.70267 -26.70445 -26.70702 -26.71474
 -26.72294 -26.73297 -26.76981 -26.79943 -26.82567 -27.04488 -27.03711 -26.73608
 -26.91825 -26.91851 -26.92018 -26.92138 -26.92107 -26.92101 -26.92109 -26.92107
 -26.92105 -26.92111 -26.92107 -26.92090 -26.92186 -26.92365 -26.92621 -26.93394
 -26.94213 -26.95217 -26.98900 -27.01862 -27.04486 -27.26407 -27.25630 -26.95527
 -27.15060 -27.15086 -27.15253 -27.15373 -27.15342 -27.15337 -27.15345 -27.15342
 -27.15341 -27.15347 -27.15342 -27.15325 -27.15421 -27.15600 -27.15856 -27.16629
 -27.17448 -27.18452 -27.22135 -27.25097 -27.27721 -27.49643 -27.48866 -27.18763
 -27.41474 -27.41500 -27.41667 -27.41787 -27.41756 -27.41750 -27.41758 -27.41756
 -27.41754 -27.41760 -27.41756 -27.41739 -27.41835 -27.42014 -27.42270 -27.43043
 -27.43862 -27.44866 -27.48549 -27.51511 -27.54135 -27.76056 -27.75279 -27.45176
---------------------/ IGRD= 2  / IPRT= 0  /--------/ Z1= 1   / DATE= 04/11/99
 -30.00221 -30.29956 -30.59554 -30.98945 -31.29091 -31.59489 -32.00368 -32.31720
