    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    3    4    2    2    1    2    1    1                                   
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 26/07/01
 -47.16779 -47.16806 -47.16811 -47.16804 -47.16806 -47.16806 -47.16806 -47.16806
 -47.16806 -47.16806 -47.16806 -47.16806 -47.16805 -47.16806 -47.16816 -47.16858
 -47.16805 -47.16679 -47.17413 -47.16918 -47.14865 -47.24747 -47.17746 -46.87643
 -39.92119 -39.92110 -39.92108 -39.92111 -39.92110 -39.92110 -39.92110 -39.92110
 -39.92110 -39.92110 -39.92110 -39.92111 -39.92111 -39.92111 -39.92129 -39.92276
 -39.92300 -39.92135 -39.92808 -39.92303 -39.90234 -40.00152 -39.93186 -39.63083
 -34.59683 -34.59684 -34.59684 -34.59684 -34.59684 -34.59684 -34.59684 -34.59684
 -34.59684 -34.59685 -34.59684 -34.59680 -34.59690 -34.59681 -34.59643 -34.59799
 -34.59906 -34.59810 -34.60546 -34.60099 -34.58160 -34.68612 -34.61951 -34.31848
 -32.16537 -32.16536 -32.16536 -32.16536 -32.16536 -32.16536 -32.16536 -32.16536
 -32.16537 -32.16535 -32.16536 -32.16544 -32.16553 -32.16552 -32.16550 -32.16617
 -32.16625 -32.16599 -32.17666 -32.17492 -32.15808 -32.27493 -32.21594 -31.91491
 -30.29995 -30.29995 -30.29995 -30.29995 -30.29995 -30.29996 -30.29995 -30.29995
 -30.29997 -30.29988 -30.29995 -30.30042 -30.30072 -30.30056 -30.30065 -30.30248
 -30.30384 -30.30494 -30.32059 -30.32440 -30.31455 -30.46047 -30.41867 -30.11764
 -28.73781 -28.73781 -28.73781 -28.73781 -28.73781 -28.73781 -28.73781 -28.73781
 -28.73782 -28.73778 -28.73781 -28.73803 -28.73848 -28.73867 -28.73880 -28.74135
 -28.74418 -28.74776 -28.77154 -28.78458 -28.78634 -28.96712 -28.94442 -28.64339
 -27.87336 -27.87336 -27.87336 -27.87336 -27.87336 -27.87336 -27.87336 -27.87336
 -27.87335 -27.87341 -27.87336 -27.87312 -27.87352 -27.87415 -27.87455 -27.87724
 -27.88070 -27.88607 -27.91400 -27.93192 -27.94026 -28.12878 -28.10835 -27.80732
 -26.92827 -26.92827 -26.92827 -26.92827 -26.92827 -26.92827 -26.92827 -26.92827
 -26.92828 -26.92824 -26.92827 -26.92853 -26.92891 -26.92921 -26.92984 -26.93242
 -26.93611 -26.94333 -26.97375 -26.99448 -27.00695 -27.18611 -27.15703 -26.85600
 -26.42803 -26.42803 -26.42803 -26.42803 -26.42803 -26.42803 -26.42802 -26.42803
 -26.42806 -26.42793 -26.42803 -26.42870 -26.42913 -26.42910 -26.42968 -26.43270
 -26.43678 -26.44410 -26.47451 -26.49568 -26.50808 -26.67697 -26.64079 -26.33976
 -25.76775 -25.76775 -25.76775 -25.76774 -25.76775 -25.76775 -25.76774 -25.76775
 -25.76777 -25.76766 -25.76775 -25.76825 -25.76837 -25.76849 -25.76994 -25.77403
 -25.77800 -25.78414 -25.81197 -25.83183 -25.84335 -25.99953 -25.95472 -25.65369
 -25.50415 -25.50415 -25.50415 -25.50415 -25.50415 -25.50415 -25.50414 -25.50415
 -25.50419 -25.50400 -25.50415 -25.50509 -25.50557 -25.50544 -25.50616 -25.50863
 -25.51196 -25.51896 -25.54735 -25.56638 -25.57636 -25.72749 -25.67990 -25.37887
 -25.30524 -25.30524 -25.30524 -25.30524 -25.30524 -25.30524 -25.30524 -25.30524
 -25.30523 -25.30526 -25.30525 -25.30514 -25.30515 -25.30550 -25.30640 -25.30930
 -25.31278 -25.31897 -25.34625 -25.36427 -25.37215 -25.52052 -25.47212 -25.17109
 -25.20947 -25.20947 -25.20947 -25.20947 -25.20947 -25.20947 -25.20947 -25.20947
 -25.20947 -25.20947 -25.20943 -25.20941 -25.20986 -25.21041 -25.21094 -25.21364
 -25.21716 -25.22290 -25.24929 -25.26675 -25.27415 -25.42153 -25.37263 -25.07160
 -25.12193 -25.12193 -25.12193 -25.12193 -25.12193 -25.12193 -25.12193 -25.12193
 -25.12191 -25.12202 -25.12212 -25.12205 -25.12212 -25.12242 -25.12302 -25.12542
 -25.12844 -25.13385 -25.15898 -25.17534 -25.18257 -25.32917 -25.27960 -24.97857
 -25.06696 -25.06696 -25.06696 -25.06696 -25.06696 -25.06695 -25.06696 -25.06696
 -25.06693 -25.06705 -25.06727 -25.06749 -25.06748 -25.06747 -25.06802 -25.07038
 -25.07293 -25.07728 -25.10101 -25.11617 -25.12173 -25.26817 -25.21931 -24.91828
 -25.05527 -25.05527 -25.05527 -25.05527 -25.05527 -25.05527 -25.05527 -25.05527
 -25.05529 -25.05521 -25.05521 -25.05543 -25.05568 -25.05576 -25.05607 -25.05814
 -25.06049 -25.06428 -25.08678 -25.10081 -25.10541 -25.25192 -25.20349 -24.90246
 -25.05168 -25.05168 -25.05168 -25.05168 -25.05168 -25.05168 -25.05168 -25.05168
 -25.05167 -25.05172 -25.05170 -25.05155 -25.05175 -25.05217 -25.05259 -25.05449
 -25.05644 -25.05949 -25.08064 -25.09354 -25.09723 -25.24412 -25.19631 -24.89528
 -25.06838 -25.06838 -25.06838 -25.06838 -25.06838 -25.06838 -25.06837 -25.06838
 -25.06839 -25.06834 -25.06837 -25.06858 -25.06876 -25.06888 -25.06931 -25.07112
 -25.07269 -25.07523 -25.09487 -25.10633 -25.10915 -25.25644 -25.20916 -24.90813
 -25.04207 -25.04207 -25.04207 -25.04207 -25.04207 -25.04207 -25.04207 -25.04207
 -25.04208 -25.04204 -25.04207 -25.04231 -25.04251 -25.04259 -25.04292 -25.04440
 -25.04572 -25.04806 -25.06657 -25.07658 -25.07825 -25.22616 -25.17971 -24.87868
 -25.17896 -25.17896 -25.17896 -25.17896 -25.17896 -25.17896 -25.17896 -25.17896
 -25.17896 -25.17897 -25.17896 -25.17891 -25.17917 -25.17948 -25.17967 -25.18090
 -25.18212 -25.18422 -25.20223 -25.21163 -25.21251 -25.36051 -25.31452 -25.01349
 -25.51173 -25.51173 -25.51173 -25.51173 -25.51173 -25.51173 -25.51173 -25.51173
 -25.51173 -25.51175 -25.51173 -25.51168 -25.51194 -25.51226 -25.51244 -25.51367
 -25.51489 -25.51699 -25.53501 -25.54440 -25.54528 -25.69328 -25.64729 -25.34626
 -25.73093 -25.73093 -25.73092 -25.73093 -25.73093 -25.73092 -25.73093 -25.73093
 -25.73092 -25.73094 -25.73093 -25.73088 -25.73114 -25.73145 -25.73163 -25.73287
 -25.73408 -25.73618 -25.75420 -25.76359 -25.76447 -25.91247 -25.86648 -25.56545
 -25.96328 -25.96328 -25.96328 -25.96328 -25.96328 -25.96328 -25.96328 -25.96328
 -25.96327 -25.96329 -25.96328 -25.96323 -25.96349 -25.96380 -25.96399 -25.96522
 -25.96644 -25.96853 -25.98655 -25.99595 -25.99683 -26.14483 -26.09884 -25.79781
 -26.22741 -26.22741 -26.22741 -26.22741 -26.22741 -26.22741 -26.22742 -26.22741
 -26.22741 -26.22743 -26.22741 -26.22737 -26.22763 -26.22794 -26.22812 -26.22936
 -26.23057 -26.23267 -26.25069 -26.26008 -26.26096 -26.40896 -26.36297 -26.06194
 -26.41482 -26.41482 -26.41482 -26.41482 -26.41482 -26.41482 -26.41482 -26.41482
 -26.41482 -26.41484 -26.41482 -26.41477 -26.41503 -26.41535 -26.41553 -26.41676
 -26.41798 -26.42008 -26.43810 -26.44749 -26.44837 -26.59637 -26.55038 -26.24935
 -26.67896 -26.67896 -26.67896 -26.67896 -26.67896 -26.67896 -26.67896 -26.67896
 -26.67896 -26.67897 -26.67896 -26.67891 -26.67917 -26.67948 -26.67967 -26.68090
 -26.68212 -26.68422 -26.70223 -26.71163 -26.71251 -26.86051 -26.81452 -26.51349
 -27.01173 -27.01173 -27.01173 -27.01173 -27.01173 -27.01173 -27.01173 -27.01173
