    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -29.66818 -29.64799 -29.62371 -29.58729 -29.55621 -29.52020 -29.46271 -29.41122
 -29.35314 -29.26562 -29.18986 -29.10384 -28.96979 -28.85121 -28.71742 -28.51507
 -28.34022 -28.14492 -27.85912 -27.62514 -27.38035 -27.06292 -26.83178 -26.60188
 -29.82700 -29.81356 -29.79615 -29.76979 -29.74771 -29.72209 -29.68029 -29.64265
 -29.60062 -29.53581 -29.47871 -29.41434 -29.31473 -29.22593 -29.12410 -28.96881
 -28.83265 -28.67700 -28.44466 -28.24712 -28.02913 -27.73304 -27.51179 -27.29096
 -30.01357 -30.00525 -29.99543 -29.97879 -29.96393 -29.94790 -29.92124 -29.89611
 -29.86782 -29.82592 -29.78894 -29.74500 -29.67642 -29.61610 -29.54711 -29.44044
 -29.34555 -29.23622 -29.06961 -28.92057 -28.74628 -28.50340 -28.32124 -28.13935
 -30.12813 -30.12177 -30.11412 -30.10275 -30.09281 -30.08074 -30.06095 -30.04279
 -30.02191 -29.99185 -29.96561 -29.93331 -29.88182 -29.83642 -29.78471 -29.70463
 -29.63282 -29.54913 -29.41876 -29.29847 -29.15514 -28.96267 -28.82488 -28.68822
 -30.23798 -30.23365 -30.22917 -30.22212 -30.21535 -30.20719 -30.19441 -30.18298
 -30.16958 -30.14857 -30.12963 -30.10743 -30.07278 -30.04199 -30.00635 -29.95003
 -29.89916 -29.83982 -29.74391 -29.65221 -29.54267 -29.40408 -29.31171 -29.22108
