    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -58.54737 -58.46334 -58.37807 -58.26374 -58.17604 -58.08658 -57.96405 -57.86660
 -57.76399 -57.62156 -57.50730 -57.38524 -57.21599 -57.08875 -56.97041 -56.84296
 -56.76615 -56.68875 -56.52839 -56.36544 -56.20439 -56.04124 -55.95226 -55.86794
 -42.18558 -42.12922 -42.06996 -41.98679 -41.92005 -41.84997 -41.75203 -41.67314
 -41.58916 -41.47011 -41.37389 -41.27257 -41.13440 -41.03217 -40.93774 -40.82874
 -40.73624 -40.60120 -40.33461 -40.10711 -39.91511 -39.72779 -39.61771 -39.51179
 -28.47676 -28.45242 -28.42445 -28.38241 -28.34662 -28.30660 -28.24644 -28.19547
 -28.13994 -28.05799 -27.98969 -27.91718 -27.81599 -27.73972 -27.66785 -27.56865
 -27.45661 -27.28083 -26.99918 -26.80279 -26.65663 -26.51469 -26.42272 -26.33270
 -22.64716 -22.63369 -22.61808 -22.59402 -22.57281 -22.54839 -22.51015 -22.47711
 -22.44094 -22.38364 -22.33347 -22.28016 -22.20137 -22.13921 -22.07883 -21.97342
 -21.84465 -21.66034 -21.40699 -21.25551 -21.15290 -21.05622 -20.99130 -20.92734
 -18.20888 -18.20104 -18.19199 -18.17783 -18.16514 -18.15039 -18.12650 -18.10513
 -18.08126 -18.04299 -18.00816 -17.96900 -17.91171 -17.86624 -17.81693 -17.71196
 -17.58647 -17.42826 -17.24663 -17.15685 -17.09835 -17.04157 -17.00184 -16.96230
