    4   24   25    1    4     /BERYLLIUM          /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    2    1    1                                                       
--------------------------------------------------------------------------------
   4.00000   4.47712   5.00000   5.47712   6.00000   6.47712   7.00000   7.47712
   8.00000   8.47712   9.00000   9.47712  10.00000  10.47712  11.00000  11.47712
  12.00000  12.47712  13.00000  13.47712  14.00000  14.47712  15.00000  15.47712
  -0.69877  -0.52268  -0.30083  -0.15470   0.07938   0.30123   0.47732   0.65341
   0.84530   1.04159   1.25547   1.44736   1.65341   1.84530   2.00020   2.23065
   2.43157   2.63367   2.82628   3.02139   3.21690   3.39814   3.60766   3.79954
   4.00020
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 23/02/06
 -28.40669 -28.40669 -28.40669 -28.40667 -28.40666 -28.40673 -28.40676 -28.40586
 -28.40577 -28.40499 -28.40232 -28.38731 -28.34569 -28.22852 -27.91801 -27.49710
 -26.98935 -26.51976 -25.99954 -25.53793 -25.08309 -24.70966 -24.34547 -24.02247
 -21.50418 -21.50414 -21.50420 -21.50439 -21.50433 -21.50399 -21.50385 -21.50163
 -21.50137 -21.50148 -21.50190 -21.50064 -21.48719 -21.41763 -21.21071 -20.90372
 -20.51236 -20.11901 -19.65325 -19.24257 -18.84225 -18.49962 -18.15915 -17.85654
 -15.92064 -15.92066 -15.92058 -15.92031 -15.92001 -15.91967 -15.91856 -15.91784
 -15.91568 -15.91295 -15.90986 -15.90288 -15.88586 -15.83773 -15.70112 -15.48734
 -15.19732 -14.88615 -14.51231 -14.19288 -13.88081 -13.60297 -13.32217 -13.07201
 -13.50949 -13.50973 -13.50972 -13.50909 -13.50820 -13.50760 -13.50642 -13.50426
 -13.50157 -13.49742 -13.49251 -13.48487 -13.46860 -13.42857 -13.32356 -13.15957
 -12.92854 -12.67518 -12.36691 -12.10891 -11.85698 -11.63310 -11.40080 -11.19214
 -10.95707 -10.95585 -10.95493 -10.95553 -10.95527 -10.95268 -10.95089 -10.94867
 -10.94443 -10.94055 -10.93212 -10.92418 -10.90630 -10.87554 -10.80002 -10.68912
 -10.53000 -10.34692 -10.11873  -9.92776  -9.74353  -9.57949  -9.39347  -9.22219
  -9.48051  -9.48092  -9.48094  -9.47995  -9.47841  -9.47724  -9.47522  -9.47173
  -9.46861  -9.46311  -9.45847  -9.45024  -9.43429  -9.40872  -9.35252  -9.26917
  -9.15479  -9.01785  -8.84601  -8.70194  -8.55726  -8.42191  -8.26100  -8.11137
  -8.71278  -8.71240  -8.71263  -8.71382  -8.71299  -8.70949  -8.70943  -8.70558
