    6   24   30    1    6     /CARBON             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    1    1                                             
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -32.36387 -32.34288 -32.32480 -32.33879 -32.30681 -32.15096 -31.94886 -31.81804
 -31.61375 -31.26185 -30.96083 -30.63540 -30.18555 -29.84459 -29.51263 -29.08845
 -28.77604 -28.46823 -28.06606 -27.76350 -27.46147 -27.06862 -26.77620 -26.48443
 -24.10190 -24.06399 -24.02114 -23.94294 -23.89013 -23.87133 -23.82677 -23.76770
 -23.71542 -23.63966 -23.56203 -23.45954 -23.27495 -23.09828 -22.89585 -22.59649
 -22.34963 -22.08724 -21.72183 -21.43571 -21.14518 -20.76171 -20.47364 -20.18586
 -17.66093 -17.63576 -17.60710 -17.56845 -17.53396 -17.48769 -17.42093 -17.36822
 -17.30824 -17.21840 -17.14776 -17.08126 -17.00537 -16.95346 -16.89640 -16.78726
 -16.66324 -16.49659 -16.22114 -15.98093 -15.72194 -15.37039 -15.10473 -14.83914
 -14.88153 -14.85800 -14.83121 -14.79244 -14.76005 -14.72334 -14.66767 -14.62040
 -14.56901 -14.49493 -14.43723 -14.38266 -14.32050 -14.27901 -14.23502 -14.15218
 -14.05673 -13.92516 -13.69779 -13.49120 -13.26420 -12.96518 -12.74775 -12.53155
 -12.80438 -12.78381 -12.76197 -12.72868 -12.69902 -12.66545 -12.61418 -12.57023
 -12.52239 -12.45358 -12.40092 -12.35296 -12.30195 -12.26933 -12.23320 -12.16200
 -12.07904 -11.96517 -11.77076 -11.59601 -11.40692 -11.17607 -11.02148 -10.86964
 -11.13680 -11.12174 -11.10379 -11.07645 -11.05318 -11.02703 -10.98596 -10.94963
 -10.90939 -10.85123 -10.80717 -10.76780 -10.72569 -10.69741 -10.66456 -10.59952
 -10.52455 -10.42283 -10.25520 -10.11144  -9.96312  -9.79530  -9.69124  -9.59030
 -10.25898 -10.24813 -10.23495 -10.21413 -10.19585 -10.17487 -10.14128 -10.11136
 -10.07820 -10.02844  -9.99030  -9.95753  -9.92185  -9.89624  -9.86571  -9.80442
  -9.73423  -9.64049  -9.48894  -9.36207  -9.23474  -9.09656  -9.01464  -8.93579
  -9.35850  -9.35067  -9.34193  -9.32790  -9.31513  -9.30042  -9.27585  -9.25298
  -9.22706  -9.18842  -9.15901  -9.13338  -9.10431  -9.08188  -9.05358  -8.99617
  -8.93183  -8.84772  -8.71172  -8.60013  -8.49349  -8.38060  -8.31374  -8.24938
  -8.59148  -8.58758  -8.58256  -8.57289  -8.56402  -8.55491  -8.53985  -8.52477
  -8.50655  -8.47981  -8.45950  -8.44049  -8.41741  -8.39867  -8.37415  -8.32324
  -8.26566  -8.19030  -8.06939  -7.97099  -7.87752  -7.78041  -7.72435  -7.67064
  -8.22786  -8.22452  -8.22089  -8.21509  -8.20945  -8.20235  -8.19052  -8.17951
  -8.16640  -8.14564  -8.12910  -8.11418  -8.09602  -8.08038  -8.05898  -8.01406
  -7.96271  -7.89448  -7.78438  -7.69359  -7.60549  -7.51575  -7.46656  -7.41990
  -7.93118  -7.92912  -7.92590  -7.92096  -7.91718  -7.91303  -7.90543  -7.89733
  -7.88706  -7.87074  -7.85823  -7.84750  -7.83374  -7.82080  -7.80274  -7.76399
  -7.71931  -7.65954  -7.55921  -7.47478  -7.39395  -7.31069  -7.26347  -7.21837
  -7.67578  -7.67385  -7.67183  -7.66900  -7.66653  -7.66356  -7.65870  -7.65369
  -7.64679  -7.63509  -7.62586  -7.61785  -7.60715  -7.59642  -7.58094  -7.54918
  -7.51267  -7.46205  -7.37378  -7.29709  -7.22182  -7.14389  -7.10016  -7.05847
  -7.53544  -7.53353  -7.53254  -7.53113  -7.52915  -7.52650  -7.52238  -7.51858
  -7.51368  -7.50506  -7.49744  -7.48983  -7.48069  -7.47220  -7.45876  -7.43087
  -7.39898  -7.35434  -7.27430  -7.20298  -7.13186  -7.05776  -7.01620  -6.97659
  -7.38348  -7.38303  -7.38173  -7.37977  -7.37871  -7.37785  -7.37519  -7.37186
  -7.36813  -7.36221  -7.35693  -7.35131  -7.34403  -7.33702  -7.32605  -7.30314
  -7.27654  -7.23865  -7.16871  -7.10432  -7.03817  -6.96866  -6.92999  -6.89320
  -7.25230  -7.25185  -7.25145  -7.25054  -7.24959  -7.24865  -7.24693  -7.24498
  -7.24239  -7.23840  -7.23504  -7.23124  -7.22510  -7.21906  -7.21095  -7.19382
  -7.17305  -7.14296  -7.08583  -7.03071  -6.97085  -6.90572  -6.86881  -6.83358
  -7.19483  -7.19447  -7.19428  -7.19354  -7.19266  -7.19188  -7.19041  -7.18883
  -7.18705  -7.18406  -7.18125  -7.17807  -7.17310  -7.16815  -7.16124  -7.14679
  -7.12948  -7.10421  -7.05449  -7.00487  -6.94977  -6.88870  -6.85351  -6.81982
  -7.14936  -7.14924  -7.14924  -7.14882  -7.14813  -7.14731  -7.14625  -7.14531
  -7.14394  -7.14130  -7.13880  -7.13610  -7.13210  -7.12807  -7.12221  -7.10977
  -7.09479  -7.07278  -7.02892  -6.98438  -6.93387  -6.87529  -6.83951  -6.80490
  -7.10640  -7.10624  -7.10585  -7.10539  -7.10509  -7.10459  -7.10387  -7.10319
  -7.10207  -7.10003  -7.09827  -7.09639  -7.09299  -7.08937  -7.08455  -7.07420
  -7.06151  -7.04302  -7.00689  -6.96855  -6.92146  -6.86463  -6.82946  -6.79536
  -7.07906  -7.07864  -7.07840  -7.07805  -7.07773  -7.07751  -7.07695  -7.07628
  -7.07553  -7.07404  -7.07248  -7.07068  -7.06779  -7.06479  -7.06044  -7.05130
  -7.04023  -7.02388  -6.99168  -6.95647  -6.91174  -6.85752  -6.82435  -6.79226
  -7.04366  -7.04350  -7.04366  -7.04361  -7.04326  -7.04292  -7.04227  -7.04173
  -7.04133  -7.03999  -7.03846  -7.03713  -7.03529  -7.03300  -7.02917  -7.02162
  -7.01239  -6.99794  -6.97070  -6.94194  -6.90472  -6.85459  -6.81964  -6.78512
  -7.00279  -7.00303  -7.00371  -7.00406  -7.00368  -7.00313  -7.00232  -7.00197
  -7.00199  -7.00075  -6.99922  -6.99854  -6.99806  -6.99665  -6.99344  -6.98790
  -6.98093  -6.96872  -6.94768  -6.92730  -6.90007  -6.85511  -6.81736  -6.77911
  -6.97737  -6.97787  -6.97890  -6.97952  -6.97911  -6.97842  -6.97751  -6.97728
  -6.97757  -6.97641  -6.97487  -6.97462  -6.97504  -6.97420  -6.97141  -6.96718
  -6.96170  -6.95098  -6.93402  -6.91915  -6.89850  -6.85696  -6.81735  -6.77665
  -6.95129  -6.95207  -6.95346  -6.95436  -6.95393  -6.95309  -6.95207  -6.95197
  -6.95256  -6.95147  -6.94993  -6.95013  -6.95151  -6.95128  -6.94892  -6.94609
  -6.94219  -6.93304  -6.92040  -6.91139  -6.89771  -6.85978  -6.81821  -6.77491
  -6.92239  -6.92350  -6.92530  -6.92652  -6.92606  -6.92505  -6.92391  -6.92396
  -6.92487  -6.92386  -6.92232  -6.92305  -6.92550  -6.92597  -6.92411  -6.92287
  -6.92076  -6.91339  -6.90567  -6.90331  -6.89756  -6.86374  -6.81994  -6.77368
  -6.90223  -6.90356  -6.90566  -6.90710  -6.90663  -6.90550  -6.90427  -6.90442
  -6.90557  -6.90462  -6.90308  -6.90417  -6.90739  -6.90835  -6.90685  -6.90673
  -6.90590  -6.89980  -6.89556  -6.89792  -6.89780  -6.86690  -6.82151  -6.77315
  -6.87415  -6.87580  -6.87831  -6.88007  -6.87957  -6.87827  -6.87692  -6.87722
  -6.87870  -6.87784  -6.87629  -6.87790  -6.88221  -6.88386  -6.88285  -6.88432
  -6.88529  -6.88097  -6.88165  -6.89066  -6.89847  -6.87167  -6.82406  -6.77274
  -6.83914  -6.84120  -6.84423  -6.84639  -6.84585  -6.84435  -6.84284  -6.84333
  -6.84523  -6.84446  -6.84292  -6.84518  -6.85085  -6.85337  -6.85299  -6.85646
  -6.85969  -6.85762  -6.86450  -6.88189  -6.89968  -6.87807  -6.82764  -6.77260
  -6.81624  -6.81856  -6.82193  -6.82436  -6.82380  -6.82215  -6.82054  -6.82115
  -6.82333  -6.82263  -6.82109  -6.82378  -6.83034  -6.83344  -6.83348  -6.83827
  -6.84299  -6.84239  -6.85335  -6.87626  -6.90063  -6.88243  -6.83015  -6.77266
  -6.79204  -6.79464  -6.79838  -6.80109  -6.80050  -6.79871  -6.79699  -6.79773
  -6.80020  -6.79958  -6.79803  -6.80118  -6.80869  -6.81240  -6.81288  -6.81906
  -6.82536  -6.82634  -6.84162  -6.87038  -6.90173  -6.88714  -6.83290  -6.77280
  -6.76461  -6.76753  -6.77169  -6.77471  -6.77410  -6.77213  -6.77029  -6.77118
  -6.77398  -6.77344  -6.77190  -6.77556  -6.78415  -6.78856  -6.78953  -6.79730
  -6.80540  -6.80816  -6.82835  -6.86377  -6.90304  -6.89257  -6.83610  -6.77304
---------------------/ IPRT= 2  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -44.08879 -44.08880 -44.08889 -44.08838 -44.08787 -44.08796 -44.08767 -44.08675
