    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1                                        
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -39.55704 -39.61023 -39.65554 -39.66052 -39.59206 -39.44575 -39.16249 -38.90001
 -38.60217 -38.14643 -37.75896 -37.34709 -36.78006 -36.34656 -35.92122 -35.38860
 -35.01660 -34.67333 -34.25166 -33.94756 -33.65070 -33.26766 -32.98244 -32.69783
 -28.97348 -28.95397 -28.93499 -28.92227 -28.92814 -28.94815 -28.98185 -28.98822
 -28.94801 -28.77556 -28.54990 -28.26021 -27.80157 -27.41714 -27.02085 -26.51310
 -26.15485 -25.81901 -25.39432 -25.08094 -24.77388 -24.37687 -24.08072 -23.78512
 -20.57434 -20.57726 -20.58006 -20.58199 -20.58092 -20.57716 -20.57048 -20.56602
 -20.56334 -20.56327 -20.55722 -20.52849 -20.40535 -20.22515 -19.97161 -19.57517
 -19.25908 -18.94153 -18.52789 -18.22027 -17.91626 -17.52792 -17.24311 -16.95951
 -16.96804 -16.96717 -16.96631 -16.96587 -16.96609 -16.96655 -16.96793 -16.96904
 -16.96885 -16.96351 -16.95414 -16.93772 -16.88685 -16.80110 -16.65157 -16.35886
 -16.08455 -15.78808 -15.39152 -15.09709 -14.80778 -14.44255 -14.17734 -13.91362
 -14.25071 -14.25098 -14.25124 -14.25134 -14.25129 -14.25125 -14.25066 -14.24971
 -14.24868 -14.24804 -14.24578 -14.23752 -14.20765 -14.15619 -14.06230 -13.84817
 -13.62383 -13.36872 -13.01965 -12.75935 -12.50450 -12.18809 -11.96203 -11.73777
 -12.09906 -12.09904 -12.09901 -12.09915 -12.09908 -12.09851 -12.09853 -12.09857
 -12.09729 -12.09545 -12.09274 -12.08562 -12.06481 -12.03019 -11.96471 -11.80532
 -11.63080 -11.42773 -11.15285 -10.95016 -10.74978 -10.50791 -10.34187 -10.17811
 -11.00049 -11.00034 -11.00012 -11.00011 -10.99988 -10.99891 -10.99807 -10.99792
 -10.99731 -10.99508 -10.99174 -10.98573 -10.96705 -10.93663 -10.88181 -10.74685
 -10.59787 -10.42566 -10.19751 -10.03295  -9.87187  -9.68261  -9.55648  -9.43266
  -9.87582  -9.87526  -9.87489  -9.87413  -9.87348  -9.87317  -9.87211  -9.87062
  -9.86894  -9.86604  -9.86232  -9.85577  -9.83854  -9.81247  -9.76625  -9.65464
  -9.53296  -9.39361  -9.21220  -9.08502  -8.96462  -8.83168  -8.74857  -8.66781
  -8.92605  -8.92581  -8.92503  -8.92354  -8.92241  -8.92141  -8.91984  -8.91820
  -8.91601  -8.91166  -8.90699  -8.90055  -8.88448  -8.86218  -8.82567  -8.73748
  -8.64005  -8.52786  -8.38273  -8.28371  -8.19401  -8.10180  -8.04839  -7.99717
  -8.48408  -8.48374  -8.48296  -8.48160  -8.48044  -8.47910  -8.47749  -8.47612
  -8.47396  -8.46940  -8.46476  -8.45891  -8.44477  -8.42537  -8.39400  -8.31895
  -8.23489  -8.13559  -8.00522  -7.91695  -7.83934  -7.76273  -7.72012  -7.67956
  -8.12396  -8.12369  -8.12248  -8.12104  -8.12068  -8.12050  -8.11884  -8.11645
  -8.11392  -8.11093  -8.10769  -8.10177  -8.08907  -8.07354  -8.04832  -7.98570
  -7.91385  -7.82760  -7.71202  -7.63289  -7.56419  -7.49863  -7.46380  -7.43093
  -7.81304  -7.81206  -7.81067  -7.81010  -7.81033  -7.80977  -7.80794  -7.80614
  -7.80428  -7.80199  -7.79938  -7.79458  -7.78501  -7.77347  -7.75411  -7.70489
  -7.64698  -7.57537  -7.47604  -7.40652  -7.34642  -7.28907  -7.25833  -7.22929
  -7.64022  -7.63921  -7.63956  -7.63999  -7.63935  -7.63817  -7.63656  -7.63560
  -7.63468  -7.63199  -7.62902  -7.62603  -7.61968  -7.61013  -7.59317  -7.55178
  -7.50301  -7.44058  -7.35142  -7.28792  -7.23278  -7.17987  -7.15127  -7.12421
  -7.45384  -7.45414  -7.45416  -7.45329  -7.45266  -7.45283  -7.45248  -7.45163
  -7.45099  -7.44909  -7.44689  -7.44469  -7.43929  -7.43137  -7.41829  -7.38647
  -7.34742  -7.29511  -7.21818  -7.16234  -7.11325  -7.06600  -7.04062  -7.01662
  -7.29046  -7.28982  -7.28973  -7.29001  -7.28995  -7.28937  -7.28858  -7.28813
  -7.28760  -7.28668  -7.28564  -7.28401  -7.28010  -7.27471  -7.26552  -7.24162
  -7.21124  -7.16971  -7.10559  -7.05670  -7.01268  -6.96959  -6.94616  -6.92395
  -7.21612  -7.21590  -7.21585  -7.21597  -7.21592  -7.21552  -7.21485  -7.21449
  -7.21427  -7.21353  -7.21260  -7.21151  -7.20865  -7.20427  -7.19667  -7.17706
  -7.15134  -7.11479  -7.05793  -7.01383  -6.97227  -6.93014  -6.90679  -6.88458
  -7.16214  -7.16230  -7.16234  -7.16221  -7.16203  -7.16180  -7.16126  -7.16097
  -7.16109  -7.16068  -7.15982  -7.15892  -7.15649  -7.15285  -7.14678  -7.13082
  -7.10914  -7.07732  -7.02538  -6.98429  -6.94641  -6.90712  -6.88397  -6.86170
  -7.12392  -7.12373  -7.12375  -7.12359  -7.12341  -7.12349  -7.12322  -7.12287
  -7.12291  -7.12245  -7.12168  -7.12106  -7.11955  -7.11693  -7.11200  -7.09885
  -7.08070  -7.05329  -7.00640  -6.96783  -6.93157  -6.89333  -6.87051  -6.84851
