    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    3    4    2    2    1    2    1    1                                   
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -12.44636 -12.42073 -12.39130 -12.34788 -12.31113 -12.26916 -12.20296 -12.14486
 -12.08082 -11.98425 -11.90154 -11.81041 -11.66942 -11.54473 -11.40491 -11.19225
 -11.00783 -10.80269 -10.50115 -10.25272  -9.98997  -9.62541  -9.33372  -9.03269
 -12.62103 -12.60274 -12.58110 -12.54838 -12.52042 -12.48849 -12.43793 -12.39320
 -12.34361 -12.26980 -12.20644 -12.13501 -12.02421 -11.92697 -11.81806 -11.64993
 -11.49726 -11.31664 -11.03489 -10.79396 -10.53564 -10.17734  -9.88858  -9.58755
 -12.82185 -12.80960 -12.79550 -12.77476 -12.75657 -12.73461 -12.69926 -12.66806
 -12.63340 -12.58163 -12.53652 -12.48478 -12.40575 -12.33649 -12.25667 -12.12942
 -12.00729 -11.85346 -11.60390 -11.38533 -11.14740 -10.82017 -10.54480 -10.24377
 -12.94193 -12.93301 -12.92302 -12.90764 -12.89401 -12.87833 -12.85208 -12.82785
 -12.80072 -12.75962 -12.72432 -12.68507 -12.62263 -12.56650 -12.50281 -12.39717
 -12.29005 -12.15097 -11.92141 -11.71753 -11.49413 -11.19673 -10.93609 -10.63506
 -13.05821 -13.05234 -13.04585 -13.03395 -13.02329 -13.01301 -12.99495 -12.97696
 -12.95699 -12.92703 -12.90074 -12.87057 -12.82347 -12.78119 -12.73126 -12.64459
 -12.55245 -12.42847 -12.22186 -12.03641 -11.83182 -11.57898 -11.34149 -11.04046
 -13.16595 -13.16286 -13.15888 -13.15274 -13.14708 -13.13983 -13.12819 -13.11769
 -13.10532 -13.08640 -13.06902 -13.04761 -13.01555 -12.98647 -12.94870 -12.88113
 -12.80698 -12.70298 -12.52749 -12.36665 -12.18683 -11.99193 -11.78450 -11.48347
 -13.15977 -13.16434 -13.16791 -13.17120 -13.17261 -13.17294 -13.17205 -13.16977
 -13.16528 -13.15702 -13.14889 -13.13804 -13.11768 -13.09681 -13.06998 -13.01775
 -12.95640 -12.86905 -12.71930 -12.57739 -12.41583 -12.26222 -12.07605 -11.77502
 -12.94256 -12.96439 -12.98640 -13.01458 -13.03494 -13.05481 -13.08031 -13.09923
 -13.11789 -13.13973 -13.15337 -13.16482 -13.17537 -13.17794 -13.17313 -13.14772
 -13.10795 -13.04709 -12.93986 -12.83149 -12.70199 -12.60454 -12.44436 -12.14333
 -12.71566 -12.74599 -12.77855 -12.82180 -12.85412 -12.88726 -12.93169 -12.96660
 -13.00361 -13.05031 -13.08296 -13.11500 -13.15452 -13.17825 -13.19212 -13.18984
 -13.16859 -13.12884 -13.05595 -12.97557 -12.87225 -12.81577 -12.67350 -12.37247
 -12.44807 -12.48516 -12.52421 -12.57755 -12.61883 -12.66136 -12.72215 -12.77114
 -12.82092 -12.88953 -12.94427 -13.00094 -13.07593 -13.12701 -13.16664 -13.19649
 -13.20192 -13.19623 -13.18622 -13.16140 -13.11275 -13.14087 -13.03487 -12.73384
 -12.40633 -12.44433 -12.48398 -12.53805 -12.58054 -12.62507 -12.68673 -12.73669
 -12.79083 -12.86469 -12.92164 -12.98097 -13.06105 -13.11672 -13.16095 -13.19790
 -13.21131 -13.21779 -13.23265 -13.23313 -13.21453 -13.29049 -13.20428 -12.90325
 -12.44890 -12.48645 -12.52664 -12.58114 -12.62309 -12.66681 -12.72879 -12.77921
 -12.83237 -12.90534 -12.96262 -13.02225 -13.10200 -13.15728 -13.20191 -13.24155
 -13.25898 -13.27164 -13.30023 -13.31572 -13.31623 -13.42876 -13.35926 -13.05823
 -12.52094 -12.55794 -12.59780 -12.65210 -12.69356 -12.73624 -12.79804 -12.84835
 -12.89952 -12.97099 -13.02807 -13.08610 -13.16350 -13.21750 -13.26085 -13.30011
 -13.31866 -13.33341 -13.36643 -13.38676 -13.39412 -13.52167 -13.45939 -13.15836
 -12.66473 -12.70095 -12.73872 -12.79176 -12.83325 -12.87454 -12.93314 -12.98153
 -13.03206 -13.10116 -13.15510 -13.21047 -13.28362 -13.33423 -13.37555 -13.41347
 -13.43182 -13.44739 -13.48321 -13.50694 -13.51934 -13.66002 -13.60448 -13.30345
 -12.89296 -12.92742 -12.96472 -13.01652 -13.05630 -13.09627 -13.15216 -13.19786
 -13.24615 -13.31190 -13.36247 -13.41393 -13.48203 -13.52959 -13.56893 -13.60568
 -13.62344 -13.63813 -13.67454 -13.69910 -13.71139 -13.85995 -13.81023 -13.50920
 -13.06300 -13.09712 -13.13367 -13.18404 -13.22285 -13.26214 -13.31666 -13.36096
 -13.40796 -13.47129 -13.51973 -13.56956 -13.63505 -13.68056 -13.71881 -13.75547
 -13.77353 -13.78812 -13.82302 -13.84598 -13.85759 -14.00821 -13.96003 -13.65900
 -13.25409 -13.28673 -13.32209 -13.37107 -13.40888 -13.44729 -13.49990 -13.54202
 -13.58669 -13.64800 -13.69531 -13.74315 -13.80489 -13.84752 -13.88374 -13.91956
 -13.93779 -13.95220 -13.98497 -14.00612 -14.01773 -14.16949 -14.12172 -13.82069
 -13.47940 -13.51032 -13.54418 -13.59165 -13.62873 -13.66653 -13.71622 -13.75502
 -13.79707 -13.85495 -13.89919 -13.94384 -14.00210 -14.04258 -14.07664 -14.11013
 -14.12720 -14.14077 -14.17239 -14.19252 -14.20328 -14.35526 -14.30797 -14.00694
 -13.63710 -13.66618 -13.69848 -13.74408 -13.77945 -13.81515 -13.86256 -13.89983
 -13.93974 -13.99374 -14.03464 -14.07598 -14.12976 -14.16736 -14.19977 -14.23212
 -14.24844 -14.26104 -14.29098 -14.30947 -14.31842 -14.47007 -14.42335 -14.12232
 -13.88385 -13.91230 -13.94404 -13.98798 -14.02144 -14.05547 -14.10201 -14.13890
 -14.17746 -14.22957 -14.26898 -14.30797 -14.35869 -14.39456 -14.42558 -14.45685
 -14.47271 -14.48472 -14.51369 -14.53114 -14.53878 -14.69004 -14.64367 -14.34264
 -14.21662 -14.24507 -14.27681 -14.32076 -14.35422 -14.38824 -14.43478 -14.47168
 -14.51023 -14.56235 -14.60175 -14.64074 -14.69146 -14.72733 -14.75836 -14.78962
 -14.80548 -14.81750 -14.84646 -14.86392 -14.87156 -15.02281 -14.97644 -14.67541
 -14.43582 -14.46426 -14.49600 -14.53995 -14.57341 -14.60744 -14.65397 -14.69087
 -14.72942 -14.78154 -14.82094 -14.85993 -14.91066 -14.94652 -14.97755 -15.00882
 -15.02467 -15.03669 -15.06565 -15.08311 -15.09075 -15.24200 -15.19564 -14.89461
 -14.66817 -14.69662 -14.72835 -14.77230 -14.80576 -14.83979 -14.88633 -14.92322
 -14.96177 -15.01389 -15.05329 -15.09229 -15.14301 -15.17888 -15.20990 -15.24117
 -15.25703 -15.26904 -15.29801 -15.31546 -15.32310 -15.47436 -15.42799 -15.12696
 -14.93231 -14.96075 -14.99249 -15.03644 -15.06990 -15.10393 -15.15046 -15.18736
 -15.22591 -15.27803 -15.31743 -15.35642 -15.40715 -15.44301 -15.47404 -15.50531
 -15.52116 -15.53318 -15.56214 -15.57960 -15.58724 -15.73849 -15.69213 -15.39110
 -15.11971 -15.14816 -15.17990 -15.22385 -15.25731 -15.29133 -15.33787 -15.37477
 -15.41332 -15.46544 -15.50484 -15.54383 -15.59455 -15.63042 -15.66145 -15.69271
 -15.70857 -15.72059 -15.74955 -15.76701 -15.77465 -15.92590 -15.87953 -15.57850
 -15.38385 -15.41230 -15.44404 -15.48798 -15.52144 -15.55547 -15.60201 -15.63890
 -15.67746 -15.72957 -15.76898 -15.80797 -15.85869 -15.89456 -15.92558 -15.95685
 -15.97271 -15.98472 -16.01369 -16.03114 -16.03878 -16.19004 -16.14367 -15.84264
 -15.71662 -15.74507 -15.77681 -15.82076 -15.85422 -15.88824 -15.93478 -15.97168
