    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 26/07/01
 -32.85203 -33.14635 -33.44318 -33.83880 -34.13954 -34.43995 -34.83722 -35.13815
 -35.43927 -35.83810 -36.14024 -36.44233 -36.84171 -37.14344 -37.44413 -37.83976
 -38.13738 -38.43343 -38.82394 -39.11920 -39.41435 -39.80598 -40.10341 -40.40101
 -31.43623 -31.72544 -32.01952 -32.41327 -32.71365 -33.01492 -33.41252 -33.71250
 -34.01220 -34.40687 -34.70380 -34.99968 -35.39166 -35.69035 -35.99205 -36.39944
 -36.71498 -37.03557 -37.46328 -37.78700 -38.10801 -38.51997 -38.81743 -39.09727
 -30.24991 -30.51284 -30.78033 -31.14659 -31.43326 -31.72462 -32.11500 -32.41315
 -32.71249 -33.10735 -33.40011 -33.67858 -34.00115 -34.18945 -34.31741 -34.39977
 -34.41840 -34.42684 -34.45560 -34.48877 -34.51863 -34.54770 -34.56512 -34.58122
 -29.62587 -29.84627 -30.08016 -30.41886 -30.69203 -30.96776 -31.31503 -31.54745
 -31.73867 -31.91280 -31.99064 -32.03508 -32.05892 -32.05726 -32.04000 -32.00205
 -31.98495 -32.00204 -32.05390 -32.09180 -32.12074 -32.15283 -32.17715 -32.20128
 -29.03084 -29.20337 -29.39227 -29.65174 -29.83212 -29.97887 -30.10941 -30.16607
 -30.19781 -30.21639 -30.21971 -30.21583 -30.19598 -30.16683 -30.12738 -30.09479
 -30.10957 -30.15429 -30.21843 -30.25814 -30.29231 -30.34471 -30.39243 -30.44101
