   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 20/12/00
 -29.68620 -29.66271 -29.63526 -29.59465 -29.56002 -29.51986 -29.45710 -29.40167
 -29.33904 -29.24616 -29.16661 -29.07622 -28.93916 -28.82013 -28.68511 -28.48089
 -28.30565 -28.11100 -27.82349 -27.58532 -27.33361 -26.99216 -26.73259 -26.47289
 -29.85542 -29.83828 -29.81808 -29.78810 -29.76229 -29.73195 -29.68413 -29.64241
 -29.59617 -29.52545 -29.46402 -29.39588 -29.29130 -29.19845 -29.09266 -28.93381
 -28.79618 -28.63903 -28.40270 -28.20155 -27.97980 -27.66461 -27.41810 -27.17054
 -30.05566 -30.04506 -30.03205 -30.01149 -29.99342 -29.97270 -29.94020 -29.91116
 -29.87825 -29.83028 -29.78886 -29.73994 -29.66423 -29.59849 -29.52426 -29.41061
 -29.31095 -29.19800 -29.02623 -28.87244 -28.69199 -28.42898 -28.22300 -28.01614
 -30.17942 -30.17088 -30.16119 -30.14692 -30.13417 -30.11858 -30.09399 -30.07173
 -30.04551 -30.00822 -29.97639 -29.93752 -29.87726 -29.82557 -29.76751 -29.67849
 -29.59985 -29.50989 -29.37207 -29.24584 -29.09406 -28.87744 -28.71267 -28.54784
 -30.30776 -30.30155 -30.29457 -30.28397 -30.27459 -30.26361 -30.24527 -30.22867
 -30.21041 -30.18218 -30.15695 -30.12812 -30.08274 -30.04282 -29.99859 -29.93080
 -29.87093 -29.80266 -29.69444 -29.59271 -29.47146 -29.30676 -29.18726 -29.06850
