    4   24   25    1    4     /BERYLLIUM          /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    2    1    1                                                       
--------------------------------------------------------------------------------
   4.00000   4.47712   5.00000   5.47712   6.00000   6.47712   7.00000   7.47712
   8.00000   8.47712   9.00000   9.47712  10.00000  10.47712  11.00000  11.47712
  12.00000  12.47712  13.00000  13.47712  14.00000  14.47712  15.00000  15.47712
  -0.69877  -0.52268  -0.30083  -0.15470   0.07938   0.30123   0.47732   0.65341
   0.84530   1.04159   1.25547   1.44736   1.65341   1.84530   2.00020   2.23065
   2.43157   2.63367   2.82628   3.02139   3.21690   3.39814   3.60766   3.79954
   4.00020
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 23/02/06
 -29.75762 -29.75387 -29.74857 -29.74278 -29.73403 -29.72316 -29.70936 -29.69124
 -29.66270 -29.63088 -29.58623 -29.53459 -29.45857 -29.37178 -29.25294 -29.11877
 -28.93067 -28.71592 -28.43485 -28.13403 -27.77537 -27.46581 -27.22012 -27.01810
 -29.88200 -29.87963 -29.87710 -29.87324 -29.86671 -29.85874 -29.84908 -29.83826
 -29.81796 -29.79664 -29.76758 -29.73125 -29.68005 -29.61812 -29.53564 -29.43826
 -29.30215 -29.14516 -28.93267 -28.69554 -28.40144 -28.12377 -27.89091 -27.69681
 -29.80629 -29.81238 -29.81903 -29.82485 -29.82979 -29.83222 -29.83386 -29.83466
 -29.83189 -29.82528 -29.81760 -29.80506 -29.78485 -29.75860 -29.72187 -29.67402
 -29.60508 -29.52128 -29.40000 -29.25756 -29.05899 -28.85876 -28.69459 -28.55955
 -29.41985 -29.43598 -29.45339 -29.46977 -29.48709 -29.50090 -29.51311 -29.52334
 -29.53490 -29.54270 -29.55032 -29.55415 -29.55613 -29.55435 -29.54756 -29.53627
 -29.51383 -29.48362 -29.43398 -29.36978 -29.26802 -29.16035 -29.07379 -29.00336
 -28.82514 -28.84728 -28.87113 -28.89266 -28.91577 -28.93510 -28.95205 -28.96948
 -28.98384 -28.99879 -29.01457 -29.02665 -29.03875 -29.04930 -29.05793 -29.06409
 -29.06877 -29.07052 -29.06965 -29.06633 -29.05859 -29.04933 -29.04279 -29.03784
 -28.59944 -28.62123 -28.64512 -28.66879 -28.69409 -28.71356 -28.73172 -28.75001
 -28.76972 -28.78715 -28.80295 -28.81518 -28.83091 -28.83981 -28.85043 -28.85697
 -28.86091 -28.86430 -28.86810 -28.86840 -28.87020 -28.87060 -28.86800 -28.86499
 -28.57802 -28.60068 -28.62475 -28.64742 -28.67229 -28.69352 -28.71361 -28.73153
