    6   24   30    1    6     /CARBON             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    1    1                                             
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 2  / JPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -10.64970 -10.38206 -10.12031  -9.78026  -9.52534  -9.27109  -8.93142  -8.67162
  -8.41209  -8.07446  -7.82884  -7.59709  -7.31492  -7.12126  -6.94560  -6.73917
  -6.59913  -6.47025  -6.32002  -6.20720  -6.08862  -6.02223  -5.87670  -5.57567
 -10.98035 -10.71107 -10.44614 -10.10387  -9.84953  -9.59662  -9.25918  -9.00042
  -8.74030  -8.39966  -8.14952  -7.91061  -7.61804  -7.41713  -7.23471  -7.02074
  -6.87680  -6.74595  -6.59412  -6.48039  -6.36157  -6.29557  -6.15027  -5.84924
 -11.39653 -11.12793 -10.86153 -10.51593 -10.25973 -10.00703  -9.67236  -9.41598
  -9.15691  -8.81444  -8.55963  -8.31273  -8.00636  -7.79465  -7.60279  -7.37898
  -7.22923  -7.09352  -6.93738  -6.82229  -6.70352  -6.63726  -6.49152  -6.19049
 -11.66980 -11.40327 -11.13626 -10.78863 -10.53114 -10.27769  -9.94441  -9.69027
  -9.43272  -9.08998  -8.83283  -8.58168  -8.26761  -8.04908  -7.85008  -7.61795
  -7.46316  -7.32325  -7.16336  -7.04707  -6.92824  -6.86164  -6.71548  -6.41445
 -11.95843 -11.69593 -11.42896 -11.07912 -10.82011 -10.56596 -10.23380  -9.98141
  -9.72500  -9.38174  -9.12287  -8.86929  -8.54907  -8.32381  -8.11767  -7.87610
  -7.71510  -7.57083  -7.40731  -7.28835  -7.16600  -7.09789  -6.95238  -6.65135
 -12.28280 -12.02778 -11.76271 -11.41214 -11.15221 -10.89700 -10.56397 -10.31229
 -10.05816  -9.71623  -9.45584  -9.19917  -8.87210  -8.63982  -8.42594  -8.17473
  -8.00695  -7.85589  -7.68579  -7.56409  -7.43983  -7.36840  -7.22129  -6.92026
 -12.50939 -12.26070 -11.99927 -11.64922 -11.38800 -11.13249 -10.79939 -10.54761
 -10.29403  -9.95370  -9.69362  -9.43488  -9.10380  -8.86773  -8.64837  -8.38921
  -8.21578  -8.05962  -7.88545  -7.76209  -7.63569  -7.56192  -7.41422  -7.11319
 -12.82207 -12.58615 -12.33181 -11.98425 -11.72131 -11.46297 -11.12878 -10.87865
 -10.62715 -10.28923 -10.02960  -9.76915  -9.43295  -9.19117  -8.96462  -8.69524
  -8.51498  -8.35348  -8.17156  -8.04266  -7.91341  -7.83623  -7.68680  -7.38577
 -13.20426 -12.99020 -12.74802 -12.40619 -12.14344 -11.88386 -11.54783 -11.29738
 -11.04715 -10.71153 -10.45292 -10.19216  -9.85198  -9.60395  -9.36871  -9.08649
  -8.89650  -8.72557  -8.53422  -8.40077  -8.26792  -8.18557  -8.03393  -7.73290
 -13.44846 -13.25125 -13.01942 -12.68338 -12.42161 -12.16182 -11.82411 -11.57250
 -11.32268 -10.98908 -10.73192 -10.47160 -10.12953  -9.87822  -9.63844  -9.34790
  -9.15086  -8.97378  -8.77574  -8.63808  -8.50182  -8.41717  -8.26526  -7.96423
 -13.69920 -13.52077 -13.30299 -12.97652 -12.71634 -12.45569 -12.11655 -11.86478
 -11.61541 -11.28266 -11.02665 -10.76811 -10.42480 -10.16976  -9.92607  -9.62783
  -9.42369  -9.24062  -9.03458  -8.89160  -8.75254  -8.66417  -8.51034  -8.20931
 -13.97776 -13.82273 -13.62107 -13.30698 -13.05133 -12.79146 -12.45114 -12.19845
 -11.94862 -11.61775 -11.36386 -11.10568 -10.76109 -10.50348 -10.25489  -9.94904
  -9.73839  -9.54728  -9.33239  -9.18475  -9.04131  -8.94783  -8.79230  -8.49127
 -14.16998 -14.03129 -13.84308 -13.54072 -13.28921 -13.02984 -12.68846 -12.43539
 -12.18568 -11.85555 -11.60239 -11.34478 -11.00006 -10.74130 -10.49043 -10.17985
  -9.96446  -9.76795  -9.54623  -9.39414  -9.24686  -9.14980  -8.99332  -8.69229
 -14.43377 -14.31593 -14.15001 -13.86755 -13.62225 -13.36576 -13.02503 -12.77077
 -12.51939 -12.18963 -11.93859 -11.68272 -11.33857 -11.07868 -10.82508 -10.50629
 -10.28322 -10.08098  -9.85022  -9.69096  -9.53957  -9.43684  -9.27748  -8.97645
 -14.75973 -14.66550 -14.52497 -14.27025 -14.03808 -13.78801 -13.44779 -13.19190
 -12.94087 -12.61198 -12.36153 -12.10737 -11.76443 -11.50348 -11.24718 -10.92193
 -10.69117 -10.47888 -10.23615 -10.06976  -9.91159  -9.80210  -9.64090  -9.33987
 -14.96918 -14.88981 -14.76711 -14.53227 -14.30956 -14.06474 -13.72629 -13.46974
 -13.21832 -12.89012 -12.64045 -12.38649 -12.04466 -11.78413 -11.52574 -11.19601
 -10.96118 -10.74368 -10.49387 -10.32230 -10.15868 -10.04340  -9.88056  -9.57953
 -15.19091 -15.12537 -15.01922 -14.80598 -14.59554 -14.35726 -14.02252 -13.76636
 -13.51312 -13.18405 -12.93573 -12.68325 -12.34343 -12.08352 -11.82360 -11.48954
 -11.25038 -11.02776 -10.76926 -10.59142 -10.42387 -10.30204 -10.13580  -9.83477
 -15.44088 -15.38745 -15.29832 -15.10951 -14.91434 -14.68570 -14.35601 -14.10009
 -13.84607 -13.51544 -13.26736 -13.01774 -12.67996 -12.41932 -12.15869 -11.82139
 -11.57752 -11.34910 -11.08167 -10.89752 -10.72539 -10.59673 -10.42733 -10.12630
 -15.61468 -15.57079 -15.49477 -15.32649 -15.14561 -14.92665 -14.60328 -14.34867
 -14.09432 -13.76325 -13.51549 -13.26647 -12.93036 -12.67088 -12.40997 -12.07015
 -11.82290 -11.58988 -11.31524 -11.12530 -10.94741 -10.81220 -10.64066 -10.33963
 -15.87098 -15.83217 -15.76323 -15.60713 -15.43518 -15.22199 -14.90286 -14.64983
 -14.39572 -14.06415 -13.81596 -13.56670 -13.23155 -12.97314 -12.71233 -12.37167
 -12.12294 -11.88720 -11.60778 -11.41394 -11.23238 -11.09349 -10.92090 -10.61987
 -16.20375 -16.16495 -16.09600 -15.93991 -15.76795 -15.55476 -15.23564 -14.98261
 -14.72850 -14.39692 -14.14873 -13.89947 -13.56432 -13.30591 -13.04510 -12.70444
 -12.45571 -12.21998 -11.94055 -11.74672 -11.56516 -11.42627 -11.25367 -10.95264
 -16.42294 -16.38414 -16.31519 -16.15910 -15.98714 -15.77395 -15.45483 -15.20180
 -14.94769 -14.61611 -14.36792 -14.11866 -13.78351 -13.52510 -13.26429 -12.92363
 -12.67490 -12.43917 -12.15974 -11.96591 -11.78435 -11.64546 -11.47286 -11.17183
 -16.65530 -16.61649 -16.54755 -16.39145 -16.21950 -16.00631 -15.68718 -15.43415
 -15.18004 -14.84847 -14.60027 -14.35102 -14.01587 -13.75746 -13.49665 -13.15599
 -12.90726 -12.67152 -12.39210 -12.19826 -12.01670 -11.87781 -11.70522 -11.40419
 -16.91943 -16.88063 -16.81168 -16.65559 -16.48363 -16.27044 -15.95132 -15.69829
 -15.44418 -15.11260 -14.86441 -14.61515 -14.28000 -14.02159 -13.76078 -13.42012
 -13.17139 -12.93566 -12.65623 -12.46240 -12.28084 -12.14195 -11.96935 -11.66832
 -17.10684 -17.06804 -16.99909 -16.84300 -16.67104 -16.45785 -16.13873 -15.88570
 -15.63159 -15.30001 -15.05182 -14.80256 -14.46741 -14.20900 -13.94819 -13.60753
 -13.35880 -13.12307 -12.84364 -12.64981 -12.46825 -12.32936 -12.15676 -11.85573
 -17.37098 -17.33217 -17.26323 -17.10713 -16.93518 -16.72199 -16.40286 -16.14983
 -15.89572 -15.56415 -15.31596 -15.06670 -14.73155 -14.47314 -14.21233 -13.87167
 -13.62294 -13.38720 -13.10778 -12.91394 -12.73238 -12.59349 -12.42090 -12.11987
 -17.70375 -17.66495 -17.59600 -17.43991 -17.26795 -17.05476 -16.73564 -16.48261
 -16.22850 -15.89692 -15.64873 -15.39947 -15.06432 -14.80591 -14.54510 -14.20444
 -13.95571 -13.71998 -13.44055 -13.24672 -13.06516 -12.92627 -12.75367 -12.45264
 -17.92294 -17.88414 -17.81519 -17.65910 -17.48714 -17.27395 -16.95483 -16.70180
 -16.44769 -16.11611 -15.86792 -15.61866 -15.28351 -15.02510 -14.76429 -14.42363
 -14.17490 -13.93917 -13.65974 -13.46591 -13.28435 -13.14546 -12.97286 -12.67183
 -18.15530 -18.11649 -18.04755 -17.89145 -17.71950 -17.50631 -17.18718 -16.93415
 -16.68004 -16.34847 -16.10027 -15.85102 -15.51587 -15.25746 -14.99665 -14.65599
 -14.40726 -14.17152 -13.89210 -13.69826 -13.51670 -13.37781 -13.20522 -12.90419
 -18.41943 -18.38063 -18.31168 -18.15559 -17.98363 -17.77044 -17.45132 -17.19829
 -16.94418 -16.61260 -16.36441 -16.11515 -15.78000 -15.52159 -15.26078 -14.92012
 -14.67139 -14.43566 -14.15623 -13.96240 -13.78084 -13.64195 -13.46935 -13.16832
---------------------/ IPRT= 1  / JPRT= 2  /--------/ Z1= 1   / DATE= 04/11/99
 -46.45734 -46.40562 -46.33603 -46.22210 -46.12578 -46.02629 -45.89270 -45.79380
