#Layout of plot zone FW : ITER#1514_(F57_ref-20-NF-C0,_tau=0.45e-6,_ntime=150)                            
#R	Z	Rc	Zc	x	xs	DG_elm
 6.23648E+00	-3.23689E+00	 6.24729E+00	-3.14411E+00	 9.34095E-02	 1.86819E-01	    5
 6.25810E+00	-3.05133E+00	 6.35889E+00	-2.97324E+00	 3.14319E-01	 4.41819E-01	    6
 6.45968E+00	-2.89515E+00	 6.56047E+00	-2.81706E+00	 5.69319E-01	 6.96819E-01	    7
 6.66126E+00	-2.73898E+00	 6.76205E+00	-2.66089E+00	 8.24319E-01	 9.51819E-01	    8
 6.86284E+00	-2.58280E+00	 6.96363E+00	-2.50471E+00	 1.07932E+00	 1.20682E+00	    9
 7.06442E+00	-2.42663E+00	 7.16521E+00	-2.34854E+00	 1.33432E+00	 1.46182E+00	   10
 7.26600E+00	-2.27045E+00	 7.42034E+00	-2.04222E+00	 1.73734E+00	 2.01286E+00	   11
 7.57468E+00	-1.81398E+00	 7.72903E+00	-1.58575E+00	 2.28838E+00	 2.56391E+00	   12
 7.88337E+00	-1.35751E+00	 7.98626E+00	-1.12546E+00	 2.81775E+00	 3.07159E+00	   13
 8.08916E+00	-8.93408E-01	 8.19205E+00	-6.61356E-01	 3.32543E+00	 3.57927E+00	   14
 8.29495E+00	-4.29304E-01	 8.31727E+00	-1.68728E-01	 3.84080E+00	 4.10233E+00	   15
 8.33960E+00	 9.18481E-02	 8.36193E+00	 3.52424E-01	 4.36386E+00	 4.62540E+00	   16
 8.38425E+00	 6.13000E-01	 8.35283E+00	 8.77250E-01	 4.89151E+00	 5.15762E+00	   17
 8.32141E+00	 1.14150E+00	 8.28999E+00	 1.40575E+00	 5.42373E+00	 5.68984E+00	   18
 8.25857E+00	 1.67000E+00	 8.16854E+00	 1.86324E+00	 5.90302E+00	 6.11620E+00	   19
 8.07852E+00	 2.05647E+00	 7.98849E+00	 2.24971E+00	 6.32937E+00	 6.54255E+00	   20
 7.89846E+00	 2.44294E+00	 7.77350E+00	 2.62187E+00	 6.76079E+00	 6.97903E+00	   21
 7.64854E+00	 2.80079E+00	 7.52358E+00	 2.97972E+00	 7.19727E+00	 7.41552E+00	   22
 7.39862E+00	 3.15864E+00	 7.19479E+00	 3.33638E+00	 7.68595E+00	 7.95639E+00	   23
 6.99097E+00	 3.51412E+00	 6.78714E+00	 3.69185E+00	 8.22682E+00	 8.49726E+00	   24
 6.58331E+00	 3.86959E+00	 6.47868E+00	 3.95014E+00	 8.62931E+00	 8.76135E+00	   25
 6.37405E+00	 4.03070E+00	 6.26942E+00	 4.11125E+00	 8.89340E+00	 9.02545E+00	   26
 6.16479E+00	 4.19180E+00	 6.06016E+00	 4.27235E+00	 9.15749E+00	 9.28954E+00	   27
 5.95553E+00	 4.35290E+00	 5.85090E+00	 4.43346E+00	 9.42158E+00	 9.55363E+00	   28
 5.74627E+00	 4.51401E+00	 5.60712E+00	 4.54388E+00	 9.69595E+00	 9.83827E+00	   29
 5.46798E+00	 4.57376E+00	 5.32883E+00	 4.60363E+00	 9.98058E+00	 1.01229E+01	   30
 5.18969E+00	 4.63350E+00	 5.05054E+00	 4.66338E+00	 1.02652E+01	 1.04075E+01	   31
 4.91139E+00	 4.69325E+00	 4.76390E+00	 4.60017E+00	 1.05819E+01	 1.07563E+01	   32
 4.61641E+00	 4.50709E+00	 4.46892E+00	 4.41402E+00	 1.09307E+01	 1.11051E+01	   33
 4.32144E+00	 4.32094E+00	 4.27259E+00	 4.19878E+00	 1.12367E+01	 1.13683E+01	   34
 4.22375E+00	 4.07662E+00	 4.17490E+00	 3.95447E+00	 1.14998E+01	 1.16314E+01	   35
 4.12606E+00	 3.83231E+00	 4.07721E+00	 3.71016E+00	 1.17629E+01	 1.18945E+01	   36
 4.02837E+00	 3.58800E+00	 4.02982E+00	 3.45988E+00	 1.20226E+01	 1.21508E+01	   37
 4.03127E+00	 3.33175E+00	 4.03273E+00	 3.20363E+00	 1.22789E+01	 1.24070E+01	   38
