    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -11.74050 -11.74040 -11.73761 -11.72733 -11.71408 -11.69623 -11.66060 -11.62448
 -11.58255 -11.51215 -11.44626 -11.37092 -11.25146 -11.14319 -11.01849 -10.82369
 -10.64908 -10.44719 -10.13685  -9.87444  -9.59720  -9.22014  -8.92425  -8.62322
 -11.81532 -11.82929 -11.83966 -11.84767 -11.84883 -11.84474 -11.83080 -11.81358
 -11.79026 -11.74812 -11.70688 -11.65718 -11.57527 -11.49995 -11.41271 -11.27396
 -11.14616 -10.99396 -10.74919 -10.53095 -10.28971  -9.95635  -9.67689  -9.37586
 -11.92511 -11.94769 -11.96843 -11.99109 -12.00380 -12.01240 -12.01682 -12.01485
 -12.00840 -11.99178 -11.97223 -11.94610 -11.90029 -11.85616 -11.80271 -11.71303
 -11.62445 -11.51224 -11.32799 -11.15918 -10.96528 -10.69928 -10.44703 -10.14600
 -12.02283 -12.04777 -12.07108 -12.09776 -12.11385 -12.12594 -12.13632 -12.14015
 -12.14039 -12.13393 -12.12333 -12.10765 -12.07820 -12.04865 -12.01200 -11.94828
 -11.88283 -11.79775 -11.65803 -11.52629 -11.36802 -11.15161 -10.91876 -10.61773
 -12.13809 -12.16339 -12.18711 -12.21478 -12.23227 -12.24652 -12.26063 -12.26792
 -12.27232 -12.27215 -12.26745 -12.25951 -12.24280 -12.22458 -12.20083 -12.15784
 -12.11296 -12.05464 -11.95814 -11.86118 -11.73696 -11.57097 -11.35819 -11.05716
