    3   16   25    1    3     /LITHIUM            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.69897   9.00000   9.69897  10.00000  10.69897  11.00000  11.69897
  12.00000  12.69897  13.00000  13.69897  14.00000  14.69897  15.00000  15.69897
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.47732   0.69917   0.84530
   1.00020   1.30123   1.47732   1.60226   1.69917   1.77835   1.84530   1.95444
   2.00020   2.47732   2.69917   2.84530   3.00020   3.47732   3.69917   3.84530
   4.00020
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 11/11/02
 -12.02214 -11.97143 -11.94413 -11.85814 -11.81144 -11.67426 -11.60278 -11.39276
 -11.28279 -10.97710 -10.81355 -10.31011 -10.04681  -9.38496  -9.08766  -8.38869
 -12.18686 -12.15291 -12.13387 -12.07668 -12.04419 -11.94625 -11.89493 -11.74443
 -11.66569 -11.43932 -11.31055 -10.88485 -10.64975 -10.03079  -9.74146  -9.04249
 -12.38609 -12.36527 -12.35378 -12.31763 -12.29758 -12.23869 -12.20649 -12.11160
 -12.06129 -11.90699 -11.81074 -11.47862 -11.29127 -10.77956 -10.51158  -9.81261
 -12.51273 -12.49878 -12.49084 -12.46509 -12.45108 -12.40908 -12.38621 -12.31798
 -12.28119 -12.16501 -12.08998 -11.83090 -11.68540 -11.26908 -11.02043 -10.32146
 -12.64604 -12.63688 -12.63152 -12.61519 -12.60543 -12.57651 -12.56100 -12.51606
 -12.49064 -12.40711 -12.35193 -12.16967 -12.06882 -11.75070 -11.52136 -10.82239
 -13.05131 -13.05200 -13.05152 -13.04683 -13.04487 -13.04150 -13.03992 -13.03205
 -13.02925 -13.01681 -13.01161 -13.02514 -13.02873 -12.91614 -12.72649 -12.02752
 -13.24997 -13.24996 -13.24990 -13.24961 -13.24983 -13.25036 -13.25064 -13.25286
 -13.25404 -13.26146 -13.27200 -13.34260 -13.37028 -13.30590 -13.12985 -12.43088
 -13.36581 -13.36617 -13.36687 -13.36774 -13.36849 -13.37098 -13.37265 -13.37893
 -13.38342 -13.40362 -13.42424 -13.52284 -13.55949 -13.52842 -13.36672 -12.66776
 -13.39804 -13.39881 -13.39974 -13.40117 -13.40181 -13.40570 -13.40810 -13.41675
 -13.42369 -13.45672 -13.48730 -13.60770 -13.64925 -13.67145 -13.53855 -12.83968
 -13.23024 -13.23297 -13.23395 -13.23677 -13.23789 -13.24113 -13.24306 -13.25074
 -13.25707 -13.29255 -13.32399 -13.43675 -13.47257 -13.57266 -13.48940 -12.79068
 -13.17180 -13.17583 -13.17701 -13.18004 -13.18134 -13.18346 -13.18504 -13.19198
 -13.19736 -13.22907 -13.25779 -13.36888 -13.40534 -13.51764 -13.44421 -12.74546
 -13.17566 -13.18012 -13.18144 -13.18449 -13.18575 -13.18788 -13.18927 -13.19457
 -13.19917 -13.22666 -13.25334 -13.36389 -13.40187 -13.52170 -13.45088 -12.75207
 -13.20283 -13.20734 -13.20884 -13.21183 -13.21282 -13.21541 -13.21681 -13.22115
 -13.22545 -13.25117 -13.27688 -13.38594 -13.42467 -13.54847 -13.47900 -12.78014
 -13.24141 -13.24582 -13.24749 -13.25064 -13.25146 -13.25421 -13.25569 -13.25980
 -13.26403 -13.28931 -13.31431 -13.42192 -13.46096 -13.58691 -13.51838 -12.81949
 -13.28829 -13.29253 -13.29433 -13.29799 -13.29878 -13.30122 -13.30272 -13.30689
 -13.31092 -13.33545 -13.35947 -13.46609 -13.50530 -13.63281 -13.56490 -12.86599
 -13.39680 -13.40139 -13.40312 -13.40736 -13.40852 -13.41047 -13.41195 -13.41612
 -13.41975 -13.44164 -13.46412 -13.56900 -13.60851 -13.73794 -13.67090 -12.97196
 -13.45368 -13.45891 -13.46049 -13.46453 -13.46604 -13.46810 -13.46961 -13.47371
 -13.47735 -13.49790 -13.52010 -13.62415 -13.66381 -13.79376 -13.72710 -13.02817
 -14.19145 -14.19925 -14.20232 -14.20853 -14.21065 -14.21477 -14.21639 -14.22049
 -14.22382 -14.24157 -14.25920 -14.35313 -14.39447 -14.53372 -14.46840 -13.76951
 -14.52641 -14.53427 -14.53735 -14.54361 -14.54575 -14.54988 -14.55150 -14.55554
 -14.55878 -14.57613 -14.59341 -14.68639 -14.72749 -14.86657 -14.80122 -14.10232
