    4   24   25    1    4     /BERYLLIUM          /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    2    1    1                                                       
--------------------------------------------------------------------------------
   4.00000   4.47712   5.00000   5.47712   6.00000   6.47712   7.00000   7.47712
   8.00000   8.47712   9.00000   9.47712  10.00000  10.47712  11.00000  11.47712
  12.00000  12.47712  13.00000  13.47712  14.00000  14.47712  15.00000  15.47712
  -0.69877  -0.52268  -0.30083  -0.15470   0.07938   0.30123   0.47732   0.65341
   0.84530   1.04159   1.25547   1.44736   1.65341   1.84530   2.00020   2.23065
   2.43157   2.63367   2.82628   3.02139   3.21690   3.39814   3.60766   3.79954
   4.00020
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 23/02/06
 -36.83701 -36.83701 -36.83701 -36.83699 -36.83701 -36.83701 -36.83701 -36.83701
 -36.83701 -36.83701 -36.83700 -37.03060 -37.02812 -37.02814 -37.02788 -37.02780
 -37.02784 -37.03066 -37.03047 -37.03095 -37.03480 -37.05014 -37.09572 -37.14384
 -33.17090 -33.17090 -33.17090 -33.17091 -33.17090 -33.17090 -33.17090 -33.17091
 -33.17091 -33.17090 -33.17092 -33.10470 -33.10556 -33.10550 -33.10557 -33.10559
 -33.10557 -33.10549 -33.10542 -33.10759 -33.11379 -33.12969 -33.18120 -33.23619
 -29.89749 -29.89749 -29.89749 -29.89748 -29.89749 -29.89749 -29.89749 -29.89748
 -29.89748 -29.89749 -29.89743 -29.90764 -29.90746 -29.90773 -29.90778 -29.90781
 -29.90788 -29.90991 -29.91063 -29.91394 -29.92338 -29.94365 -30.00393 -30.06786
 -28.47984 -28.47984 -28.47984 -28.47984 -28.47984 -28.47984 -28.47984 -28.47985
 -28.47985 -28.47983 -28.48004 -28.47739 -28.47762 -28.47798 -28.47777 -28.47762
 -28.47891 -28.48051 -28.48514 -28.49269 -28.50711 -28.53464 -28.61022 -28.68980
 -26.91423 -26.91423 -26.91423 -26.91423 -26.91423 -26.91424 -26.91424 -26.91419
 -26.91419 -26.91430 -26.91205 -26.91256 -26.91042 -26.91039 -26.91263 -26.91458
 -26.91905 -26.92539 -26.93930 -26.95869 -26.98783 -27.03492 -27.14284 -27.25428
 -25.98712 -25.98712 -25.98712 -25.98712 -25.98712 -25.98718 -25.98716 -25.98642
 -25.98646 -25.98589 -25.98459 -25.98161 -25.97967 -25.97961 -25.98095 -25.98655
 -25.99479 -26.00906 -26.03463 -26.06736 -26.11158 -26.17712 -26.32485 -26.47726
 -25.50467 -25.50464 -25.50467 -25.50478 -25.50467 -25.50441 -25.50447 -25.50270
