    2   26   48    1    2     /HELIUM             /                        ADF11
 -------------------------------------------------------------------------------
  10.00000  10.20000  10.40000  10.60000  10.80000  11.00000  11.20000  11.40000
  11.60000  11.80000  12.00000  12.20000  12.40000  12.60000  12.80000  13.00000
  13.20000  13.40000  13.60000  13.80000  14.00000  14.20000  14.40000  14.60000
  14.80000  15.00000
   0.00000   0.09998   0.19996   0.29993   0.39991   0.49989   0.59987   0.69985
   0.79982   0.89980   0.99978   1.09976   1.19974   1.29972   1.39969   1.49967
   1.59965   1.69963   1.79961   1.89958   1.99956   2.09954   2.19952   2.29950
   2.39947   2.49945   2.59943   2.69941   2.79939   2.89936   2.99934   3.09932
   3.19930   3.29928   3.39925   3.49923   3.59921   3.69919   3.79917   3.89915
   3.99912   4.09910   4.19908   4.29906   4.39904   4.49901   4.59899   4.69897
 --------------------/ IPRT= 1  / IGRD= 1  /        / Z1= 1   / DATE= 30.05.97
 -30.32367 -30.32441 -30.32441 -30.32441 -30.32553 -30.32553 -30.32553 -30.32731
 -30.32731 -30.32731 -30.32731 -30.33041 -30.33041 -30.33041 -30.33041 -30.33041
 -30.33041 -30.33652 -30.33652 -30.33652 -30.33652 -30.33652 -30.33652 -30.33652
 -30.35136 -30.35136
 -30.37002 -30.37076 -30.37076 -30.37076 -30.37187 -30.37187 -30.37187 -30.37364
 -30.37364 -30.37364 -30.37364 -30.37364 -30.37671 -30.37671 -30.37671 -30.37671
 -30.37671 -30.38277 -30.38277 -30.38277 -30.38277 -30.38277 -30.38277 -30.38277
 -30.39747 -30.39747
 -30.41548 -30.41548 -30.41622 -30.41622 -30.41731 -30.41731 -30.41731 -30.41731
 -30.41906 -30.41906 -30.41906 -30.41906 -30.42210 -30.42210 -30.42210 -30.42210
 -30.42210 -30.42809 -30.42809 -30.42809 -30.42809 -30.42809 -30.42809 -30.42809
 -30.42809 -30.44264
 -30.45983 -30.45983 -30.46056 -30.46056 -30.46056 -30.46164 -30.46164 -30.46164
 -30.46337 -30.46337 -30.46337 -30.46337 -30.46636 -30.46636 -30.46636 -30.46636
 -30.46636 -30.47228 -30.47228 -30.47228 -30.47228 -30.47228 -30.47228 -30.47228
 -30.47228 -30.48663
 -30.50260 -30.50262 -30.50335 -30.50336 -30.50338 -30.50446 -30.50447 -30.50449
 -30.50620 -30.50621 -30.50622 -30.50623 -30.50918 -30.50919 -30.50920 -30.50920
 -30.50921 -30.50922 -30.51504 -30.51504 -30.51505 -30.51505 -30.51505 -30.51505
 -30.51506 -30.52917
 -30.53913 -30.53950 -30.54055 -30.54089 -30.54122 -30.54258 -30.54288 -30.54316
 -30.54508 -30.54533 -30.54556 -30.54577 -30.54596 -30.54901 -30.54917 -30.54932
 -30.54945 -30.54956 -30.55536 -30.55545 -30.55554 -30.55561 -30.55568 -30.55574
 -30.55579 -30.56964
 -30.52991 -30.53354 -30.53712 -30.54124 -30.54465 -30.54887 -30.55201 -30.55499
 -30.55779 -30.56195 -30.56440 -30.56667 -30.56875 -30.57337 -30.57512 -30.57671
 -30.57814 -30.57943 -30.58603 -30.58708 -30.58802 -30.58886 -30.58961 -30.59027
 -30.59086 -30.59138
 -30.35190 -30.36629 -30.38088 -30.39596 -30.41063 -30.42515 -30.44006 -30.45398
 -30.46745 -30.48150 -30.49385 -30.50554 -30.51653 -30.52899 -30.53858 -30.54744
 -30.55558 -30.56303 -30.57455 -30.58078 -30.58641 -30.59149 -30.59604 -30.60013
 -30.60378 -30.60704
 -29.99159 -30.01604 -30.04138 -30.06776 -30.09472 -30.12226 -30.15050 -30.17868
 -30.20691 -30.23558 -30.26339 -30.29071 -30.31737 -30.34451 -30.36950 -30.39344
 -30.41623 -30.43781 -30.45811 -30.48051 -30.49834 -30.51486 -30.53009 -30.54407
 -30.55685 -30.56848
 -29.61821 -29.64641 -29.67605 -29.70718 -29.73955 -29.77312 -29.80787 -29.84342
 -29.87973 -29.91687 -29.95421 -29.99177 -30.02939 -30.06687 -30.10469 -30.14142
 -30.17748 -30.21272 -30.24698 -30.28203 -30.31406 -30.34474 -30.37397 -30.40168
 -30.42781 -30.45234
 -29.31706 -29.34624 -29.37708 -29.40956 -29.44363 -29.47914 -29.51608 -29.55422
 -29.59349 -29.63375 -29.67499 -29.71681 -29.75917 -29.80192 -29.84523 -29.88831
 -29.93130 -29.97404 -30.01638 -30.05917 -30.10033 -30.14062 -30.17991 -30.21806
 -30.25494 -30.29045
 -29.09725 -29.12650 -29.15751 -29.19025 -29.22467 -29.26067 -29.29818 -29.33713
 -29.37735 -29.41875 -29.46128 -29.50467 -29.54886 -29.59371 -29.63926 -29.68504
 -29.73106 -29.77719 -29.82330 -29.86982 -29.91551 -29.96076 -30.00544 -30.04940
 -30.09251 -30.13465
 -28.94848 -28.97749 -29.00831 -29.04089 -29.07521 -29.11117 -29.14872 -29.18777
 -29.22819 -29.26989 -29.31280 -29.35672 -29.40157 -29.44721 -29.49364 -29.54053
 -29.58784 -29.63545 -29.68324 -29.73109 -29.77929 -29.82693 -29.87425 -29.92113
 -29.96745 -30.01309
 -28.85816 -28.88680 -28.91728 -28.94954 -28.98357 -29.01928 -29.05661 -29.09549
 -29.13580 -29.17745 -29.22036 -29.26435 -29.30935 -29.35522 -29.40185 -29.44922
 -29.49704 -29.54526 -29.59377 -29.64246 -29.69152 -29.74025 -29.78882 -29.83711
 -29.88500 -29.93238
 -28.81500 -28.84323 -28.87329 -28.90515 -28.93879 -28.97414 -29.01114 -29.04972
 -29.08976 -29.13118 -29.17387 -29.21774 -29.26264 -29.30846 -29.35509 -29.40249
 -29.45041 -29.49879 -29.54753 -29.59650 -29.64586 -29.69501 -29.74408 -29.79294
 -29.84149 -29.88961
 -28.80963 -28.83739 -28.86699 -28.89841 -28.93161 -28.96654 -29.00313 -29.04131
 -29.08101 -29.12209 -29.16447 -29.20806 -29.25271 -29.29831 -29.34475 -29.39198
 -29.43976 -29.48803 -29.53669 -29.58561 -29.63491 -29.68406 -29.73315 -29.78207
 -29.83070 -29.87893
 -28.83436 -28.86164 -28.89075 -28.92169 -28.95440 -28.98887 -29.02500 -29.06274
 -29.10200 -29.14267 -29.18465 -29.22786 -29.27214 -29.31739 -29.36349 -29.41039
 -29.45786 -29.50582 -29.55417 -29.60278 -29.65155 -29.70058 -29.74934 -29.79791
 -29.84618 -29.89404
 -28.88301 -28.90978 -28.93838 -28.96879 -29.00099 -29.03493 -29.07056 -29.10779
 -29.14655 -29.18673 -29.22823 -29.27097 -29.31477 -29.35955 -29.40518 -29.45154
 -29.49857 -29.54603 -29.59386 -29.64192 -29.69011 -29.73852 -29.78661 -29.83447
 -29.88198 -29.92900
 -28.95054 -28.97678 -29.00482 -29.03468 -29.06631 -29.09968 -29.13474 -29.17140
 -29.20959 -29.24920 -29.29012 -29.33224 -29.37548 -29.41965 -29.46465 -29.51036
 -29.55671 -29.60345 -29.65051 -29.69775 -29.74506 -29.79253 -29.83960 -29.88635
 -29.93264 -29.97836
 -29.03285 -29.05851 -29.08596 -29.11521 -29.14622 -29.17896 -29.21338 -29.24938
 -29.28689 -29.32582 -29.36604 -29.40744 -29.44993 -29.49331 -29.53750 -29.58234
 -29.62777 -29.67352 -29.71952 -29.76563 -29.81170 -29.85783 -29.90344 -29.94860
 -29.99318 -30.03704
 -29.12651 -29.15154 -29.17835 -29.20692 -29.23724 -29.26926 -29.30292 -29.33816
 -29.37487 -29.41297 -29.45233 -29.49283 -29.53436 -29.57674 -29.61985 -29.66354
 -29.70774 -29.75217 -29.79673 -29.84128 -29.88566 -29.92972 -29.97359 -30.01661
 -30.05887 -30.10023
 -29.22859 -29.25293 -29.27901 -29.30681 -29.33632 -29.36750 -29.40029 -29.43459
 -29.47033 -29.50741 -29.54568 -29.58503 -29.62534 -29.66641 -29.70811 -29.75028
 -29.79277 -29.83550 -29.87814 -29.92061 -29.96274 -30.00438 -30.04564 -30.08585
 -30.12511 -30.16328
 -29.33646 -29.36000 -29.38523 -29.41213 -29.44069 -29.47085 -29.50256 -29.53574
 -29.57027 -29.60606 -29.64295 -29.68081 -29.71950 -29.75889 -29.79874 -29.83892
 -29.87925 -29.91966 -29.95979 -29.99955 -30.03877 -30.07729 -30.11524 -30.15192
 -30.18745 -30.22171
 -29.44754 -29.47015 -29.49437 -29.52019 -29.54760 -29.57652 -29.60690 -29.63865
 -29.67164 -29.70577 -29.74091 -29.77686 -29.81349 -29.85066 -29.88812 -29.92572
 -29.96327 -30.00070 -30.03762 -30.07397 -30.10956 -30.14424 -30.17817 -30.21062
 -30.24177 -30.27151
 -29.55919 -29.58067 -29.60367 -29.62816 -29.65413 -29.68151 -29.71022 -29.74017
 -29.77122 -29.80325 -29.83613 -29.86964 -29.90364 -29.93799 -29.97241 -30.00676
 -30.04084 -30.07459 -30.10761 -30.13984 -30.17112 -30.20132 -30.23032 -30.25832
 -30.28463 -30.30948
 -29.66845 -29.68854 -29.71003 -29.73289 -29.75708 -29.78254 -29.80915 -29.83684
 -29.86546 -29.89485 -29.92490 -29.95537 -29.98611 -30.01698 -30.04770 -30.07813
 -30.10809 -30.13739 -30.16602 -30.19358 -30.22006 -30.24536 -30.26940 -30.29241
 -30.31374 -30.33368
 -29.77192 -29.79032 -29.80997 -29.83082 -29.85283 -29.87591 -29.89996 -29.92487
 -29.95052 -29.97672 -30.00335 -30.03019 -30.05707 -30.08383 -30.11033 -30.13630
 -30.16163 -30.18618 -30.20994 -30.23256 -30.25407 -30.27440 -30.29351 -30.31166
 -30.32826 -30.34363
 -29.86581 -29.88219 -29.89963 -29.91809 -29.93749 -29.95776 -29.97878 -30.00045
 -30.02263 -30.04514 -30.06785 -30.09061 -30.11321 -30.13551 -30.15741 -30.17867
 -30.19920 -30.21890 -30.23780 -30.25559 -30.27233 -30.28800 -30.30258 -30.31634
 -30.32878 -30.34018
 -29.94618 -29.96024 -29.97516 -29.99088 -30.00734 -30.02444 -30.04210 -30.06018
 -30.07858 -30.09712 -30.11569 -30.13416 -30.15233 -30.17012 -30.18744 -30.20409
 -30.22002 -30.23517 -30.24957 -30.26300 -30.27553 -30.28715 -30.29787 -30.30771
 -30.31695 -30.32514
 -30.00955 -30.02110 -30.03332 -30.04613 -30.05948 -30.07328 -30.08746 -30.10187
 -30.11645 -30.13105 -30.14555 -30.15987 -30.17385 -30.18742 -30.20054 -30.21304
 -30.22490 -30.23609 -30.24658 -30.25644 -30.26548 -30.27381 -30.28145 -30.28842
 -30.29496 -30.30070
 -30.05367 -30.06273 -30.07226 -30.08222 -30.09255 -30.10317 -30.11403 -30.12500
 -30.13603 -30.14702 -30.15785 -30.16849 -30.17881 -30.18875 -30.19826 -30.20734
 -30.21586 -30.22385 -30.23129 -30.23826 -30.24460 -30.25042 -30.25572 -30.26054
 -30.26507 -30.26901
 -30.07813 -30.08489 -30.09199 -30.09937 -30.10701 -30.11483 -30.12278 -30.13078
 -30.13878 -30.14672 -30.15451 -30.16209 -30.16945 -30.17648 -30.18318 -30.18955
 -30.19549 -30.20104 -30.20618 -30.21099 -30.21534 -30.21932 -30.22293 -30.22621
 -30.22930 -30.23196
 -30.08436 -30.08920 -30.09427 -30.09952 -30.10493 -30.11046 -30.11606 -30.12169
 -30.12729 -30.13283 -30.13824 -30.14350 -30.14858 -30.15342 -30.15802 -30.16238
 -30.16643 -30.17020 -30.17368 -30.17694 -30.17988 -30.18255 -30.18498 -30.18717
 -30.18915 -30.19104
 -30.07516 -30.07849 -30.08197 -30.08559 -30.08930 -30.09308 -30.09691 -30.10075
 -30.10456 -30.10832 -30.11199 -30.11555 -30.11898 -30.12224 -30.12533 -30.12826
 -30.13097 -30.13349 -30.13582 -30.13796 -30.13996 -30.14174 -30.14335 -30.14481
 -30.14612 -30.14739
 -30.05380 -30.05604 -30.05836 -30.06078 -30.06326 -30.06578 -30.06834 -30.07090
 -30.07343 -30.07593 -30.07838 -30.08074 -30.08302 -30.08518 -30.08723 -30.08915
 -30.09097 -30.09264 -30.09418 -30.09559 -30.09691 -30.09809 -30.09915 -30.10011
 -30.10098 -30.10182
 -30.02343 -30.02489 -30.02642 -30.02800 -30.02962 -30.03128 -30.03295 -30.03463
 -30.03629 -30.03793 -30.03954 -30.04109 -30.04257 -30.04400 -30.04534 -30.04661
 -30.04780 -30.04889 -30.04990 -30.05083 -30.05170 -30.05247 -30.05317 -30.05380
 -30.05437 -30.05494
 -29.98665 -29.98759 -29.98858 -29.98960 -29.99065 -29.99172 -29.99280 -29.99389
 -29.99497 -29.99603 -29.99708 -29.99808 -29.99905 -29.99998 -30.00085 -30.00168
 -30.00246 -30.00317 -30.00383 -30.00443 -30.00501 -30.00551 -30.00597 -30.00638
 -30.00675 -30.00708
 -29.94546 -29.94606 -29.94669 -29.94734 -29.94802 -29.94870 -29.94940 -29.95009
 -29.95079 -29.95148 -29.95215 -29.95280 -29.95342 -29.95403 -29.95459 -29.95513
 -29.95563 -29.95610 -29.95652 -29.95692 -29.95728 -29.95762 -29.95792 -29.95819
 -29.95843 -29.95865
 -29.90130 -29.90168 -29.90208 -29.90249 -29.90292 -29.90335 -29.90380 -29.90424
 -29.90469 -29.90513 -29.90556 -29.90598 -29.90638 -29.90677 -29.90713 -29.90748
 -29.90780 -29.90811 -29.90839 -29.90864 -29.90888 -29.90910 -29.90930 -29.90947
 -29.90963 -29.90977
 -29.85515 -29.85539 -29.85565 -29.85591 -29.85618 -29.85645 -29.85674 -29.85702
 -29.85730 -29.85758 -29.85786 -29.85813 -29.85838 -29.85863 -29.85887 -29.85909
 -29.85930 -29.85950 -29.85968 -29.85985 -29.86000 -29.86015 -29.86027 -29.86039
 -29.86049 -29.86058
 -29.80770 -29.80785 -29.80801 -29.80818 -29.80835 -29.80852 -29.80870 -29.80888
 -29.80906 -29.80924 -29.80941 -29.80959 -29.80975 -29.80991 -29.81006 -29.81021
 -29.81034 -29.81047 -29.81059 -29.81069 -29.81079 -29.81089 -29.81097 -29.81105
 -29.81111 -29.81117
 -29.75940 -29.75949 -29.75959 -29.75969 -29.75980 -29.75991 -29.76002 -29.76014
 -29.76025 -29.76036 -29.76047 -29.76059 -29.76069 -29.76079 -29.76089 -29.76098
 -29.76107 -29.76115 -29.76123 -29.76130 -29.76136 -29.76142 -29.76148 -29.76153
 -29.76157 -29.76161
 -29.71052 -29.71058 -29.71064 -29.71071 -29.71078 -29.71085 -29.71092 -29.71099
 -29.71106 -29.71113 -29.71120 -29.71127 -29.71134 -29.71141 -29.71147 -29.71153
 -29.71158 -29.71164 -29.71169 -29.71173 -29.71177 -29.71181 -29.71185 -29.71188
 -29.71191 -29.71193
 -29.66128 -29.66132 -29.66136 -29.66140 -29.66144 -29.66148 -29.66153 -29.66157
 -29.66162 -29.66166 -29.66171 -29.66175 -29.66180 -29.66184 -29.66188 -29.66192
 -29.66195 -29.66199 -29.66202 -29.66205 -29.66208 -29.66210 -29.66213 -29.66215
 -29.66216 -29.66218
 -29.61179 -29.61182 -29.61184 -29.61187 -29.61189 -29.61192 -29.61195 -29.61198
 -29.61201 -29.61204 -29.61206 -29.61209 -29.61212 -29.61215 -29.61217 -29.61220
 -29.61222 -29.61224 -29.61226 -29.61228 -29.61230 -29.61232 -29.61233 -29.61235
 -29.61236 -29.61237
 -29.56215 -29.56216 -29.56218 -29.56219 -29.56221 -29.56223 -29.56224 -29.56226
 -29.56228 -29.56230 -29.56232 -29.56234 -29.56235 -29.56237 -29.56239 -29.56240
 -29.56242 -29.56243 -29.56245 -29.56246 -29.56247 -29.56248 -29.56249 -29.56250
 -29.56251 -29.56251
 -29.51239 -29.51240 -29.51241 -29.51242 -29.51243 -29.51244 -29.51245 -29.51247
 -29.51248 -29.51249 -29.51250 -29.51251 -29.51252 -29.51253 -29.51254 -29.51255
 -29.51256 -29.51257 -29.51258 -29.51259 -29.51260 -29.51260 -29.51261 -29.51262
 -29.51262 -29.51263
 -29.46257 -29.46257 -29.46258 -29.46258 -29.46259 -29.46260 -29.46260 -29.46261
 -29.46262 -29.46263 -29.46263 -29.46264 -29.46265 -29.46266 -29.46266 -29.46267
 -29.46268 -29.46268 -29.46269 -29.46269 -29.46270 -29.46270 -29.46270 -29.46271
 -29.46271 -29.46272
 --------------------/ IPRT= 1  / IGRD= 1  /        / Z1= 2   / DATE= 30.05.97
 -29.85666 -29.85666 -29.85787 -29.85944 -29.85944 -29.86155 -29.86155 -29.86155
 -29.86445 -29.86445 -29.86862 -29.86862 -29.86862 -29.87492 -29.87492 -29.87492
 -29.88512 -29.88512 -29.88512 -29.88512 -29.90332 -29.90332 -29.90332 -29.90332
 -29.90332 -29.90332
 -29.90170 -29.90170 -29.90289 -29.90289 -29.90445 -29.90445 -29.90653 -29.90653
 -29.90940 -29.90940 -29.91352 -29.91352 -29.91352 -29.91975 -29.91975 -29.91975
 -29.91975 -29.92983 -29.92983 -29.92983 -29.92983 -29.94781 -29.94781 -29.94781
 -29.94781 -29.94781
 -29.94461 -29.94553 -29.94671 -29.94671 -29.94825 -29.94825 -29.95030 -29.95030
 -29.95313 -29.95313 -29.95313 -29.95719 -29.95719 -29.96333 -29.96333 -29.96333
 -29.96333 -29.97325 -29.97325 -29.97325 -29.97325 -29.99096 -29.99096 -29.99096
 -29.99096 -29.99096
 -29.98699 -29.98790 -29.98906 -29.98906 -29.99056 -29.99056 -29.99258 -29.99258
 -29.99536 -29.99536 -29.99536 -29.99935 -29.99935 -29.99935 -30.00538 -30.00538
 -30.00538 -30.01512 -30.01512 -30.01512 -30.01512 -30.03249 -30.03249 -30.03249
 -30.03249 -30.03249
 -30.02759 -30.02848 -30.02848 -30.02961 -30.03109 -30.03109 -30.03306 -30.03306
 -30.03306 -30.03578 -30.03578 -30.03968 -30.03968 -30.03968 -30.04558 -30.04558
 -30.04558 -30.05510 -30.05510 -30.05510 -30.05510 -30.07207 -30.07207 -30.07207
 -30.07207 -30.07207
 -30.06604 -30.06690 -30.06690 -30.06801 -30.06801 -30.06944 -30.06944 -30.07136
 -30.07136 -30.07401 -30.07401 -30.07781 -30.07781 -30.07781 -30.08354 -30.08354
 -30.08354 -30.08354 -30.09280 -30.09280 -30.09280 -30.09280 -30.10929 -30.10929
 -30.10929 -30.10929
 -30.10192 -30.10192 -30.10276 -30.10383 -30.10383 -30.10522 -30.10522 -30.10708
 -30.10708 -30.10964 -30.10964 -30.10964 -30.11331 -30.11331 -30.11886 -30.11886
 -30.11886 -30.11886 -30.12781 -30.12781 -30.12781 -30.12781 -30.14372 -30.14372
 -30.14372 -30.14372
 -30.13478 -30.13478 -30.13559 -30.13662 -30.13662 -30.13795 -30.13795 -30.13974
 -30.13974 -30.14220 -30.14220 -30.14220 -30.14573 -30.14573 -30.14573 -30.15105
 -30.15105 -30.15105 -30.15964 -30.15964 -30.15964 -30.15964 -30.17489 -30.17489
 -30.17489 -30.17489
 -30.16351 -30.16413 -30.16490 -30.16490 -30.16588 -30.16715 -30.16715 -30.16885
 -30.16885 -30.16885 -30.17120 -30.17120 -30.17456 -30.17456 -30.17456 -30.17963
 -30.17963 -30.17963 -30.18780 -30.18780 -30.18780 -30.18780 -30.20229 -30.20229
 -30.20229 -30.20229
 -30.18887 -30.18945 -30.19018 -30.19018 -30.19110 -30.19110 -30.19231 -30.19231
 -30.19392 -30.19392 -30.19613 -30.19613 -30.19930 -30.19930 -30.19930 -30.20408
 -30.20408 -30.20408 -30.20408 -30.21178 -30.21178 -30.21178 -30.21178 -30.22542
 -30.22542 -30.22542
 -30.20972 -30.21026 -30.21026 -30.21094 -30.21180 -30.21180 -30.21293 -30.21293
 -30.21443 -30.21443 -30.21650 -30.21650 -30.21650 -30.21946 -30.21946 -30.22392
 -30.22392 -30.22392 -30.22392 -30.23110 -30.23110 -30.23110 -30.23110 -30.24379
 -30.24379 -30.24379
 -30.22560 -30.22610 -30.22610 -30.22673 -30.22753 -30.22753 -30.22856 -30.22856
 -30.22995 -30.22995 -30.23186 -30.23186 -30.23186 -30.23460 -30.23460 -30.23460
 -30.23871 -30.23871 -30.23871 -30.24533 -30.24533 -30.24533 -30.24533 -30.25700
 -30.25700 -30.25700
 -30.23614 -30.23614 -30.23660 -30.23717 -30.23717 -30.23790 -30.23885 -30.23885
 -30.24011 -30.24011 -30.24011 -30.24186 -30.24186 -30.24435 -30.24435 -30.24435
 -30.24810 -30.24810 -30.24810 -30.25412 -30.25412 -30.25412 -30.25412 -30.26473
 -30.26473 -30.26473
 -30.24074 -30.24107 -30.24149 -30.24200 -30.24200 -30.24266 -30.24266 -30.24352
 -30.24352 -30.24466 -30.24466 -30.24623 -30.24623 -30.24847 -30.24847 -30.24847
 -30.25184 -30.25184 -30.25184 -30.25184 -30.25725 -30.25725 -30.25725 -30.25725
 -30.26676 -30.26676
 -30.23998 -30.24028 -30.24065 -30.24065 -30.24111 -30.24169 -30.24169 -30.24245
 -30.24245 -30.24346 -30.24346 -30.24486 -30.24486 -30.24486 -30.24685 -30.24685
 -30.24985 -30.24985 -30.24985 -30.24985 -30.25464 -30.25464 -30.25464 -30.25464
 -30.26306 -30.26306
 -30.23351 -30.23377 -30.23410 -30.23410 -30.23450 -30.23501 -30.23501 -30.23568
 -30.23568 -30.23657 -30.23657 -30.23779 -30.23779 -30.23779 -30.23954 -30.23954
 -30.23954 -30.24216 -30.24216 -30.24216 -30.24636 -30.24636 -30.24636 -30.24636
 -30.25371 -30.25371
 -30.22150 -30.22173 -30.22173 -30.22200 -30.22235 -30.22235 -30.22280 -30.22338
 -30.22338 -30.22415 -30.22415 -30.22415 -30.22521 -30.22521 -30.22672 -30.22672
 -30.22672 -30.22899 -30.22899 -30.22899 -30.23261 -30.23261 -30.23261 -30.23261
 -30.23895 -30.23895
 -30.20424 -30.20424 -30.20443 -30.20467 -30.20497 -30.20497 -30.20535 -30.20535
 -30.20585 -30.20585 -30.20650 -30.20650 -30.20741 -30.20741 -30.20871 -30.20871
 -30.20871 -30.21064 -30.21064 -30.21064 -30.21064 -30.21374 -30.21374 -30.21374
 -30.21374 -30.21914
 -30.18213 -30.18213 -30.18229 -30.18249 -30.18249 -30.18275 -30.18307 -30.18307
 -30.18349 -30.18349 -30.18405 -30.18405 -30.18481 -30.18481 -30.18481 -30.18591
 -30.18591 -30.18755 -30.18755 -30.18755 -30.18755 -30.19016 -30.19016 -30.19016
 -30.19016 -30.19472
 -30.15552 -30.15563 -30.15577 -30.15594 -30.15594 -30.15615 -30.15642 -30.15642
 -30.15677 -30.15677 -30.15724 -30.15724 -30.15789 -30.15789 -30.15789 -30.15880
 -30.15880 -30.15880 -30.16017 -30.16017 -30.16017 -30.16236 -30.16236 -30.16236
 -30.16236 -30.16617
 -30.12516 -30.12526 -30.12537 -30.12537 -30.12551 -30.12569 -30.12569 -30.12592
 -30.12621 -30.12621 -30.12660 -30.12660 -30.12660 -30.12713 -30.12713 -30.12789
 -30.12789 -30.12789 -30.12903 -30.12903 -30.12903 -30.13084 -30.13084 -30.13084
 -30.13084 -30.13400
 -30.09143 -30.09151 -30.09151 -30.09160 -30.09172 -30.09186 -30.09186 -30.09205
 -30.09205 -30.09229 -30.09229 -30.09261 -30.09261 -30.09305 -30.09305 -30.09368
 -30.09368 -30.09368 -30.09462 -30.09462 -30.09462 -30.09462 -30.09611 -30.09611
 -30.09611 -30.09611
