    3   16   25    1    3     /LITHIUM            /GCR PROJECT      
--------------------------------------------------------------------------------
    1    2    1    1                                                            
--------------------------------------------------------------------------------
   8.00000   8.69897   9.00000   9.69897  10.00000  10.69897  11.00000  11.69897
  12.00000  12.69897  13.00000  13.69897  14.00000  14.69897  15.00000  15.69897
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.47732   0.69917   0.84530
   1.00020   1.30123   1.47732   1.60226   1.69917   1.77835   1.84530   1.95444
   2.00020   2.47732   2.69917   2.84530   3.00020   3.47732   3.69917   3.84530
   4.00020
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 11/11/02
 -30.13195 -30.08438 -30.05902 -29.97752 -29.93164 -29.80307 -29.73208 -29.53033
 -29.42298 -29.12034 -28.96708 -28.57580 -28.39529 -28.10126 -27.95249 -27.25352
 -30.28745 -30.25542 -30.23814 -30.18368 -30.15355 -30.06352 -30.01517 -29.87443
 -29.79874 -29.58098 -29.46946 -29.17477 -29.02971 -28.79854 -28.66199 -27.96302
 -30.46417 -30.44673 -30.43628 -30.40441 -30.38679 -30.33438 -30.30572 -30.22114
 -30.17545 -30.04419 -29.97560 -29.79311 -29.69697 -29.58702 -29.48071 -28.78174
 -30.56996 -30.55878 -30.55188 -30.53038 -30.51855 -30.48360 -30.46371 -30.40676
 -30.37598 -30.28754 -30.24064 -30.11833 -30.05220 -30.01546 -29.92433 -29.22536
 -30.67251 -30.66493 -30.66143 -30.64795 -30.64012 -30.61904 -30.60667 -30.57054
 -30.55189 -30.49728 -30.46883 -30.39686 -30.35708 -30.37351 -30.29161 -29.59264
 -30.90475 -30.90183 -30.90239 -30.90202 -30.90044 -30.89638 -30.89488 -30.89086
 -30.88859 -30.88650 -30.88379 -30.88546 -30.87796 -30.95014 -30.87740 -30.17843
 -30.95098 -30.95126 -30.95121 -30.95094 -30.95132 -30.95290 -30.95130 -30.95178
 -30.95177 -30.95252 -30.95368 -30.96231 -30.95821 -31.03089 -30.95780 -30.25883
 -30.92577 -30.92544 -30.92555 -30.92528 -30.92551 -30.92873 -30.92870 -30.92854
 -30.92843 -30.93158 -30.93268 -30.93962 -30.93605 -31.01075 -30.93760 -30.23863
 -30.76465 -30.76549 -30.76545 -30.76551 -30.76546 -30.76475 -30.76471 -30.76463
