    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    1                                                                 
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -64.91576 -64.91445 -64.91293 -64.91031 -64.90781 -64.90489 -64.90003 -64.89551
 -64.89002 -64.87876 -64.86509 -64.84459 -64.79890 -64.74454 -64.67086 -64.55302
 -64.45218 -64.34241 -64.19848 -64.10284 -64.02711 -63.95985 -63.92515 -63.89258
 -43.53474 -43.53082 -43.52630 -43.51880 -43.51171 -43.50322 -43.48870 -43.47511
 -43.45871 -43.42396 -43.38461 -43.33005 -43.19666 -43.02671 -42.79113 -42.40443
 -42.06733 -41.69876 -41.21308 -40.89211 -40.64336 -40.41885 -40.29611 -40.17957
 -30.22837 -30.22689 -30.22578 -30.22378 -30.22163 -30.21924 -30.21499 -30.21039
 -30.20423 -30.19308 -30.18012 -30.15906 -30.10469 -30.02848 -29.90950 -29.68589
 -29.46832 -29.21570 -28.87814 -28.65962 -28.49554 -28.34180 -28.24923 -28.15974
 -23.89122 -23.89024 -23.88988 -23.88851 -23.88661 -23.88483 -23.88222 -23.87950
 -23.87567 -23.86784 -23.85849 -23.84353 -23.80237 -23.74288 -23.64861 -23.46220
 -23.27264 -23.04817 -22.75063 -22.56375 -22.42883 -22.29986 -22.21678 -22.13552
 -19.29715 -19.29674 -19.29554 -19.29418 -19.29378 -19.29350 -19.29191 -19.28986
 -19.28776 -19.28386 -19.27858 -19.26898 -19.24051 -19.19868 -19.13140 -18.98948
 -18.83764 -18.65472 -18.41966 -18.27870 -18.17847 -18.07826 -18.00936 -17.94130
 -15.63820 -15.63806 -15.63706 -15.63655 -15.63673 -15.63611 -15.63504 -15.63423
 -15.63292 -15.62994 -15.62592 -15.61881 -15.59856 -15.56827 -15.51788 -15.40858
 -15.28978 -15.14666 -14.97249 -14.87436 -14.80327 -14.72525 -14.66723 -14.60928
 -13.79563 -13.79567 -13.79600 -13.79633 -13.79583 -13.79451 -13.79409 -13.79448
 -13.79368 -13.79077 -13.78719 -13.78158 -13.76596 -13.74180 -13.70047 -13.60987
 -13.51171 -13.39490 -13.25818 -13.18319 -13.12571 -13.05908 -13.00903 -12.95899
 -11.91760 -11.91764 -11.91774 -11.91651 -11.91530 -11.91543 -11.91588 -11.91557
 -11.91490 -11.91417 -11.91254 -11.90782 -11.89463 -11.87656 -11.84722 -11.77933
 -11.70528 -11.62047 -11.52294 -11.46987 -11.42930 -11.37756 -11.33500 -11.29195
 -10.36243 -10.36246 -10.36260 -10.36194 -10.36113 -10.36101 -10.36105 -10.36110
 -10.36138 -10.36023 -10.35798 -10.35500 -10.34748 -10.33595 -10.31578 -10.26868
 -10.21873 -10.16367 -10.10169 -10.06737 -10.03915 -10.00100  -9.96928  -9.93716
  -9.66233  -9.66237  -9.66235  -9.66247  -9.66264  -9.66270  -9.66258  -9.66261
  -9.66279  -9.66116  -9.65910  -9.65771  -9.65200  -9.64256  -9.62783  -9.59270
  -9.55534  -9.51551  -9.47030  -9.44365  -9.42003  -9.38609  -9.35733  -9.32815
  -9.11131  -9.11140  -9.11142  -9.11138  -9.11130  -9.11122  -9.11157  -9.11148
  -9.11022  -9.10909  -9.10878  -9.10752  -9.10279  -9.09588  -9.08498  -9.06079
  -9.03538  -9.00725  -8.97480  -8.95503  -8.93572  -8.90498  -8.87779  -8.85007
  -8.65231  -8.65230  -8.65230  -8.65232  -8.65237  -8.65241  -8.65218  -8.65158
  -8.65063  -8.64983  -8.64948  -8.64855  -8.64494  -8.63979  -8.63211  -8.61516
  -8.59714  -8.57679  -8.55183  -8.53523  -8.51833  -8.49081  -8.46632  -8.44132
  -8.40438  -8.40440  -8.40445  -8.40426  -8.40414  -8.40429  -8.40343  -8.40262
  -8.40302  -8.40251  -8.40133  -8.40089  -8.39827  -8.39388  -8.38793  -8.37466
  -8.36063  -8.34528  -8.32460  -8.30941  -8.29427  -8.26875  -8.24522  -8.22112
  -8.13500  -8.13501  -8.13502  -8.13465  -8.13429  -8.13429  -8.13419  -8.13396
  -8.13386  -8.13356  -8.13281  -8.13143  -8.12974  -8.12775  -8.12343  -8.11394
  -8.10413  -8.09246  -8.07628  -8.06356  -8.04920  -8.02547  -8.00466  -7.98347
