* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
  1.000   1.000   7.655   0.624  -1.794
  2.000   1.000   7.626   0.624  -1.837
  3.000   1.000   7.630   0.624  -1.840
  4.000   1.000   7.659   0.624  -1.797
  5.000   2.000   7.684   0.624  -1.751
  6.000   2.000   7.655   0.624  -1.794
  7.000   2.000   7.659   0.624  -1.797
  8.000   2.000   7.688   0.624  -1.754
  9.000   3.000   7.713   0.624  -1.708
 10.000   3.000   7.684   0.624  -1.751
 11.000   3.000   7.688   0.624  -1.754
 12.000   3.000   7.718   0.624  -1.710
 13.000   4.000   7.742   0.624  -1.664
 14.000   4.000   7.713   0.624  -1.708
 15.000   4.000   7.718   0.624  -1.710
 16.000   4.000   7.747   0.624  -1.667
 17.000   5.000   7.771   0.624  -1.621
 18.000   5.000   7.742   0.624  -1.664
 19.000   5.000   7.747   0.624  -1.667
 20.000   5.000   7.776   0.624  -1.624
 21.000   6.000   7.801   0.624  -1.578
 22.000   6.000   7.771   0.624  -1.621
 23.000   6.000   7.776   0.624  -1.624
 24.000   6.000   7.805   0.624  -1.581
 25.000   7.000   7.830   0.624  -1.535
 26.000   7.000   7.801   0.624  -1.578
 27.000   7.000   7.805   0.624  -1.581
 28.000   7.000   7.834   0.624  -1.538
 29.000   8.000   7.859   0.624  -1.492
 30.000   8.000   7.830   0.624  -1.535
 31.000   8.000   7.834   0.624  -1.538
 32.000   8.000   7.863   0.624  -1.494
 33.000   9.000   7.888   0.624  -1.448
 34.000   9.000   7.859   0.624  -1.492
 35.000   9.000   7.863   0.624  -1.494
 36.000   9.000   7.892   0.624  -1.451
 37.000  10.000   7.917   0.624  -1.405
 38.000  10.000   7.888   0.624  -1.448
 39.000  10.000   7.892   0.624  -1.451
 40.000  10.000   7.921   0.624  -1.408
 41.000  11.000   7.922   0.624  -1.397
 42.000  11.000   7.917   0.624  -1.405
 43.000  11.000   7.921   0.624  -1.408
 44.000  11.000   7.926   0.624  -1.400
 45.000  12.000   7.913   0.614  -1.391
 46.000  12.000   7.922   0.624  -1.397
 47.000  12.000   7.926   0.624  -1.400
