{NUMBER OF COLUMNS}       4
*
* SHOTS  =   25028
* TIMES  =     0.298824 to     0.323784 s
* SMOOTH =      10
* SAMPLE =       5
*
*       PSIn        jsat        jsol          Te
*                (A m-2)       (A ?)        (eV)
{DATA LIST}
    0.920932    7.03E+02    7.70E+00        3.02
    0.924065    6.84E+02    5.71E+01        3.41
    0.932009    1.01E+03   -1.95E+02        4.14
    0.934186    1.31E+03    1.08E+02        3.46
    0.936058    2.07E+03    8.35E+02        3.49
    0.937458    2.13E+03    5.89E+02        4.37
    0.941965    2.18E+03    1.05E+02        4.91
    0.943570    2.36E+03    3.45E+02        4.73
    0.945450    2.72E+03    3.96E+02        5.19
    0.950153    3.14E+03    2.56E+00        5.29
    0.951840    3.50E+03    2.85E+02        5.05
    0.953772    4.77E+03    1.67E+03        4.47
    0.954971    4.82E+03    2.33E+03        3.68
    0.959908    6.60E+03    3.21E+03        3.79
    0.961476    6.87E+03    2.77E+03        4.69
    0.963121    9.40E+03    2.62E+03        8.10
    0.967137    9.71E+03    4.03E+03        6.89
    0.969434    6.56E+03    3.30E+03        4.46
    0.971015    1.03E+04    5.13E+03        4.29
    0.972141    1.41E+04    6.75E+03        4.31
    0.976546    1.47E+04    8.06E+03        5.44
    0.978521    1.53E+04    1.01E+04        5.07
    0.980238    1.90E+04    2.80E+03        3.40
    0.984904    2.20E+04    6.03E+03        3.38
    0.986842    2.61E+04    2.19E+04        3.18
    0.989084    3.14E+04    2.56E+04        4.03
    0.993660    2.92E+04    2.30E+04        7.42
    0.997133    2.45E+04    1.86E+04        9.03
    1.001778    1.83E+04    1.34E+04        8.63
    1.003261    1.30E+04    1.11E+04        4.41
    1.004647    1.19E+04    1.01E+04        2.93
    1.009773    1.81E+04    5.23E+03        4.05
    1.011231    2.82E+04    9.41E+02        6.11
    1.017624    3.35E+04   -1.71E+04        6.49
    1.020719    3.67E+04   -3.12E+04        6.75
    1.026235    3.88E+04   -3.85E+04        8.01
    1.027546    3.49E+04   -1.31E+06        6.30
    1.028331    2.70E+04   -1.30E+06        3.73
    1.033080    2.35E+04    2.47E+03        3.92
    1.034292    2.24E+04    9.78E+02        3.94
    1.035598    2.17E+04    2.75E+02        3.82
    1.039438    1.87E+04    5.09E+03        3.79
    1.041158    1.61E+04    6.11E+03        3.96
    1.042357    1.54E+04    5.87E+03        4.30
    1.043069    1.55E+04    6.36E+03        4.32
    1.047648    1.34E+04    7.73E+03        4.27
    1.048802    1.29E+04    7.58E+03        4.21
    1.049900    1.32E+04    7.42E+03        4.84
    1.053385    1.29E+04    8.66E+03        4.92
    1.055290    1.24E+04    9.50E+03        5.23
    1.056546    1.14E+04    8.03E+03        5.84
    1.057189    1.05E+04    7.59E+03        5.40
    1.062294    9.96E+03    7.11E+03        5.57
    1.063363    8.92E+03    6.09E+03        6.13
    1.064510    9.14E+03    6.00E+03        6.33
    1.067022    9.22E+03    6.66E+03        5.24
    1.069703    8.57E+03    6.19E+03        5.38
    1.072062    8.51E+03    5.30E+03        6.85
    1.072911    7.90E+03    4.55E+03        7.94
    1.073467    7.42E+03    4.70E+03        7.08
    1.075022    8.07E+03    5.56E+03        6.27
    1.075850    7.78E+03    4.69E+03        6.86
    1.078523    6.94E+03    3.81E+03        7.00
    1.080177    6.92E+03    3.90E+03        6.77
    1.081202    7.52E+03    4.40E+03        7.24
    1.082120    7.22E+03    4.59E+03        6.42
    1.084917    5.75E+03    4.01E+03        5.90
    1.086669    5.99E+03    3.75E+03        6.06
    1.087544    6.10E+03    3.51E+03        6.82
    1.088167    5.89E+03    3.91E+03        5.88
    1.091107    5.33E+03    4.16E+03        4.70
    1.092580    5.61E+03    4.55E+03        4.62
    1.093409    5.67E+03    4.28E+03        5.25
    1.095898    5.15E+03    3.55E+03        5.84
    1.097206    5.15E+03    3.56E+03        5.75
    1.098168    5.25E+03    3.68E+03        5.02
    1.098844    5.16E+03    3.80E+03        4.81
    1.099730    4.93E+03    3.09E+03        6.41
    1.101316    4.85E+03    3.22E+03        5.95
    1.102911    4.74E+03    3.79E+03        4.40
    1.103506    4.87E+03    3.61E+03        5.02
    1.104106    4.72E+03    3.10E+03        5.84
    1.104516    4.66E+03    3.18E+03        5.65
    1.105712    4.49E+03    3.45E+03        4.33
    1.106465    4.39E+03    3.08E+03        5.41
    1.106782    4.39E+03    2.67E+03        5.80
    1.107667    4.40E+03    2.73E+03        5.55
    1.108543    4.44E+03    2.82E+03        5.61
    1.109100    4.21E+03    2.57E+03        5.06
    1.109508    4.21E+03    2.83E+03        4.93
    1.110526    4.17E+03    3.14E+03        4.71
    1.111106    4.40E+03    2.98E+03        5.39
    1.111690    4.37E+03    2.91E+03        5.09
    1.112266    4.11E+03    2.81E+03        5.35
    1.113427    4.11E+03    2.87E+03        5.62
    1.113947    4.05E+03    2.64E+03        5.61
    1.114334    4.03E+03    2.65E+03        5.14
    1.115237    3.95E+03    2.57E+03        6.01
    1.116328    4.01E+03    2.26E+03        7.08
    1.116742    4.22E+03    2.36E+03        6.71
    1.118284    4.28E+03    1.75E+03        9.01
    1.118929    4.14E+03    1.74E+03        8.61
    1.119851    4.05E+03    2.24E+03        6.94
    1.121179    3.83E+03    1.99E+03        6.56
{END}
