# ITER#1513 (F57 ref-20-NF-C0, tau=0.4e-6, ntime=150)  - 79.9 ms
# electron temperature (eV)
   ix   iy      x           y           z01
    1    1  4.1805E+03 -3.8836E+03  1.529635E-01
    2    1  4.1824E+03 -3.8828E+03  1.705921E-01
    3    1  4.1844E+03 -3.8820E+03  1.557577E-01
    4    1  4.1869E+03 -3.8810E+03  1.964902E-01
    5    1  4.1905E+03 -3.8796E+03  2.203141E-01
    6    1  4.1960E+03 -3.8775E+03  2.894773E-01
    7    1  4.2042E+03 -3.8742E+03  3.629777E-01
    8    1  4.2161E+03 -3.8696E+03  4.709448E-01
    9    1  4.2326E+03 -3.8631E+03  6.433568E-01
   10    1  4.2548E+03 -3.8546E+03  7.651238E-01
   11    1  4.2836E+03 -3.8436E+03  7.917248E-01
   12    1  4.3204E+03 -3.8299E+03  7.709924E-01
   13    1  4.3667E+03 -3.8129E+03  7.211297E-01
   14    1  4.4249E+03 -3.7925E+03  6.618557E-01
   15    1  4.4971E+03 -3.7686E+03  5.985384E-01
   16    1  4.5842E+03 -3.7423E+03  4.805043E-01
   17    1  4.6845E+03 -3.7170E+03  4.315240E-01
   18    1  4.7929E+03 -3.6989E+03  4.818817E-01
   19    1  4.8964E+03 -3.6959E+03  6.311697E-01
   20    1  4.9755E+03 -3.7077E+03  7.665912E-01
   21    1  5.4416E+03 -2.6135E+03  1.953061E+03
   22    1  5.3527E+03 -2.5513E+03  1.953067E+03
   23    1  5.1855E+03 -2.3739E+03  1.953077E+03
   24    1  5.0190E+03 -2.1003E+03  1.953087E+03
   25    1  4.8749E+03 -1.7821E+03  1.953095E+03
   26    1  4.7513E+03 -1.4488E+03  1.953102E+03
   27    1  4.6451E+03 -1.1082E+03  1.953106E+03
   28    1  4.5555E+03 -7.6268E+02  1.953110E+03
   29    1  4.4819E+03 -4.1310E+02  1.953112E+03
   30    1  4.4237E+03 -6.0661E+01  1.953114E+03
   31    1  4.3824E+03  2.9378E+02  1.953114E+03
   32    1  4.3589E+03  6.5012E+02  1.953114E+03
   33    1  4.3515E+03  1.0072E+03  1.953113E+03
   34    1  4.3605E+03  1.3634E+03  1.953111E+03
   35    1  4.3879E+03  1.7170E+03  1.953108E+03
   36    1  4.4377E+03  2.0654E+03  1.953104E+03
   37    1  4.5125E+03  2.4051E+03  1.953099E+03
   38    1  4.6154E+03  2.7294E+03  1.953092E+03
   39    1  4.7504E+03  3.0251E+03  1.953084E+03
   40    1  4.9164E+03  3.2727E+03  1.953075E+03
   41    1  5.1052E+03  3.4555E+03  1.953065E+03
   42    1  5.3135E+03  3.5722E+03  1.953056E+03
   43    1  5.5546E+03  3.6286E+03  1.953048E+03
   44    1  5.8345E+03  3.6189E+03  1.953039E+03
   45    1  6.1357E+03  3.5401E+03  1.953030E+03
   46    1  6.4361E+03  3.4023E+03  1.953023E+03
   47    1  6.7223E+03  3.2179E+03  1.953017E+03
   48    1  6.9892E+03  2.9969E+03  1.953012E+03
   49    1  7.2338E+03  2.7476E+03  1.953007E+03
   50    1  7.4516E+03  2.4737E+03  1.953003E+03
   51    1  7.6402E+03  2.1775E+03  1.953000E+03
   52    1  7.7989E+03  1.8632E+03  1.952998E+03
   53    1  7.9254E+03  1.5344E+03  1.952996E+03
   54    1  8.0173E+03  1.1942E+03  1.952995E+03
   55    1  8.0748E+03  8.4620E+02  1.952994E+03
   56    1  8.0955E+03  4.9507E+02  1.952994E+03
   57    1  8.0760E+03  1.4422E+02  1.952994E+03
   58    1  8.0182E+03 -2.0275E+02  1.952996E+03
   59    1  7.9235E+03 -5.4071E+02  1.952997E+03
   60    1  7.7913E+03 -8.6495E+02  1.953000E+03
   61    1  7.6233E+03 -1.1723E+03  1.953003E+03
   62    1  7.4231E+03 -1.4604E+03  1.953006E+03
   63    1  7.1956E+03 -1.7276E+03  1.953010E+03
   64    1  6.9444E+03 -1.9711E+03  1.953015E+03
   65    1  6.6712E+03 -2.1892E+03  1.953021E+03
   66    1  6.3795E+03 -2.3804E+03  1.953028E+03
   67    1  6.0760E+03 -2.5349E+03  1.953036E+03
   68    1  5.7833E+03 -2.6271E+03  1.953046E+03
   69    1  5.5581E+03 -2.6394E+03  1.953055E+03
   70    1  5.4620E+03 -2.6219E+03  1.953060E+03
   71    1  5.0368E+03 -3.7322E+03  8.732882E-01
   72    1  5.1093E+03 -3.7836E+03  9.323333E-01
   73    1  5.1911E+03 -3.8676E+03  9.007137E-01
   74    1  5.2648E+03 -3.9669E+03  8.180169E-01
   75    1  5.3274E+03 -4.0657E+03  8.180728E-01
   76    1  5.3798E+03 -4.1563E+03  9.029183E-01
   77    1  5.4222E+03 -4.2339E+03  9.758662E-01
   78    1  5.4554E+03 -4.2970E+03  1.024430E+00
   79    1  5.4810E+03 -4.3470E+03  1.057370E+00
   80    1  5.5007E+03 -4.3864E+03  1.149477E+00
   81    1  5.5159E+03 -4.4170E+03  1.118723E+00
   82    1  5.5274E+03 -4.4405E+03  1.068368E+00
   83    1  5.5359E+03 -4.4580E+03  8.848832E-01
   84    1  5.5420E+03 -4.4706E+03  6.965886E-01
   85    1  5.5461E+03 -4.4792E+03  5.778818E-01
   86    1  5.5488E+03 -4.4849E+03  4.941124E-01
   87    1  5.5506E+03 -4.4886E+03  4.416641E-01
   88    1  5.5519E+03 -4.4913E+03  4.006845E-01
   89    1  5.5529E+03 -4.4933E+03  3.621670E-01
   90    1  5.5538E+03 -4.4953E+03  3.061506E-01
    1    2  4.1850E+03 -3.8745E+03  1.580417E-01
    2    2  4.1868E+03 -3.8737E+03  2.048047E-01
    3    2  4.1888E+03 -3.8729E+03  2.317838E-01
    4    2  4.1914E+03 -3.8719E+03  2.631247E-01
    5    2  4.1950E+03 -3.8705E+03  3.074315E-01
    6    2  4.2004E+03 -3.8683E+03  3.747068E-01
    7    2  4.2086E+03 -3.8650E+03  5.158756E-01
    8    2  4.2205E+03 -3.8603E+03  6.648867E-01
    9    2  4.2371E+03 -3.8538E+03  7.900052E-01
   10    2  4.2593E+03 -3.8451E+03  8.706859E-01
   11    2  4.2881E+03 -3.8339E+03  8.342905E-01
   12    2  4.3249E+03 -3.8199E+03  8.504065E-01
   13    2  4.3713E+03 -3.8027E+03  7.630921E-01
   14    2  4.4294E+03 -3.7818E+03  7.228069E-01
   15    2  4.5014E+03 -3.7573E+03  6.669521E-01
   16    2  4.5880E+03 -3.7302E+03  5.665096E-01
   17    2  4.6877E+03 -3.7037E+03  5.288544E-01
   18    2  4.7961E+03 -3.6836E+03  6.113120E-01
   19    2  4.9013E+03 -3.6785E+03  7.772099E-01
   20    2  4.9818E+03 -3.6895E+03  9.491587E-01
   21    2  5.4113E+03 -2.6783E+03  1.769719E+03
   22    2  5.3141E+03 -2.6035E+03  1.769720E+03
   23    2  5.1453E+03 -2.4055E+03  1.769722E+03
   24    2  4.9856E+03 -2.1177E+03  1.769724E+03
   25    2  4.8477E+03 -1.7931E+03  1.769725E+03
