# ITER#1515 (F57 ref-20-NF-C0, tau=0.36e-6, ntime=150)  - 82.6 ms
# electron temperature (eV)
   ix   iy      x           y           z01
    1    1  4.1805E+03 -3.8836E+03  1.330534E-01
    2    1  4.1824E+03 -3.8828E+03  1.281002E-01
    3    1  4.1844E+03 -3.8820E+03  1.491316E-01
    4    1  4.1869E+03 -3.8810E+03  1.203427E-01
    5    1  4.1905E+03 -3.8796E+03  1.476514E-01
    6    1  4.1960E+03 -3.8775E+03  1.948480E-01
    7    1  4.2042E+03 -3.8742E+03  3.316222E-01
    8    1  4.2161E+03 -3.8696E+03  4.272228E-01
    9    1  4.2326E+03 -3.8631E+03  6.157436E-01
   10    1  4.2548E+03 -3.8546E+03  7.343931E-01
   11    1  4.2836E+03 -3.8436E+03  8.142925E-01
   12    1  4.3204E+03 -3.8299E+03  7.751324E-01
   13    1  4.3667E+03 -3.8129E+03  7.687330E-01
   14    1  4.4249E+03 -3.7925E+03  8.042788E-01
   15    1  4.4971E+03 -3.7686E+03  7.517475E-01
   16    1  4.5842E+03 -3.7423E+03  5.971032E-01
   17    1  4.6845E+03 -3.7170E+03  7.456513E-01
   18    1  4.7929E+03 -3.6989E+03  7.438592E-01
   19    1  4.8964E+03 -3.6959E+03  7.335326E-01
   20    1  4.9755E+03 -3.7077E+03  7.287562E-01
   21    1  5.4416E+03 -2.6135E+03  2.237800E+03
   22    1  5.3527E+03 -2.5513E+03  2.237805E+03
   23    1  5.1855E+03 -2.3739E+03  2.237816E+03
   24    1  5.0190E+03 -2.1003E+03  2.237826E+03
   25    1  4.8749E+03 -1.7821E+03  2.237835E+03
   26    1  4.7513E+03 -1.4488E+03  2.237842E+03
   27    1  4.6451E+03 -1.1082E+03  2.237847E+03
   28    1  4.5555E+03 -7.6268E+02  2.237850E+03
   29    1  4.4819E+03 -4.1310E+02  2.237853E+03
   30    1  4.4237E+03 -6.0661E+01  2.237854E+03
   31    1  4.3824E+03  2.9378E+02  2.237855E+03
   32    1  4.3589E+03  6.5012E+02  2.237855E+03
   33    1  4.3515E+03  1.0072E+03  2.237853E+03
   34    1  4.3605E+03  1.3634E+03  2.237851E+03
   35    1  4.3879E+03  1.7170E+03  2.237848E+03
   36    1  4.4377E+03  2.0654E+03  2.237844E+03
   37    1  4.5125E+03  2.4051E+03  2.237838E+03
