# ITER#1515 (F57 ref-20-NF-C0, tau=0.36e-6, ntime=150)  - 82.6 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -2.350439E+03 -2.278923E+03 -2.298782E+03 -2.237858E+03 -2.289399E+03 -2.300324E+03 -2.305148E+03 -2.305098E+03 -2.305891E+03
    2    1  4.1824E+03 -3.8828E+03 -2.678363E+03 -2.576126E+03 -2.608119E+03 -2.510936E+03 -2.592349E+03 -2.609257E+03 -2.616434E+03 -2.616906E+03 -2.618188E+03
    3    1  4.1844E+03 -3.8820E+03 -1.648648E+03 -1.616630E+03 -1.629581E+03 -1.590882E+03 -1.622816E+03 -1.629138E+03 -1.631614E+03 -1.632184E+03 -1.632701E+03
    4    1  4.1869E+03 -3.8810E+03 -2.759094E+02 -2.759029E+02 -2.758933E+02 -2.759962E+02 -2.759221E+02 -2.758903E+02 -2.758812E+02 -2.758702E+02 -2.758657E+02
    5    1  4.1905E+03 -3.8796E+03 -3.665657E+01 -3.885320E+01 -3.739376E+01 -4.209127E+01 -3.805412E+01 -3.742308E+01 -3.720176E+01 -3.710612E+01 -3.704856E+01
    6    1  4.1960E+03 -3.8775E+03  5.301377E+00 -6.314592E+00  1.110083E+00 -2.055346E+01 -2.681973E+00  8.097790E-01  2.065342E+00  2.614574E+00  2.939790E+00
    7    1  4.2042E+03 -3.8742E+03 -4.395727E+02 -4.876072E+02 -4.571287E+02 -5.386769E+02 -4.744635E+02 -4.592627E+02 -4.536367E+02 -4.510478E+02 -4.495762E+02
    8    1  4.2161E+03 -3.8696E+03 -8.465143E+02 -9.030537E+02 -8.666449E+02 -9.582666E+02 -8.883599E+02 -8.695996E+02 -8.622565E+02 -8.586944E+02 -8.566680E+02
    9    1  4.2326E+03 -3.8631E+03 -1.294604E+03 -1.199388E+03 -1.250009E+03 -1.144955E+03 -1.217518E+03 -1.244807E+03 -1.256622E+03 -1.262793E+03 -1.266398E+03
   10    1  4.2548E+03 -3.8546E+03 -3.145397E+03 -2.706004E+03 -2.976947E+03 -2.402245E+03 -2.813965E+03 -2.954354E+03 -3.008937E+03 -3.035190E+03 -3.049756E+03
   11    1  4.2836E+03 -3.8436E+03 -3.808061E+03 -3.296619E+03 -3.628520E+03 -2.998356E+03 -3.430304E+03 -3.603808E+03 -3.671555E+03 -3.702146E+03 -3.718101E+03
   12    1  4.3204E+03 -3.8299E+03 -2.240453E+03 -2.051979E+03 -2.177411E+03 -2.004061E+03 -2.099857E+03 -2.169385E+03 -2.199301E+03 -2.211275E+03 -2.216531E+03
   13    1  4.3667E+03 -3.8129E+03 -2.195235E+03 -2.199803E+03 -2.181947E+03 -2.184157E+03 -2.193752E+03 -2.184799E+03 -2.190086E+03 -2.193194E+03 -2.194320E+03
   14    1  4.4249E+03 -3.7925E+03 -2.668585E+03 -2.636930E+03 -2.631856E+03 -2.525189E+03 -2.659202E+03 -2.638676E+03 -2.644803E+03 -2.653909E+03 -2.659706E+03
   15    1  4.4971E+03 -3.7686E+03 -2.511885E+03 -2.060350E+03 -2.200789E+03 -1.996703E+03 -2.138373E+03 -2.198386E+03 -2.251589E+03 -2.297383E+03 -2.335142E+03
   16    1  4.5842E+03 -3.7423E+03 -3.167030E+03 -1.568817E+03 -1.887564E+03 -1.512453E+03 -1.663333E+03 -1.853962E+03 -2.022156E+03 -2.175697E+03 -2.335193E+03
   17    1  4.6845E+03 -3.7170E+03 -3.091482E+03 -1.046045E+03 -1.248007E+03 -9.454391E+02 -1.151499E+03 -1.244594E+03 -1.350690E+03 -1.492523E+03 -1.693039E+03
   18    1  4.7929E+03 -3.6989E+03 -3.683899E+03 -5.422112E+02 -6.416919E+02 -5.287187E+02 -6.670925E+02 -6.701780E+02 -6.710587E+02 -7.146830E+02 -8.171694E+02
   19    1  4.8964E+03 -3.6959E+03 -2.846628E+03 -2.850636E+02 -4.569448E+02 -3.839183E+02 -4.446950E+02 -4.564386E+02 -4.754886E+02 -4.906897E+02 -5.190458E+02
   20    1  4.9755E+03 -3.7077E+03 -5.965899E+02 -8.387329E+01 -2.483670E+02 -2.718297E+02 -2.530203E+02 -2.382017E+02 -2.484161E+02 -2.459603E+02 -2.505371E+02
   21    1  5.4416E+03 -2.6135E+03 -1.403613E+02 -1.580711E+02 -1.922242E+02 -1.857852E+03 -1.835811E+03 -1.747483E+03 -1.543430E+03 -5.881581E+02  6.602140E+02
   22    1  5.3527E+03 -2.5513E+03 -1.310703E+02 -1.713530E+02 -1.777504E+02 -1.889960E+03 -1.855855E+03 -1.758370E+03 -1.551060E+03 -5.938901E+02  6.453729E+02
   23    1  5.1855E+03 -2.3739E+03 -1.178849E+02 -1.762167E+02 -1.561416E+02 -1.916169E+03 -1.884055E+03 -1.791210E+03 -1.589445E+03 -6.058422E+02  6.516296E+02
   24    1  5.0190E+03 -2.1003E+03 -1.016900E+02 -1.582969E+02 -1.305724E+02 -1.847667E+03 -1.821833E+03 -1.738726E+03 -1.551809E+03 -5.785208E+02  6.524327E+02
   25    1  4.8749E+03 -1.7821E+03 -8.293980E+01 -1.330048E+02 -1.032475E+02 -1.669512E+03 -1.647814E+03 -1.576392E+03 -1.412709E+03 -5.118960E+02  6.161285E+02
   26    1  4.7513E+03 -1.4488E+03 -6.511340E+01 -1.093623E+02 -7.946080E+01 -1.433515E+03 -1.415264E+03 -1.356589E+03 -1.220499E+03 -4.312489E+02  5.482297E+02
   27    1  4.6451E+03 -1.1082E+03 -5.018884E+01 -9.001320E+01 -6.189819E+01 -1.178809E+03 -1.165462E+03 -1.120128E+03 -1.012336E+03 -3.513074E+02  4.628736E+02
   28    1  4.5555E+03 -7.6268E+02 -3.783001E+01 -7.470646E+01 -5.000566E+01 -9.114091E+02 -9.024373E+02 -8.695518E+02 -7.893361E+02 -2.712216E+02  3.629306E+02
   29    1  4.4819E+03 -4.1310E+02 -2.773840E+01 -6.261264E+01 -4.303753E+01 -6.340629E+02 -6.288035E+02 -6.076650E+02 -5.544754E+02 -1.909864E+02  2.517686E+02
   30    1  4.4237E+03 -6.0661E+01 -1.916085E+01 -5.258466E+01 -3.924790E+01 -3.486477E+02 -3.461575E+02 -3.358538E+02 -3.089709E+02 -1.097093E+02  1.317532E+02
   31    1  4.3824E+03  2.9378E+02 -1.139167E+01 -3.950175E+01 -3.728872E+01 -5.863075E+01 -5.858627E+01 -5.851734E+01 -5.718886E+01 -2.735054E+01  7.048975E+00
   32    1  4.3589E+03  6.5012E+02 -3.875663E+00 -2.679265E+01 -3.600228E+01  2.321440E+02  2.298050E+02  2.195867E+02  1.952881E+02  5.523798E+01 -1.176987E+02
   33    1  4.3515E+03  1.0072E+03  4.345720E+00 -1.717879E+01 -3.333128E+01  5.202909E+02  5.157418E+02  4.952201E+02  4.451846E+02  1.379766E+02 -2.397816E+02
   34    1  4.3605E+03  1.3634E+03  1.402499E+01 -6.215355E+00 -2.768598E+01  8.005189E+02  7.934753E+02  7.625112E+02  6.868071E+02  2.200205E+02 -3.555157E+02
   35    1  4.3879E+03  1.7170E+03  2.565751E+01  6.545953E+00 -1.735253E+01  1.065276E+03  1.053424E+03  1.010816E+03  9.095325E+02  2.992376E+02 -4.574512E+02
   36    1  4.4377E+03  2.0654E+03  3.971948E+01  2.248096E+01 -1.752792E+00  1.316497E+03  1.299889E+03  1.245516E+03  1.118779E+03  3.782899E+02 -5.467339E+02
   37    1  4.5125E+03  2.4051E+03  5.581449E+01  4.190863E+01  1.868930E+01  1.548743E+03  1.528320E+03  1.462273E+03  1.310139E+03  4.553692E+02 -6.203793E+02
   38    1  4.6154E+03  2.7294E+03  7.304946E+01  6.967562E+01  4.292371E+01  1.745578E+03  1.720462E+03  1.642355E+03  1.466100E+03  5.236203E+02 -6.705701E+02
   39    1  4.7504E+03  3.0251E+03  9.030447E+01  9.547335E+01  6.872286E+01  1.889134E+03  1.860053E+03  1.771378E+03  1.574822E+03  5.764721E+02 -6.966568E+02
   40    1  4.9164E+03  3.2727E+03  1.061604E+02  1.052612E+02  9.391478E+01  1.956043E+03  1.923958E+03  1.827235E+03  1.616474E+03  6.011667E+02 -7.018970E+02
   41    1  5.1052E+03  3.4555E+03  1.198597E+02  9.298525E+01  1.168674E+02  1.934666E+03  1.901551E+03  1.800473E+03  1.582938E+03  5.878713E+02 -6.988298E+02
   42    1  5.3135E+03  3.5722E+03  1.311187E+02  3.871454E+01  1.371058E+02  1.820644E+03  1.786807E+03  1.684426E+03  1.467567E+03  5.307264E+02 -6.933786E+02
   43    1  5.5546E+03  3.6286E+03  1.414968E+02 -1.027688E+02  1.572400E+02  1.615826E+03  1.581136E+03  1.479901E+03  1.270353E+03  4.300248E+02 -6.871457E+02
   44    1  5.8345E+03  3.6189E+03  1.535961E+02 -4.183512E+02  1.792773E+02  1.341377E+03  1.307865E+03  1.210340E+03  1.012525E+03  2.946006E+02 -6.891245E+02
   45    1  6.1357E+03  3.5401E+03  1.651868E+02 -1.017642E+03  1.982894E+02  1.027981E+03  9.948759E+02  9.015216E+02  7.174983E+02  1.391145E+02 -6.921633E+02
   46    1  6.4361E+03  3.4023E+03  1.724653E+02 -2.002805E+03  2.103000E+02  7.161738E+02  6.812918E+02  5.920202E+02  4.233023E+02 -1.166153E+01 -6.835173E+02
   47    1  6.7223E+03  3.2179E+03  1.747676E+02 -3.455816E+03  2.158442E+02  4.451469E+02  4.086937E+02  3.244972E+02  1.718255E+02 -1.378086E+02 -6.685595E+02
   48    1  6.9892E+03  2.9969E+03  1.707782E+02 -5.013876E+03  2.124984E+02  2.297398E+02  1.925893E+02  1.143871E+02 -2.214076E+01 -2.303509E+02 -6.418221E+02
   49    1  7.2338E+03  2.7476E+03  1.603331E+02 -5.513719E+03  1.996854E+02  6.998733E+01  3.315368E+01 -3.782774E+01 -1.574137E+02 -2.864653E+02 -5.975669E+02
   50    1  7.4516E+03  2.4737E+03  1.452371E+02 -3.846111E+03  1.803176E+02 -3.917082E+01 -7.495637E+01 -1.375469E+02 -2.392319E+02 -3.106093E+02 -5.411708E+02
   51    1  7.6402E+03  2.1775E+03  1.255152E+02 -4.793646E+03  1.544054E+02 -1.011126E+02 -1.335575E+02 -1.864709E+02 -2.700922E+02 -3.038462E+02 -4.714992E+02
   52    1  7.7989E+03  1.8632E+03  1.015992E+02 -8.792646E+03  1.225213E+02 -1.234862E+02 -1.502419E+02 -1.923729E+02 -2.579614E+02 -2.702918E+02 -3.888895E+02
   53    1  7.9254E+03  1.5344E+03  7.493564E+01 -3.925270E+03  8.673858E+01 -1.173520E+02 -1.379867E+02 -1.688888E+02 -2.159097E+02 -2.174620E+02 -2.966260E+02
   54    1  8.0173E+03  1.1942E+03  4.623445E+01  4.683854E+02  4.784437E+01 -8.918256E+01 -1.014204E+02 -1.202708E+02 -1.490845E+02 -1.488266E+02 -1.966673E+02
   55    1  8.0748E+03  8.4620E+02  1.608074E+01 -3.034585E+03  6.776976E+00 -4.881203E+01 -5.034529E+01 -5.612914E+01 -6.693726E+01 -6.972105E+01 -9.038305E+01
   56    1  8.0955E+03  4.9507E+02 -1.398031E+01 -5.216826E+03 -3.409666E+01 -1.233041E+01 -7.138808E+00 -7.552611E-01  8.237705E+00  6.776481E+00  1.682445E+01
   57    1  8.0760E+03  1.4422E+02 -4.369242E+01 -2.736916E+03 -7.484790E+01  1.761005E+01  2.868268E+01  4.696909E+01  7.593918E+01  7.864968E+01  1.219910E+02
   58    1  8.0182E+03 -2.0275E+02 -7.211894E+01  4.729816E+03 -1.139877E+02  3.959717E+01  5.896732E+01  8.968779E+01  1.373063E+02  1.449861E+02  2.221462E+02
   59    1  7.9235E+03 -5.4071E+02 -9.808829E+01  8.749385E+03 -1.498028E+02  4.196387E+01  6.669419E+01  1.086910E+02  1.753394E+02  1.963509E+02  3.142798E+02
   60    1  7.7913E+03 -8.6495E+02 -1.220517E+02  7.613403E+03 -1.832131E+02  2.108755E+01  4.927539E+01  1.015613E+02  1.870834E+02  2.310420E+02  3.987183E+02
   61    1  7.6233E+03 -1.1723E+03 -1.428432E+02  5.732760E+03 -2.124478E+02 -2.372989E+01  8.135102E+00  6.992275E+01  1.726418E+02  2.472695E+02  4.710608E+02
   62    1  7.4231E+03 -1.4604E+03 -1.602367E+02  5.233063E+03 -2.371549E+02 -9.727399E+01 -6.202448E+01  8.085412E+00  1.262922E+02  2.423671E+02  5.317187E+02
   63    1  7.1956E+03 -1.7276E+03 -1.730998E+02  5.055943E+03 -2.555165E+02 -2.087694E+02 -1.718488E+02 -9.491107E+01  3.766381E+01  2.108354E+02  5.788961E+02
   64    1  6.9444E+03 -1.9711E+03 -1.816867E+02  3.708063E+03 -2.676549E+02 -3.663321E+02 -3.298882E+02 -2.479727E+02 -1.021688E+02  1.492124E+02  6.155869E+02
   65    1  6.6712E+03 -2.1892E+03 -1.853386E+02  2.409277E+03 -2.722818E+02 -5.737736E+02 -5.385266E+02 -4.534382E+02 -2.964628E+02  5.540606E+01  6.413439E+02
   66    1  6.3795E+03 -2.3804E+03 -1.818567E+02  1.344818E+03 -2.656357E+02 -8.366046E+02 -8.033721E+02 -7.168563E+02 -5.505022E+02 -7.418755E+01  6.530716E+02
   67    1  6.0760E+03 -2.5349E+03 -1.706775E+02  5.646656E+02 -2.464570E+02 -1.149024E+03 -1.117935E+03 -1.030713E+03 -8.552188E+02 -2.341215E+02  6.520909E+02
   68    1  5.7833E+03 -2.6271E+03 -1.529766E+02  1.018301E+02 -2.166811E+02 -1.460906E+03 -1.427404E+03 -1.336313E+03 -1.149335E+03 -3.927616E+02  6.357363E+02
   69    1  5.5581E+03 -2.6394E+03 -1.415680E+02 -9.700556E+01 -1.962249E+02 -1.718236E+03 -1.686082E+03 -1.591776E+03 -1.392419E+03 -5.177767E+02  6.384569E+02
   70    1  5.4620E+03 -2.6219E+03 -1.418507E+02 -1.506090E+02 -1.946416E+02 -1.842135E+03 -1.822745E+03 -1.736418E+03 -1.533824E+03 -5.829309E+02  6.632042E+02
   71    1  5.0368E+03 -3.7322E+03 -3.569199E+02 -5.900594E+01 -2.335161E+02 -2.518339E+02 -2.037503E+02 -2.349858E+02 -2.513576E+02 -2.472362E+02 -2.503663E+02
   72    1  5.1093E+03 -3.7836E+03  4.344374E+02  6.282462E+01  1.224594E+02  5.448906E+01  1.277787E+02  1.410581E+02  1.366795E+02  1.485058E+02  1.511521E+02
   73    1  5.1911E+03 -3.8676E+03  1.044062E+03  7.890202E+02  8.099745E+02  8.473836E+02  9.398527E+02  8.635935E+02  8.226531E+02  8.094267E+02  8.093623E+02
   74    1  5.2648E+03 -3.9669E+03  1.745531E+03  1.588255E+03  1.611253E+03  1.556309E+03  1.658658E+03  1.633352E+03  1.627254E+03  1.630409E+03  1.644143E+03
   75    1  5.3274E+03 -4.0657E+03  2.345032E+03  1.905117E+03  2.108163E+03  1.851472E+03  1.991673E+03  2.101569E+03  2.154306E+03  2.187955E+03  2.208705E+03
   76    1  5.3798E+03 -4.1563E+03  2.629695E+03  2.513229E+03  2.555485E+03  2.469339E+03  2.542095E+03  2.556930E+03  2.570529E+03  2.581765E+03  2.589730E+03
