1.00
*     IK    IR          PSIn       B_ratio
       1     2     0.9210718     0.0547909     1.0520507
       2     2     0.9210707     0.0587743     1.0520649
       3     2     0.9210157     0.0754240     1.0527989
       4     2     0.9209720     0.1012801     1.0533809
       5     2     0.9209698     0.1288195     1.0534106
       6     2     0.9209552     0.1539946     1.0536044
       7     2     0.9209484     0.1750191     1.0536961
       8     2     0.9209540     0.1919801     1.0536213
       9     2     0.9209687     0.2030711     1.0534253
      10     2     0.9209729     0.2108228     1.0533687
      11     2     0.9209595     0.2139888     1.0535474
      12     2     0.9209659     0.2142165     1.0534625
      13     2     0.9209746     0.2075375     1.0533458
      14     2     0.9209730     0.1969889     1.0533677
      15     2     0.9209672     0.1805448     1.0534447
      16     2     0.9209619     0.1640761     1.0535160
      17     2     0.9209644     0.1438694     1.0534828
      18     2     0.9209725     0.1246580     1.0533746
      19     2     0.9209716     0.1078517     1.0533856
      20     2     0.9209840     0.0929941     1.0532208
      21     2     0.9209827     0.0846456     1.0532378
      22     2     0.9209903     0.0833457     1.0531367
      23     2     0.9210037     0.0886288     1.0529590
      24     2     0.9209735     0.1032086     1.0533608
      25     2     0.9209599     0.1245858     1.0535425
      26     2     0.9209409     0.1497509     1.0537960
      27     2     0.9209539     0.1746425     1.0536229
      28     2     0.9209441     0.2010413     1.0537522
      29     2     0.9209367     0.2228599     1.0538510
      30     2     0.9209272     0.2429211     1.0539779
      31     2     0.9209284     0.2604490     1.0539620
      32     2     0.9209199     0.2728205     1.0540757
      33     2     0.9209367     0.2836975     1.0538519
      34     2     0.9209382     0.2904104     1.0538309
      35     2     0.9209352     0.2906968     1.0538713
      36     2     0.9209245     0.2891718     1.0540140
      37     2     0.9209336     0.2860114     1.0538934
      38     2     0.9209342     0.2821720     1.0538847
      39     2     0.9209320     0.2722630     1.0539146
      40     2     0.9209434     0.2600991     1.0537622
      41     2     0.9209316     0.2473182     1.0539189
      42     2     0.9209228     0.2310213     1.0540365
      43     2     0.9209374     0.2114041     1.0538419
      44     2     0.9209451     0.1883328     1.0537398
      45     2     0.9209371     0.1624757     1.0538463
      46     2     0.9209406     0.1330985     1.0537990
      47     2     0.9209383     0.1014354     1.0538297
      48     2     0.9209533     0.0727389     1.0536299
      49     2     0.9210106     0.0573266     1.0528661
      50     2     0.9210645     0.0546771     1.0521476
      51     2     0.9210718     0.0547909     1.0520507
       1     3     0.9303045     0.0501678     0.9289867
       2     3     0.9303086     0.0547538     0.9289313
       3     3     0.9302582     0.0741906     0.9296038
       4     3     0.9302259     0.1011193     0.9300335
       5     3     0.9302360     0.1292257     0.9298992
       6     3     0.9302300     0.1538995     0.9299791
       7     3     0.9302361     0.1746207     0.9298973
       8     3     0.9302433     0.1916934     0.9298023
       9     3     0.9302495     0.2034608     0.9297194
      10     3     0.9302605     0.2101449     0.9295730
      11     3     0.9302442     0.2145093     0.9297892
      12     3     0.9302550     0.2135661     0.9296465
      13     3     0.9302612     0.2065349     0.9295632
      14     3     0.9302594     0.1962750     0.9295867
      15     3     0.9302543     0.1809406     0.9296558
      16     3     0.9302428     0.1630788     0.9298081
      17     3     0.9302523     0.1435143     0.9296819
      18     3     0.9302588     0.1240150     0.9295950
      19     3     0.9302466     0.1064593     0.9297585
      20     3     0.9302495     0.0910517     0.9297194
      21     3     0.9302441     0.0823489     0.9297905
      22     3     0.9302522     0.0811646     0.9296831
      23     3     0.9302355     0.0878374     0.9299054
      24     3     0.9302178     0.1028617     0.9301411
      25     3     0.9302308     0.1255596     0.9299687
      26     3     0.9302221     0.1511110     0.9300840
      27     3     0.9302309     0.1763523     0.9299672
      28     3     0.9302278     0.2025137     0.9300086
      29     3     0.9302223     0.2243967     0.9300819
      30     3     0.9302059     0.2449152     0.9302997
      31     3     0.9302139     0.2622949     0.9301932
      32     3     0.9302067     0.2746049     0.9302900
      33     3     0.9302224     0.2862872     0.9300809
      34     3     0.9302220     0.2934384     0.9300853
      35     3     0.9302240     0.2917967     0.9300596
      36     3     0.9302041     0.2913498     0.9303243
      37     3     0.9302130     0.2871498     0.9302058
      38     3     0.9302225     0.2852298     0.9300793
      39     3     0.9302152     0.2746886     0.9301769
      40     3     0.9302194     0.2616782     0.9301204
      41     3     0.9302106     0.2491320     0.9302376
      42     3     0.9302039     0.2329807     0.9303269
      43     3     0.9302243     0.2125819     0.9300547
      44     3     0.9302283     0.1897365     0.9300017
      45     3     0.9302233     0.1650971     0.9300678
      46     3     0.9302192     0.1355750     0.9301227
      47     3     0.9302060     0.1028110     0.9302986
      48     3     0.9302187     0.0721502     0.9301302
      49     3     0.9302428     0.0537342     0.9298088
      50     3     0.9303035     0.0501858     0.9289988
      51     3     0.9303045     0.0501678     0.9289867
       1     4     0.9393172     0.0494680     0.8088544
       2     4     0.9392965     0.0543265     0.8091304
       3     4     0.9392813     0.0758239     0.8093326
       4     4     0.9393112     0.1030733     0.8089345
       5     4     0.9393342     0.1306596     0.8086271
       6     4     0.9393321     0.1543418     0.8086551
       7     4     0.9393516     0.1745773     0.8083957
       8     4     0.9393555     0.1915790     0.8083431
       9     4     0.9393649     0.2042769     0.8082187
      10     4     0.9393775     0.2097802     0.8080504
      11     4     0.9393566     0.2154001     0.8083283
      12     4     0.9393737     0.2129083     0.8081003
      13     4     0.9393798     0.2056116     0.8080195
      14     4     0.9393775     0.1955888     0.8080500
      15     4     0.9393717     0.1818616     0.8081270
      16     4     0.9393483     0.1628177     0.8084394
      17     4     0.9393686     0.1442547     0.8081688
      18     4     0.9393685     0.1248525     0.8081705
      19     4     0.9393501     0.1065554     0.8084151
      20     4     0.9393321     0.0914209     0.8086555
      21     4     0.9393351     0.0824706     0.8086153
      22     4     0.9393236     0.0809524     0.8087690
      23     4     0.9392948     0.0898305     0.8091522
      24     4     0.9393151     0.1052845     0.8088814
      25     4     0.9393324     0.1280695     0.8086510
