{NUMBER OF COLUMNS}  4
* 21700 @ 2400 ms
* play data taken from SOLPS run
*
* psin     jsat           Te         Ti     
*          (Amps)         (eV)       (eV) 
{DATA}
0.98231    2.0104E+02     3.2926     5.0560  
0.98620    4.3398E+02     2.3851     4.5148  
0.98942    9.2401E+02     2.4709     4.0424  
0.99209    1.7626E+03     3.0512     3.6969  
0.99423    8.9765E+03     3.2663     4.1534  
0.99594    2.3786E+04     3.6536     5.2365  
0.99731    5.6454E+04     4.2671     5.7805  
0.99846    1.3665E+04     4.8667     6.6944  
0.99947    7.2802E+04     5.3062     6.8143  
1.00113    2.3255E+05     4.8083     6.9482  
1.00409    3.7144E+05     4.4420     5.8407  
1.00836    3.6029E+05     3.9094     4.8402  
1.01411    2.6278E+05     3.6165     4.3357  
1.02153    1.6132E+05     3.8301     4.7422  
1.03073    7.3710E+04     5.6315     7.3194  
1.04201    3.2215E+04    11.8843    14.5052  
1.05627    1.6829E+04    13.7402    21.5660  
1.07232    9.9784E+03     9.7922    23.8933  
{END}


















