* current DIII-D wall with extended lower shelf, from D. Elder e-mail on 25/10/2011 
*   removed the upper, inner duct opening
1.0160 	 0.0000   1.0160	 0.4500
1.0160	 0.4500	  1.0160	 0.7000
1.0160	 0.7000	  1.0160	 0.9680
1.0160	 0.9680	  1.0160 	 1.0010
1.0160 	 1.0010	  1.0160	 1.0190
1.0160	 1.0190	  1.0160	 1.0700
1.0160	 1.0700	  1.0160	 1.0770
1.0160	 1.0770	  1.0160	 1.0960
1.0160	 1.0960	  1.0160	 1.1690
1.0160	 1.1690	  1.0420	 1.1690
1.0420	 1.1690	  1.0560	 1.1690 1.0160	 1.1470	  1.0120	 1.1650
1.0560	 1.1690	  1.0970	 1.1690	1.0120	 1.1650	  1.0010	 1.2170
1.0970	 1.1690	  1.1160	 1.1690	1.0010	 1.2170	  1.0290	 1.2170
1.1160	 1.1690	  1.1340	 1.1690	1.0290	 1.2170	  1.0420	 1.1624
1.1340	 1.1690	  1.1480	 1.1718
1.1480	 1.1718	  1.1620	 1.1756
1.1620	 1.1756	  1.1850	 1.1850
1.1850	 1.1850	  1.1950	 1.1910
1.1950	 1.1910	  1.2220	 1.2140
1.2220	 1.2140	  1.2390	 1.2380
1.2390	 1.2380	  1.2480	 1.2540
1.2480	 1.2540	  1.2630	 1.2900
1.2630	 1.2900	  1.2800	 1.3310
1.2800	 1.3310	  1.2800	 1.3480
1.2800	 1.3480	  1.3100	 1.3480
1.3100	 1.3480	  1.3280	 1.3480
1.3280	 1.3480	  1.3610	 1.3480
1.3610	 1.3480	  1.3800	 1.3480
1.3800	 1.3480	  1.4190	 1.3480
1.4190	 1.3480	  1.4190	 1.3100
1.4190	 1.3100	  1.3720	 1.3100
1.3720	 1.3100	  1.3720	 1.2920
1.3720	 1.2920	  1.6080	 1.0950
1.6080	 1.0950	  1.6470	 1.0770
1.6470	 1.0770	  1.7850	 1.0770
1.7850	 1.0770	  2.0700	 1.0400
2.0700	 1.0400	  2.1280	 0.9930
2.1280	 0.9930	  2.2450	 0.7090
2.2450	 0.7090	  2.3230	 0.5190
2.3230	 0.5190	  2.3770	 0.3890
2.3770	 0.3890	  2.3520	 0.4000
2.3520	 0.4000	  2.3510	 0.3370
2.3510	 0.3370	  2.3510	 0.2050
2.3510	 0.2050	  2.3540	 0.0680
2.3540	 0.0680	  2.3540	 0.0000
2.3540	 0.0000	  2.3540	-0.0680
2.3540	-0.0680	  2.3530	-0.2050
2.3530	-0.2050	  2.3510	-0.3370
2.3510	-0.3370	  2.3530	-0.4000
2.3530	-0.4000	  2.3770	-0.3890
2.3770	-0.3890	  2.1340	-0.9730
2.1340	-0.9730	  1.7860	-1.1740
1.7860	-1.1740	  1.7680	-1.2110
1.7680	-1.2110	  1.7680	-1.2500
1.7680	-1.2500	  1.6820	-1.2500
1.6820	-1.2500	  1.6500	-1.2500
1.6500	-1.2500	  1.6000	-1.2500
1.6000	-1.2500	  1.5500	-1.2500
1.5500	-1.2500	  1.5000	-1.2500
1.5000	-1.2500	  1.4500	-1.2500
1.4500	-1.2500	  1.4050	-1.2500
1.4050	-1.2500	  1.3925	-1.2530
1.3925	-1.2530	  1.3800	-1.2600
1.3800	-1.2600	  1.3740	-1.2745
1.3740	-1.2745	  1.3720	-1.2890
1.3720	-1.2890	  1.3720	-1.3090
1.3720	-1.3090	  1.3720	-1.3290
1.3720	-1.3290	  1.3900	-1.3290
1.3900	-1.3290	  1.4200	-1.3290
1.4200	-1.3290	  1.4200	-1.3630
1.4200	-1.3630	  1.4000	-1.3630
1.4000	-1.3630	  1.3800	-1.3630
1.3800	-1.3630	  1.3600	-1.3630
1.3600	-1.3630	  1.3400	-1.3630
1.3400	-1.3630	  1.3200	-1.3630
1.3200	-1.3630	  1.3000	-1.3630
1.3000	-1.3630	  1.2800	-1.3630
1.2800	-1.3630	  1.2730	-1.3630
1.2730	-1.3630	  1.2000	-1.3630
1.2000	-1.3630	  1.1530	-1.3630
1.1530	-1.3630	  1.0160	-1.2230
1.0160	-1.2230	  1.0160	-1.2230
1.0160	-1.2230	  1.0160	-0.8300
1.0160	-0.8300	  1.0160	-0.8000
1.0160	-0.8000	  1.0160	-0.4150
1.0160	-0.4150	  1.0160	-0.4000
1.0160	-0.4000	  1.0160	-0.0010
1.0160	-0.0010	  1.0160	 0.0000

