{NUMBER OF COLUMNS}  4
*
*
*
*
*
*  PSIn        ne                   Te              Ti
*              (10E+6 m-3)         (eV)            (eV)  
{DATA}
   0.97537     9.0253e+011        7.1445        13.3320
   0.97662     8.9283e+011        7.1373        13.3510
   0.97786     8.8249e+011        7.1292        13.3710
   0.97910     8.7165e+011        7.1220        13.3780
   0.98033     8.6298e+011        7.1167        13.3650
   0.98156     1.0052e+012        7.9505        14.4640
   0.98277     1.2743e+012        9.5180        16.5550
   0.98399     1.2586e+012        9.5092        16.5610
   0.98519     1.2496e+012        9.5036        16.5790
   0.98639     1.2753e+012        9.7877        16.8600
   0.98758     1.5791e+012       12.5850        19.4000
   0.98877     1.5562e+012       12.5850        19.4170
   0.98994     1.5402e+012       12.5850        19.4330
   0.99112     1.8180e+012       15.3750        21.4250
   0.99228     1.8943e+012       16.4760        22.2150
   0.99344     1.8771e+012       16.8340        22.4350
   0.99459     2.1054e+012       20.7020        24.7740
   0.99574     2.0807e+012       21.3680        25.1410
   0.99688     2.2041e+012       25.0480        27.1520
   0.99801     2.2384e+012       28.2180        28.8800
   0.99914     2.2460e+012       31.8600        30.7350
   1.00026     2.1760e+012       38.2010        34.5460
   1.00137     2.1743e+012       39.4930        35.3970
   1.00248     2.2915e+012       39.4640        35.4460
   1.00358     2.0552e+012       42.6100        41.9460
   1.00467     2.0699e+012       42.6200        41.9860
   1.00576     2.1057e+012       42.3930        43.0530
   1.00684     2.0123e+012       41.3840        47.8370
   1.00791     2.0625e+012       41.3710        47.8230
   1.00898     1.9766e+012       40.7910        49.1230
   1.01004     1.6765e+012       39.3360        52.4880
   1.01110     1.7196e+012       39.3350        52.4730
   1.01215     1.6228e+012       38.2770        53.8660
   1.01319     1.3974e+012       36.3610        56.3970
   1.01422     1.3996e+012       36.3550        56.3970
   1.01525     1.4021e+012       36.3480        56.3980
   1.01628     1.4085e+012       36.3410        56.3970
   1.01729     1.4373e+012       36.3370        56.3970
   1.01830     1.3442e+012       35.1690        57.2700
   1.01930     1.1342e+012       33.1010        58.8260
   1.02030     1.1369e+012       33.1080        58.8270
   1.02129     1.1393e+012       33.1140        58.8260
   1.02227     1.1421e+012       33.1230        58.8240
   1.02325     1.1465e+012       33.1300        58.8210
   1.02422     1.1321e+012       32.6380        58.8330
   1.02518     9.7881e+011       30.1410        58.9290
   1.02614     9.9361e+011       30.1370        58.9170
   1.02709     1.0063e+012       30.1350        58.9050
   1.02803     1.0209e+012       30.1330        58.8940
   1.02897     1.0341e+012       30.1320        58.8850
   1.02990     1.0477e+012       30.1300        58.8730
   1.03083     9.0418e+011       28.5990        58.2400
   1.03175     8.3073e+011       27.7580        57.8900
   1.03266     8.4187e+011       27.7570        57.8820
   1.03356     8.5361e+011       27.7570        57.8770
   1.03446     8.6402e+011       27.7590        57.8750
   1.03535     8.7504e+011       27.7610        57.8730
   1.03624     8.8489e+011       27.7620        57.8710
