# ITER#2294 (F57-20MW-H, tau=0.47e-6, ntime=150)  - 55.1 ms
# electron temperature (eV)
   ix   iy      x           y           z01
    1    1  4.1805E+00 -3.8836E+00  3.594953E-01
    2    1  4.1824E+00 -3.8828E+00  4.544172E-01
    3    1  4.1844E+00 -3.8820E+00  4.921882E-01
    4    1  4.1869E+00 -3.8810E+00  5.254774E-01
    5    1  4.1905E+00 -3.8796E+00  5.596588E-01
    6    1  4.1960E+00 -3.8775E+00  5.959635E-01
    7    1  4.2042E+00 -3.8742E+00  6.455005E-01
    8    1  4.2161E+00 -3.8696E+00  7.691240E-01
    9    1  4.2326E+00 -3.8631E+00  8.636581E-01
   10    1  4.2548E+00 -3.8546E+00  9.641431E-01
   11    1  4.2836E+00 -3.8436E+00  1.101461E+00
   12    1  4.3204E+00 -3.8299E+00  1.165493E+00
   13    1  4.3667E+00 -3.8129E+00  1.129442E+00
   14    1  4.4249E+00 -3.7925E+00  1.118531E+00
   15    1  4.4971E+00 -3.7686E+00  1.056811E+00
   16    1  4.5842E+00 -3.7423E+00  1.050758E+00
   17    1  4.6845E+00 -3.7170E+00  1.211077E+00
   18    1  4.7929E+00 -3.6989E+00  1.333982E+00
   19    1  4.8964E+00 -3.6959E+00  1.413588E+00
   20    1  4.9755E+00 -3.7077E+00  1.441827E+00
   21    1  5.4416E+00 -2.6135E+00  1.552375E+03
   22    1  5.3527E+00 -2.5513E+00  1.552381E+03
   23    1  5.1855E+00 -2.3739E+00  1.552392E+03
   24    1  5.0190E+00 -2.1003E+00  1.552403E+03
   25    1  4.8749E+00 -1.7821E+00  1.552413E+03
   26    1  4.7513E+00 -1.4488E+00  1.552421E+03
   27    1  4.6451E+00 -1.1082E+00  1.552426E+03
   28    1  4.5555E+00 -7.6268E-01  1.552431E+03
   29    1  4.4819E+00 -4.1310E-01  1.552433E+03
   30    1  4.4237E+00 -6.0661E-02  1.552435E+03
   31    1  4.3824E+00  2.9378E-01  1.552436E+03
   32    1  4.3589E+00  6.5012E-01  1.552436E+03
   33    1  4.3515E+00  1.0072E+00  1.552435E+03
   34    1  4.3605E+00  1.3634E+00  1.552433E+03
   35    1  4.3879E+00  1.7170E+00  1.552429E+03
   36    1  4.4377E+00  2.0654E+00  1.552425E+03
   37    1  4.5125E+00  2.4051E+00  1.552419E+03
   38    1  4.6154E+00  2.7294E+00  1.552411E+03
   39    1  4.7504E+00  3.0251E+00  1.552402E+03
   40    1  4.9164E+00  3.2727E+00  1.552392E+03
   41    1  5.1052E+00  3.4555E+00  1.552382E+03
   42    1  5.3135E+00  3.5722E+00  1.552372E+03
   43    1  5.5546E+00  3.6286E+00  1.552363E+03
   44    1  5.8345E+00  3.6189E+00  1.552353E+03
   45    1  6.1357E+00  3.5401E+00  1.552345E+03
   46    1  6.4361E+00  3.4023E+00  1.552337E+03
   47    1  6.7223E+00  3.2179E+00  1.552331E+03
   48    1  6.9892E+00  2.9969E+00  1.552325E+03
   49    1  7.2338E+00  2.7476E+00  1.552321E+03
   50    1  7.4516E+00  2.4737E+00  1.552317E+03
   51    1  7.6402E+00  2.1775E+00  1.552313E+03
   52    1  7.7989E+00  1.8632E+00  1.552311E+03
   53    1  7.9254E+00  1.5344E+00  1.552309E+03
   54    1  8.0173E+00  1.1942E+00  1.552307E+03
   55    1  8.0748E+00  8.4620E-01  1.552307E+03
   56    1  8.0955E+00  4.9507E-01  1.552307E+03
   57    1  8.0760E+00  1.4422E-01  1.552307E+03
   58    1  8.0182E+00 -2.0275E-01  1.552308E+03
   59    1  7.9235E+00 -5.4071E-01  1.552310E+03
   60    1  7.7913E+00 -8.6495E-01  1.552312E+03
   61    1  7.6233E+00 -1.1723E+00  1.552315E+03
   62    1  7.4231E+00 -1.4604E+00  1.552319E+03
   63    1  7.1956E+00 -1.7276E+00  1.552323E+03
   64    1  6.9444E+00 -1.9711E+00  1.552328E+03
   65    1  6.6712E+00 -2.1892E+00  1.552334E+03
   66    1  6.3795E+00 -2.3804E+00  1.552341E+03
   67    1  6.0760E+00 -2.5349E+00  1.552349E+03
   68    1  5.7833E+00 -2.6271E+00  1.552359E+03
   69    1  5.5581E+00 -2.6394E+00  1.552369E+03
   70    1  5.4620E+00 -2.6219E+00  1.552374E+03
   71    1  5.0368E+00 -3.7322E+00  1.477428E+00
