# ITER#2308 (F57-20MW-H, tau=0.33e-6, ntime=150)  - 61.3 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01
    1    1  4.1805E+00 -3.8836E+00 -2.752884E+03
    2    1  4.1824E+00 -3.8828E+00  6.723599E+02
    3    1  4.1844E+00 -3.8820E+00  1.349544E+03
    4    1  4.1869E+00 -3.8810E+00  1.216390E+03
    5    1  4.1905E+00 -3.8796E+00  4.416499E+02
    6    1  4.1960E+00 -3.8775E+00 -1.089574E+03
    7    1  4.2042E+00 -3.8742E+00 -1.832180E+03
    8    1  4.2161E+00 -3.8696E+00 -1.537091E+03
    9    1  4.2326E+00 -3.8631E+00 -2.233581E+03
   10    1  4.2548E+00 -3.8546E+00 -3.374112E+03
   11    1  4.2836E+00 -3.8436E+00 -3.585846E+03
   12    1  4.3204E+00 -3.8299E+00 -3.731113E+03
   13    1  4.3667E+00 -3.8129E+00 -3.708634E+03
   14    1  4.4249E+00 -3.7925E+00 -3.182489E+03
   15    1  4.4971E+00 -3.7686E+00 -2.948897E+03
   16    1  4.5842E+00 -3.7423E+00 -2.942348E+03
   17    1  4.6845E+00 -3.7170E+00 -3.410479E+03
   18    1  4.7929E+00 -3.6989E+00 -2.139145E+03
   19    1  4.8964E+00 -3.6959E+00 -8.236964E+02
   20    1  4.9755E+00 -3.7077E+00 -3.828641E+02
   21    1  5.4416E+00 -2.6135E+00 -3.001646E+01
   22    1  5.3527E+00 -2.5513E+00 -2.852321E+01
   23    1  5.1855E+00 -2.3739E+00 -2.701830E+01
   24    1  5.0190E+00 -2.1003E+00 -2.534646E+01
   25    1  4.8749E+00 -1.7821E+00 -2.300431E+01
   26    1  4.7513E+00 -1.4488E+00 -2.047893E+01
   27    1  4.6451E+00 -1.1082E+00 -1.827548E+01
   28    1  4.5555E+00 -7.6268E-01 -1.633370E+01
   29    1  4.4819E+00 -4.1310E-01 -1.456438E+01
   30    1  4.4237E+00 -6.0661E-02 -1.277663E+01
   31    1  4.3824E+00  2.9378E-01 -1.107593E+01
   32    1  4.3589E+00  6.5012E-01 -9.495182E+00
   33    1  4.3515E+00  1.0072E+00 -7.767947E+00
