# ITER#2311 (F57-40MW-H, tau=0.23e-6, ntime=150)  - 30.5 ms
# electron density (m^-3)
   ix   iy      x           y           z01
    1    1  4.1805E+00 -3.8836E+00  1.257432E+17
    2    1  4.1824E+00 -3.8828E+00  7.469337E+16
    3    1  4.1844E+00 -3.8820E+00  5.060947E+17
    4    1  4.1869E+00 -3.8810E+00  6.983286E+17
    5    1  4.1905E+00 -3.8796E+00  7.708154E+17
    6    1  4.1960E+00 -3.8775E+00  4.018191E+17
    7    1  4.2042E+00 -3.8742E+00  1.833559E+17
    8    1  4.2161E+00 -3.8696E+00  5.543219E+16
    9    1  4.2326E+00 -3.8631E+00  2.994028E+16
   10    1  4.2548E+00 -3.8546E+00  2.720916E+16
   11    1  4.2836E+00 -3.8436E+00  4.001644E+16
   12    1  4.3204E+00 -3.8299E+00  2.211538E+16
   13    1  4.3667E+00 -3.8129E+00  1.368504E+16
   14    1  4.4249E+00 -3.7925E+00  6.908200E+15
   15    1  4.4971E+00 -3.7686E+00  1.970538E+15
   16    1  4.5842E+00 -3.7423E+00  5.728833E+14
   17    1  4.6845E+00 -3.7170E+00  4.014525E+13
   18    1  4.7929E+00 -3.6989E+00  3.221474E+12
   19    1  4.8964E+00 -3.6959E+00  1.238445E+11
   20    1  4.9755E+00 -3.7077E+00  7.969678E+09
   21    1  5.4416E+00 -2.6135E+00  3.365196E+19
   22    1  5.3527E+00 -2.5513E+00  3.364751E+19
   23    1  5.1855E+00 -2.3739E+00  3.364079E+19
   24    1  5.0190E+00 -2.1003E+00  3.363490E+19
   25    1  4.8749E+00 -1.7821E+00  3.363110E+19
   26    1  4.7513E+00 -1.4488E+00  3.362899E+19
   27    1  4.6451E+00 -1.1082E+00  3.362798E+19
   28    1  4.5555E+00 -7.6268E-01  3.362764E+19
   29    1  4.4819E+00 -4.1310E-01  3.362762E+19
   30    1  4.4237E+00 -6.0661E-02  3.362781E+19
   31    1  4.3824E+00  2.9378E-01  3.362794E+19
   32    1  4.3589E+00  6.5012E-01  3.362814E+19
   33    1  4.3515E+00  1.0072E+00  3.362831E+19
   34    1  4.3605E+00  1.3634E+00  3.362856E+19
   35    1  4.3879E+00  1.7170E+00  3.362902E+19
   36    1  4.4377E+00  2.0654E+00  3.362990E+19
   37    1  4.5125E+00  2.4051E+00  3.363149E+19
   38    1  4.6154E+00  2.7294E+00  3.363413E+19
