* BM10 3D backspace test			ITER-wall_v15_30mm_gaps.xls
2.0			
{10 SB}			
5.816136	4.621450	6.665074	3.966553
5.827924	4.644588	6.683442	3.984908
5.884033	4.754724	6.770875	4.072279
5.933541	4.851902	6.848021	4.149371
5.941085	4.866711	6.859777	4.161118
{10 END}			
6.906065	4.207373	5.970789	4.925018
{10 SIDE 09}			
5.758141	4.507613	5.816136	4.621450
5.816136	4.621450	5.827924	4.644588
5.827924	4.644588	5.884033	4.754724
5.884033	4.754724	5.933541	4.851902
5.933541	4.851902	5.941085	4.866711
5.941085	4.866711	5.970789	4.925018
{10 SIDE 11}			
6.574702	3.876245	6.665074	3.966553
6.665074	3.966553	6.683442	3.984908
6.683442	3.984908	6.770875	4.072279
6.770875	4.072279	6.848021	4.149371
6.848021	4.149371	6.859777	4.161118
6.859777	4.161118	6.906065	4.207373
{10 GAP 11}			
6.665074	3.966553	6.681835	3.952788
6.683442	3.984908	6.700203	3.971143
6.770875	4.072279	6.787635	4.058514
6.848021	4.149371	6.864782	4.135606
6.859777	4.161118	6.876537	4.147353
{10 END 11}			
6.906065	4.207373	6.922825	4.193608
