%    m	   m	 n/a	 n/a	  Pa
% XPREF	 RMDF	 RHOF	 PSIF	 PREF
  2.923E+00	 2.863E+00	-2.165E-01	-4.948E-02	 6.962E+01
  2.925E+00	 2.864E+00	-2.155E-01	-4.907E-02	 6.953E+01
  2.927E+00	 2.865E+00	-2.138E-01	-4.835E-02	 6.937E+01
  2.927E+00	 2.865E+00	-2.138E-01	-4.834E-02	 6.937E+01
  2.927E+00	 2.866E+00	-2.137E-01	-4.828E-02	 6.936E+01
  2.928E+00	 2.866E+00	-2.131E-01	-4.805E-02	 6.931E+01
  2.928E+00	 2.866E+00	-2.129E-01	-4.796E-02	 6.929E+01
  2.928E+00	 2.866E+00	-2.128E-01	-4.790E-02	 6.928E+01
  2.929E+00	 2.867E+00	-2.123E-01	-4.772E-02	 6.924E+01
  2.931E+00	 2.868E+00	-2.110E-01	-4.715E-02	 6.911E+01
  2.934E+00	 2.870E+00	-2.087E-01	-4.617E-02	 6.890E+01
  2.935E+00	 2.871E+00	-2.076E-01	-4.570E-02	 6.880E+01
  2.935E+00	 2.871E+00	-2.075E-01	-4.568E-02	 6.880E+01
  2.936E+00	 2.871E+00	-2.071E-01	-4.550E-02	 6.876E+01
  2.937E+00	 2.872E+00	-2.063E-01	-4.515E-02	 6.868E+01
  2.938E+00	 2.872E+00	-2.058E-01	-4.497E-02	 6.864E+01
  2.938E+00	 2.872E+00	-2.056E-01	-4.486E-02	 6.862E+01
  2.938E+00	 2.872E+00	-2.055E-01	-4.481E-02	 6.861E+01
  2.939E+00	 2.873E+00	-2.048E-01	-4.453E-02	 6.855E+01
  2.939E+00	 2.873E+00	-2.045E-01	-4.441E-02	 6.852E+01
  2.940E+00	 2.874E+00	-2.042E-01	-4.430E-02	 6.850E+01
  2.941E+00	 2.874E+00	-2.035E-01	-4.400E-02	 6.843E+01
  2.941E+00	 2.874E+00	-2.033E-01	-4.390E-02	 6.841E+01
  2.942E+00	 2.875E+00	-2.022E-01	-4.345E-02	 6.831E+01
  2.943E+00	 2.876E+00	-2.018E-01	-4.328E-02	 6.828E+01
  2.943E+00	 2.876E+00	-2.018E-01	-4.327E-02	 6.828E+01
  2.943E+00	 2.876E+00	-2.016E-01	-4.321E-02	 6.826E+01
  2.944E+00	 2.876E+00	-2.011E-01	-4.299E-02	 6.821E+01
  2.944E+00	 2.876E+00	-2.009E-01	-4.290E-02	 6.819E+01
  2.944E+00	 2.876E+00	-2.008E-01	-4.283E-02	 6.818E+01
  2.945E+00	 2.877E+00	-2.003E-01	-4.265E-02	 6.814E+01
  2.947E+00	 2.878E+00	-1.990E-01	-4.208E-02	 6.802E+01
  2.950E+00	 2.880E+00	-1.967E-01	-4.111E-02	 6.781E+01
  2.951E+00	 2.881E+00	-1.955E-01	-4.064E-02	 6.771E+01
  2.951E+00	 2.881E+00	-1.955E-01	-4.062E-02	 6.770E+01
  2.952E+00	 2.881E+00	-1.951E-01	-4.046E-02	 6.766E+01
  2.953E+00	 2.882E+00	-1.943E-01	-4.017E-02	 6.759E+01
  2.954E+00	 2.882E+00	-1.940E-01	-4.002E-02	 6.755E+01
  2.954E+00	 2.882E+00	-1.937E-01	-3.992E-02	 6.752E+01
  2.954E+00	 2.882E+00	-1.936E-01	-3.988E-02	 6.751E+01
  2.955E+00	 2.883E+00	-1.930E-01	-3.964E-02	 6.745E+01
  2.955E+00	 2.883E+00	-1.928E-01	-3.958E-02	 6.744E+01
  2.956E+00	 2.883E+00	-1.925E-01	-3.944E-02	 6.740E+01
  2.956E+00	 2.884E+00	-1.920E-01	-3.923E-02	 6.735E+01
  2.957E+00	 2.884E+00	-1.916E-01	-3.910E-02	 6.732E+01
  2.958E+00	 2.885E+00	-1.907E-01	-3.872E-02	 6.722E+01
  2.959E+00	 2.885E+00	-1.904E-01	-3.862E-02	 6.719E+01
  2.959E+00	 2.885E+00	-1.904E-01	-3.861E-02	 6.719E+01
  2.959E+00	 2.885E+00	-1.902E-01	-3.856E-02	 6.718E+01
  2.960E+00	 2.886E+00	-1.897E-01	-3.837E-02	 6.713E+01
  2.960E+00	 2.886E+00	-1.895E-01	-3.829E-02	 6.711E+01
  2.960E+00	 2.886E+00	-1.894E-01	-3.823E-02	 6.709E+01
  2.961E+00	 2.886E+00	-1.890E-01	-3.808E-02	 6.706E+01
  2.963E+00	 2.887E+00	-1.878E-01	-3.760E-02	 6.693E+01
  2.966E+00	 2.889E+00	-1.857E-01	-3.677E-02	 6.672E+01
  2.967E+00	 2.890E+00	-1.846E-01	-3.637E-02	 6.662E+01
  2.967E+00	 2.890E+00	-1.846E-01	-3.635E-02	 6.662E+01
  2.968E+00	 2.890E+00	-1.843E-01	-3.623E-02	 6.658E+01
  2.969E+00	 2.891E+00	-1.836E-01	-3.600E-02	 6.650E+01
  2.969E+00	 2.891E+00	-1.833E-01	-3.588E-02	 6.646E+01
  2.970E+00	 2.891E+00	-1.831E-01	-3.581E-02	 6.644E+01
  2.970E+00	 2.891E+00	-1.830E-01	-3.578E-02	 6.643E+01
  2.971E+00	 2.892E+00	-1.825E-01	-3.559E-02	 6.637E+01
  2.972E+00	 2.892E+00	-1.821E-01	-3.544E-02	 6.632E+01
  2.973E+00	 2.893E+00	-1.814E-01	-3.517E-02	 6.623E+01
  2.974E+00	 2.893E+00	-1.806E-01	-3.488E-02	 6.613E+01
  2.979E+00	 2.895E+00	-1.779E-01	-3.392E-02	 6.582E+01
  2.980E+00	 2.896E+00	-1.772E-01	-3.365E-02	 6.573E+01
  2.982E+00	 2.897E+00	-1.759E-01	-3.318E-02	 6.558E+01
  2.982E+00	 2.897E+00	-1.759E-01	-3.317E-02	 6.558E+01
  2.983E+00	 2.897E+00	-1.758E-01	-3.313E-02	 6.556E+01
  2.983E+00	 2.897E+00	-1.754E-01	-3.298E-02	 6.551E+01
  2.984E+00	 2.898E+00	-1.752E-01	-3.292E-02	 6.549E+01
  2.984E+00	 2.898E+00	-1.751E-01	-3.288E-02	 6.548E+01
  2.984E+00	 2.898E+00	-1.748E-01	-3.276E-02	 6.544E+01
  2.986E+00	 2.899E+00	-1.737E-01	-3.238E-02	 6.532E+01
  2.989E+00	 2.900E+00	-1.720E-01	-3.173E-02	 6.511E+01
  2.991E+00	 2.901E+00	-1.711E-01	-3.142E-02	 6.501E+01
  2.991E+00	 2.901E+00	-1.711E-01	-3.141E-02	 6.500E+01
  2.991E+00	 2.901E+00	-1.708E-01	-3.133E-02	 6.496E+01
  2.993E+00	 2.902E+00	-1.704E-01	-3.116E-02	 6.489E+01
  2.993E+00	 2.902E+00	-1.701E-01	-3.108E-02	 6.485E+01
  2.993E+00	 2.902E+00	-1.700E-01	-3.103E-02	 6.482E+01
  2.994E+00	 2.902E+00	-1.699E-01	-3.101E-02	 6.481E+01
  2.995E+00	 2.902E+00	-1.695E-01	-3.088E-02	 6.475E+01
  2.995E+00	 2.902E+00	-1.694E-01	-3.082E-02	 6.473E+01
  2.995E+00	 2.902E+00	-1.692E-01	-3.076E-02	 6.470E+01
  2.996E+00	 2.903E+00	-1.688E-01	-3.063E-02	 6.464E+01
  2.997E+00	 2.903E+00	-1.687E-01	-3.058E-02	 6.461E+01
  2.998E+00	 2.903E+00	-1.681E-01	-3.037E-02	 6.452E+01
  2.998E+00	 2.904E+00	-1.679E-01	-3.030E-02	 6.449E+01
  2.998E+00	 2.904E+00	-1.679E-01	-3.029E-02	 6.448E+01
  2.999E+00	 2.904E+00	-1.678E-01	-3.026E-02	 6.447E+01
  2.999E+00	 2.904E+00	-1.675E-01	-3.016E-02	 6.442E+01
  3.000E+00	 2.904E+00	-1.674E-01	-3.011E-02	 6.440E+01
  3.000E+00	 2.904E+00	-1.673E-01	-3.008E-02	 6.439E+01
  3.000E+00	 2.904E+00	-1.670E-01	-3.000E-02	 6.435E+01
  3.002E+00	 2.905E+00	-1.663E-01	-2.973E-02	 6.423E+01
  3.005E+00	 2.906E+00	-1.650E-01	-2.927E-02	 6.401E+01
  3.007E+00	 2.906E+00	-1.643E-01	-2.905E-02	 6.391E+01
  3.007E+00	 2.906E+00	-1.643E-01	-2.905E-02	 6.391E+01
  3.007E+00	 2.907E+00	-1.641E-01	-2.899E-02	 6.387E+01
  3.009E+00	 2.907E+00	-1.638E-01	-2.888E-02	 6.379E+01
  3.009E+00	 2.907E+00	-1.637E-01	-2.883E-02	 6.376E+01
  3.009E+00	 2.907E+00	-1.636E-01	-2.880E-02	 6.373E+01
  3.010E+00	 2.907E+00	-1.635E-01	-2.878E-02	 6.372E+01
  3.011E+00	 2.907E+00	-1.633E-01	-2.869E-02	 6.366E+01
  3.011E+00	 2.908E+00	-1.631E-01	-2.864E-02	 6.362E+01
  3.011E+00	 2.908E+00	-1.631E-01	-2.862E-02	 6.361E+01
  3.012E+00	 2.908E+00	-1.627E-01	-2.851E-02	 6.353E+01
  3.013E+00	 2.908E+00	-1.627E-01	-2.850E-02	 6.352E+01
  3.014E+00	 2.908E+00	-1.623E-01	-2.836E-02	 6.343E+01
  3.015E+00	 2.908E+00	-1.621E-01	-2.829E-02	 6.338E+01
  3.015E+00	 2.908E+00	-1.621E-01	-2.829E-02	 6.337E+01
  3.015E+00	 2.908E+00	-1.620E-01	-2.827E-02	 6.336E+01
  3.016E+00	 2.909E+00	-1.618E-01	-2.820E-02	 6.331E+01
  3.016E+00	 2.909E+00	-1.617E-01	-2.817E-02	 6.329E+01
  3.016E+00	 2.909E+00	-1.617E-01	-2.815E-02	 6.328E+01
  3.017E+00	 2.909E+00	-1.615E-01	-2.809E-02	 6.324E+01
  3.018E+00	 2.909E+00	-1.610E-01	-2.792E-02	 6.312E+01
  3.022E+00	 2.910E+00	-1.601E-01	-2.762E-02	 6.290E+01
  3.023E+00	 2.910E+00	-1.597E-01	-2.747E-02	 6.280E+01
  3.023E+00	 2.912E+00	-1.584E-01	-2.725E-02	 6.280E+01
  3.024E+00	 2.921E+00	-1.469E-01	-2.529E-02	 6.276E+01
  3.025E+00	 2.938E+00	-1.253E-01	-2.159E-02	 6.268E+01
  3.025E+00	 2.947E+00	-1.141E-01	-1.968E-02	 6.265E+01
  3.026E+00	 2.953E+00	-1.071E-01	-1.848E-02	 6.262E+01
  3.026E+00	 2.955E+00	-1.042E-01	-1.799E-02	 6.261E+01
  3.027E+00	 2.969E+00	-8.674E-02	-1.501E-02	 6.255E+01
  3.027E+00	 2.976E+00	-7.800E-02	-1.351E-02	 6.252E+01
  3.028E+00	 2.981E+00	-7.195E-02	-1.248E-02	 6.250E+01
  3.028E+00	 2.997E+00	-5.255E-02	-9.162E-03	 6.243E+01
  3.029E+00	 3.001E+00	-4.706E-02	-8.223E-03	 6.241E+01
  3.030E+00	 3.024E+00	-1.913E-02	-3.450E-03	 6.232E+01
  3.031E+00	 3.033E+00	-7.608E-03	-1.480E-03	 6.228E+01
  3.031E+00	 3.034E+00	-7.067E-03	-1.388E-03	 6.227E+01
  3.031E+00	 3.037E+00	-3.070E-03	-7.045E-04	 6.226E+01
  3.032E+00	 3.048E+00	 1.095E-02	 1.691E-03	 6.221E+01
  3.032E+00	 3.053E+00	 1.645E-02	 2.632E-03	 6.219E+01
  3.032E+00	 3.056E+00	 2.060E-02	 3.342E-03	 6.218E+01
  3.033E+00	 3.065E+00	 3.175E-02	 5.248E-03	 6.214E+01
  3.035E+00	 3.094E+00	 6.733E-02	 1.133E-02	 6.202E+01
  3.038E+00	 3.143E+00	 1.283E-01	 2.175E-02	 6.181E+01
  3.039E+00	 3.166E+00	 1.575E-01	 2.674E-02	 6.170E+01
  3.039E+00	 3.166E+00	 1.575E-01	 2.674E-02	 6.170E+01
  3.040E+00	 3.166E+00	 1.575E-01	 2.675E-02	 6.166E+01
  3.041E+00	 3.166E+00	 1.576E-01	 2.676E-02	 6.159E+01
  3.041E+00	 3.166E+00	 1.576E-01	 2.676E-02	 6.155E+01
  3.042E+00	 3.166E+00	 1.576E-01	 2.676E-02	 6.152E+01
  3.042E+00	 3.167E+00	 1.576E-01	 2.677E-02	 6.151E+01
  3.043E+00	 3.167E+00	 1.576E-01	 2.677E-02	 6.145E+01
  3.044E+00	 3.167E+00	 1.576E-01	 2.678E-02	 6.140E+01
  3.044E+00	 3.167E+00	 1.576E-01	 2.678E-02	 6.140E+01
  3.045E+00	 3.167E+00	 1.576E-01	 2.679E-02	 6.131E+01
  3.045E+00	 3.167E+00	 1.576E-01	 2.679E-02	 6.131E+01
  3.046E+00	 3.167E+00	 1.577E-01	 2.680E-02	 6.122E+01
  3.047E+00	 3.167E+00	 1.577E-01	 2.681E-02	 6.115E+01
  3.047E+00	 3.167E+00	 1.577E-01	 2.681E-02	 6.115E+01
  3.047E+00	 3.167E+00	 1.577E-01	 2.681E-02	 6.114E+01
  3.048E+00	 3.167E+00	 1.577E-01	 2.681E-02	 6.109E+01
  3.048E+00	 3.167E+00	 1.577E-01	 2.682E-02	 6.107E+01
  3.049E+00	 3.167E+00	 1.577E-01	 2.682E-02	 6.106E+01
  3.049E+00	 3.167E+00	 1.577E-01	 2.682E-02	 6.102E+01
  3.051E+00	 3.167E+00	 1.578E-01	 2.684E-02	 6.089E+01
