IT   
   ir    Te        Ti       jsat    psi    dsSep
   33    5.0000    5.0000   4.0e+04 1.0405 0.265
   32    5.3000    5.3000   4.3e+04 1.0363 0.250
   31    5.5000    5.5000   4.5e+04 1.0321 0.235
   30    5.7000    5.7000   4.8e+04 1.0281 0.220
   29    5.8000    5.8000   5.0e+04 1.0243 0.201
   28    6.0000    6.0000   5.5e+04 1.0206 0.176
   27    6.0000    6.0000   5.7e+04 1.0171 0.144
   26    6.0000    6.0000   6.0e+04 1.0139 0.103
   25    6.0000    6.0000   6.5e+04 1.0104 0.068
   24    6.1000    6.1000   6.7e+04 1.0073 0.044
   23    6.0000    6.0000   9.0e+04 1.0044 0.024
   22    6.0000    6.0000   1.4e+05 1.0014 0.008
   44    6.0000    6.0000   1.8e+05 0.9995 -0.002
   43    6.5000    6.5000   2.1e+05 0.9985 -0.008
   42    7.5000    7.5000   2.4e+05 0.9971 -0.014
   41    8.0000    8.0000   2.8e+05 0.9952 -0.023
   40    9.0000    9.0000   3.2e+05 0.9929 -0.033
   39   10.0000   10.0000   3.4e+05 0.9901 -0.044
   38   10.0000   10.0000   3.5e+05 0.9869 -0.057
   37   10.0000   10.0000   3.6e+05 0.9833 -0.070
   36    9.0000    9.0000   5.4e+05 0.9792 -0.085
   
OT

   ir    Te        Ti      jsat     psi   dsSep
   33    5.0000    5.0000  4.30e+04 1.0402 0.096
   32    5.5000    5.5000  5.10e+04 1.0361 0.088
   31    6.0000    6.0000  5.60e+04 1.0319 0.079
   30    6.5000    6.5000  7.00e+04 1.0279 0.070
   29    7.0000    7.0000  8.00e+04 1.0240 0.061
   28    8.0000    8.0000  1.00e+05 1.0203 0.052
   27   10.0000   10.0000  1.50e+05 1.0168 0.043
   26   12.0000   12.0000  2.00e+05 1.0135 0.034
   25   15.3000   15.3000  2.54e+05 1.0103 0.027
   24   19.4000   19.4000  4.21e+05 1.0072 0.019
   23   25.7000   25.7000  7.16e+05 1.0043 0.012
   22   46.0000   46.0000  1.08e+06 1.0014 0.004
   44    8.7000    8.7000  1.51e+05 0.9995 -0.001
   43    6.3000    6.3000  5.99e+04 0.9985 -0.004
   42    5.7000    5.7000  2.51e+04 0.9971 -0.009
   41    5.5000    5.5000  1.76e+04 0.9952 -0.014
   40    5.5000    5.5000  1.20e+04 0.9929 -0.022
   39    5.5000    5.5000  9.50e+03 0.9901 -0.031
   38    5.5000    5.5000  8.15e+03 0.9869 -0.043
   37    5.5000    5.5000  7.01e+03 0.9832 -0.058
   36    5.0000    5.5000  6.31e+03 0.9790 -0.078
