psiN      Te [keV]
0.0010    2.8889
0.0026    2.9836
0.0049    2.9558
0.0081    2.9559
0.0119    3.0021
0.0165    2.9150
0.0219    3.0125
0.0281    2.9503
0.0349    2.8551
0.0427    2.8836
0.0512    2.8635
0.0605    2.8468
0.0706    2.8976
0.0814    2.8196
0.0931    2.7628
0.1056    2.8771
0.1188    2.9145
0.1330    2.6959
0.1478    2.6878
0.1638    2.7577
0.1803    2.4471
0.1973    2.4427
0.2247    2.2887
0.2433    2.2189
0.2635    2.0652
0.2845    1.9628
0.3060    1.9198
0.3288    1.8597
0.3518    1.8018
0.3751    1.7171
0.4000    1.6377
0.4248    1.5459
0.4509    1.4845
0.4778    1.3908
0.5047    1.3097
0.5320    1.2623
0.5603    1.2501
0.5887    1.1537
0.6184    1.1004
0.6485    1.1084
0.6786    1.0206
0.7097    1.0542
0.7409    0.9310
0.7715    0.8502
0.8033    0.8078
0.8271    0.7569
0.8429    0.7328
0.8580    0.7062
0.8740    0.6452
0.8896    0.6398
0.9058    0.5644
0.9214    0.5341
0.9372    0.4696
0.9527    0.3783
0.9685    0.2539
0.9842    0.2087
1.0000    0.1066
1.0156    0.1184
1.0314    0.0969
1.0467    0.0473
1.0701    0.0369
