Averaged ne and Te profiles for discharge 83624, time=53.00-54.00s
psiN      Te/HRTS [keV]
0.0010    2.8889
0.0026    2.9836
0.0049    2.9558
0.0081    2.9559
0.0119    3.0021
0.0165    2.9150
0.0219    3.0125
0.0281    2.9503
0.0349    2.8551
0.0427    2.8836
0.0512    2.8635
0.0605    2.8468
0.0706    2.8976
0.0814    2.8196
0.0931    2.7628
0.1056    2.8771
0.1188    2.9145
0.1330    2.6959
0.1478    2.6878
0.1638    2.7577
0.1803    2.4471
0.1973    2.4427
0.2247    2.2887
0.2433    2.2189
0.2635    2.0652
0.2845    1.9628
0.3060    1.9198
0.3288    1.8597
0.3518    1.8018
0.3751    1.7171
0.4000    1.6377
0.4248    1.5459
0.4509    1.4845
0.4778    1.3908
0.5047    1.3097
0.5320    1.2623
0.5603    1.2501
0.5887    1.1537
0.6184    1.1004
0.6485    1.1084
0.6786    1.0206
0.7097    1.0542
0.7409    0.9310
0.7715    0.8502
0.8033    0.8078
0.8271    0.7569
0.8429    0.7328
0.8580    0.7062
0.8740    0.6452
0.8896    0.6398
0.9058    0.5644
0.9214    0.5341
0.9372    0.4696
0.9527    0.3783
0.9685    0.2539
0.9842    0.2087
1.0000    0.1066
1.0156    0.1184
1.0314    0.0969
1.0467    0.0473
1.0701    0.0369
psiN      ne/HRTS [10^19/m^3]
0.0010    6.3179
0.0026    6.2405
0.0049    6.2017
0.0081    6.2909
0.0119    6.2624
0.0165    6.0621
0.0219    6.0302
0.0281    5.9024
0.0349    5.8613
0.0427    5.8237
0.0512    5.8637
0.0605    5.8739
0.0706    5.8016
0.0814    5.7989
0.0931    5.8017
0.1056    5.6655
0.1188    5.8564
0.1330    5.9214
0.1478    5.8857
0.1638    5.9682
0.1803    5.9258
0.1973    5.9945
0.2247    5.9901
0.2433    5.9796
0.2635    6.0132
0.2845    5.9214
0.3060    5.9089
0.3288    6.0606
0.3518    6.0159
0.3751    5.8446
0.4000    5.7394
0.4248    5.6334
0.4509    5.5325
0.4778    5.4668
0.5047    5.3158
0.5320    5.4016
0.5603    5.3878
0.5887    5.2355
0.6184    5.1799
0.6485    5.1943
0.6786    5.0723
0.7097    5.2101
0.7409    4.9481
0.7715    4.9269
0.8033    4.7167
0.8271    4.7127
0.8429    4.8403
0.8580    4.6738
0.8740    4.3931
0.8896    4.4549
0.9058    4.4460
0.9214    4.2735
0.9372    4.0439
0.9527    3.9230
0.9685    3.7574
0.9842    2.8395
1.0000    1.3786
1.0156    0.7667
1.0467    0.4052
psiN      ne/Li-Beam [10^19/m^3]
0.9734    3.5537
0.9815    3.1204
0.9895    2.6196
0.9974    1.9307
1.0053    1.3479
1.0131    0.9792
1.0208    0.7903
1.0276    0.7824
1.0352    0.7308
1.0419    0.6294
1.0485    0.5561
1.0623    0.4328
1.0687    0.3031
1.0751    0.2133
1.0814    0.1967
1.0939    0.1750
1.1000    0.1534
1.1054    0.1203
