* oversized square wall, as the name says
1.75	-1.85    1.75	-1.65
1.75	-1.65	 1.75	-1.45
1.75	-1.45	 1.75	-1.25
1.75	-1.25	 1.75	-1.05
1.75	-1.05	 1.75	-0.85
1.75	-0.85	 1.75	-0.65
1.75	-0.65	 1.75	-0.45
1.75	-0.45	 1.75	-0.25
1.75	-0.25	 1.75	-0.05
1.75	-0.05	 1.75	 0.15
1.75	 0.15	 1.75	 0.35
1.75	 0.35	 1.75	 0.55
1.75	 0.55	 1.75	 0.75
1.75	 0.75	 1.75	 0.95
1.75	 0.95	 1.75	 1.15
1.75	 1.15	 1.75	 1.35
1.75	 1.35	 1.75	 1.55
1.75	 1.55	 1.75	 1.75
1.75	 1.75	 1.75	 1.95
1.75	 1.95	 1.75	 2.15
1.75	 2.15	 1.85	 2.15
1.85	 2.15	 1.95	 2.15
1.95	 2.15	 2.05	 2.15
2.05	 2.15	 2.15	 2.15
2.15	 2.15	 2.25	 2.15
2.25	 2.15	 2.30	 2.15
2.30	 2.15	 2.45	 2.15
2.45	 2.15	 2.55	 2.15
2.55	 2.15	 2.65	 2.15
2.65	 2.15	 2.75	 2.15
2.75	 2.15	 2.85	 2.15
2.85	 2.15	 2.95	 2.15
2.95	 2.15	 3.05	 2.15
3.05	 2.15	 3.15	 2.15
3.15	 2.15	 3.25	 2.15
3.25	 2.15	 3.35	 2.15
3.35	 2.15	 3.45	 2.15
3.45	 2.15	 3.55	 2.15
3.55	 2.15	 3.65	 2.15
3.65	 2.15	 3.75	 2.15
3.75	 2.15	 3.85	 2.15
3.85	 2.15	 3.95	 2.15
3.95	 2.15	 4.05	 2.15
4.05	 2.15	 4.15	 2.15
4.15	 2.15	 4.15	 2.05
4.15	 2.05	 4.15	 1.95
4.15	 1.95	 4.15	 1.85
4.15	 1.85	 4.15	 1.75
4.15	 1.75	 4.15	 1.65
4.15	 1.65	 4.15	 1.55
4.15	 1.55	 4.15	 1.45
4.15	 1.45	 4.15	 1.35
4.15	 1.35	 4.15	 1.25
4.15	 1.25	 4.15	 1.15
4.15	 1.15	 4.15	 1.05
4.15	 1.05	 4.15	 0.95
4.15	 0.95	 4.15	 0.85
4.15	 0.85	 4.15	 0.75
4.15	 0.75	 4.15	 0.65
4.15	 0.65	 4.15	 0.55
4.15	 0.55	 4.15	 0.45
4.15	 0.45	 4.15	 0.35
4.15	 0.35	 4.15	 0.25
4.15	 0.25	 4.15	 0.15
4.15	 0.15	 4.15	 0.05
4.15	 0.05	 4.15	-0.05
4.15	-0.05	 4.15	-0.15
4.15	-0.15	 4.15	-0.25
4.15	-0.25	 4.15	-0.35
4.15	-0.35	 4.15	-0.45
4.15	-0.45	 4.15	-0.55
4.15	-0.55	 4.15	-0.65
4.15	-0.65	 4.15	-0.75
4.15	-0.75	 4.15	-0.85
4.15	-0.85	 4.15	-0.95
4.15	-0.95	 4.15	-1.05
4.15	-1.05	 4.15	-1.15
4.15	-1.15	 4.15	-1.25
4.15	-1.25	 4.15	-1.35
4.15	-1.35	 4.15	-1.45
4.15	-1.45	 4.15	-1.55
4.15	-1.55	 4.15	-1.65
4.15	-1.65	 4.15	-1.75
4.15	-1.75	 4.15	-1.85
4.15	-1.85	 4.05	-1.85
4.05	-1.85	 3.95	-1.85
3.95	-1.85	 3.85	-1.85
3.85	-1.85	 3.75	-1.85
3.75	-1.85	 3.65	-1.85
3.65	-1.85	 3.55	-1.85
3.55	-1.85	 3.45	-1.85
3.45	-1.85	 3.35	-1.85
3.35	-1.85	 3.25	-1.85
3.25	-1.85	 3.15	-1.85
3.15	-1.85	 3.05	-1.85
3.05	-1.85	 2.95	-1.85
2.95	-1.85	 2.85	-1.85
2.85	-1.85	 2.75	-1.85
2.75	-1.85	 2.65	-1.85
2.65	-1.85	 2.55	-1.85
2.55	-1.85	 2.45	-1.85
2.45	-1.85	 2.35	-1.85
2.35	-1.85	 2.25	-1.85
2.25	-1.85	 2.15	-1.85
2.15	-1.85	 2.05	-1.85
2.05	-1.85	 1.95	-1.85
1.95	-1.85	 1.85	-1.85   $1.85	-1.85	 1.75	-1.85



