# solpstosteve FromSolPSToSteve.py generated @ Tuesday, 26. May 2015 13:47
# electron temperature (eV)
   ix   iy      x           y           z01
    1    1  2.4167E+00 -1.6211E+00  1.798150E+00
    2    1  2.4173E+00 -1.6206E+00  1.798150E+00
    3    1  2.4189E+00 -1.6195E+00  1.797724E+00
    4    1  2.4209E+00 -1.6180E+00  1.797468E+00
    5    1  2.4234E+00 -1.6163E+00  1.797350E+00
    6    1  2.4263E+00 -1.6143E+00  1.797316E+00
    7    1  2.4296E+00 -1.6120E+00  1.797367E+00
    8    1  2.4334E+00 -1.6096E+00  1.797506E+00
    9    1  2.4375E+00 -1.6069E+00  1.797677E+00
   10    1  2.4421E+00 -1.6041E+00  1.797903E+00
   11    1  2.4471E+00 -1.6012E+00  1.798130E+00
   12    1  2.4524E+00 -1.5981E+00  1.798423E+00
   13    1  2.4582E+00 -1.5950E+00  1.798708E+00
   14    1  2.4643E+00 -1.5920E+00  1.798859E+00
   15    1  2.4707E+00 -1.5890E+00  1.798963E+00
   16    1  2.4774E+00 -1.5861E+00  1.798890E+00
   17    1  2.4842E+00 -1.5834E+00  1.798683E+00
   18    1  2.4911E+00 -1.5809E+00  1.798393E+00
   19    1  2.4979E+00 -1.5787E+00  1.797972E+00
   20    1  2.5046E+00 -1.5768E+00  1.797363E+00
   21    1  2.5112E+00 -1.5753E+00  1.796481E+00
   22    1  2.5175E+00 -1.5740E+00  1.795509E+00
   23    1  2.5237E+00 -1.5730E+00  1.794399E+00
   24    1  2.5298E+00 -1.5723E+00  1.793117E+00
   25    1  2.5358E+00 -1.5719E+00  1.791714E+00
   26    1  2.7042E+00 -7.5334E-01  6.210089E+02
   27    1  2.7008E+00 -7.5243E-01  6.210090E+02
   28    1  2.6972E+00 -7.5144E-01  6.210090E+02
   29    1  2.6930E+00 -7.5024E-01  6.210090E+02
   30    1  2.6854E+00 -7.4793E-01  6.210092E+02
   31    1  2.6663E+00 -7.4135E-01  6.210096E+02
   32    1  2.6306E+00 -7.2638E-01  6.210111E+02
   33    1  2.5784E+00 -6.9789E-01  6.210145E+02
   34    1  2.5119E+00 -6.4933E-01  6.210208E+02
   35    1  2.4372E+00 -5.7588E-01  6.210307E+02
   36    1  2.3613E+00 -4.7586E-01  6.210440E+02
   37    1  2.2908E+00 -3.5071E-01  6.210602E+02
   38    1  2.2312E+00 -2.0403E-01  6.210788E+02
   39    1  2.1862E+00 -3.9829E-02  6.210995E+02
   40    1  2.1589E+00  1.3810E-01  6.211218E+02
   41    1  2.1522E+00  3.2576E-01  6.211457E+02
   42    1  2.1689E+00  5.1821E-01  6.211708E+02
   43    1  2.2111E+00  7.0865E-01  6.211966E+02
   44    1  2.2800E+00  8.8683E-01  6.212218E+02
   45    1  2.3724E+00  1.0387E+00  6.212441E+02
   46    1  2.4780E+00  1.1520E+00  6.212607E+02
   47    1  2.5840E+00  1.2251E+00  6.212706E+02
   48    1  2.6905E+00  1.2674E+00  6.212752E+02
