{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   0.87940   2.5049E+02  4.3752E+16  13.3140
   0.88257   3.1729E+02  6.5377E+16   9.5671
   0.97438   6.9650E+02  1.1474E+17  14.9683
   0.97623   2.7030E+02  6.6026E+16   6.8073
   0.98805   1.4023E+03  3.2113E+17   9.3864
   0.98912   1.4910E+03  3.4913E+17   8.4741
   0.98993   1.6396E+03  3.9037E+17   8.0596
   0.99170   1.8561E+03  4.6419E+17   6.9166
   0.99492   2.4984E+03  7.0031E+17   6.5044
   0.99601   3.2219E+03  8.4040E+17   6.5109
   0.99682   3.8102E+03  1.5553E+18   5.8950
   0.99860   4.7479E+03  1.8065E+18   5.3268
   1.00191   5.9300E+03  2.1721E+18   5.1849
   1.00300   7.5269E+03  2.7951E+18   4.8783
   1.00382   9.5627E+03  3.2687E+18   5.1263
   1.00561   1.1644E+04  4.0676E+18   4.8001
   1.00867   1.3966E+04  4.7300E+18   4.8306
   1.00978   1.5848E+04  5.2831E+18   4.9504
   1.01060   1.7540E+04  5.8893E+18   4.2518
   1.01240   1.9293E+04  5.8625E+18   4.7355
   1.01556   2.1363E+04  6.3575E+18   4.7738
   1.01668   2.3317E+04  6.7529E+18   5.0312
   1.01750   2.5818E+04  6.7202E+18   6.6884
   1.01931   2.6477E+04  6.8094E+18   6.8790
   1.02245   2.7418E+04  6.4137E+18   8.8295
   1.02357   2.7599E+04  6.1048E+18  10.1016
   1.02441   2.8291E+04  5.8065E+18  11.5528
   1.02623   2.8977E+04  5.5723E+18  12.6683
   1.02934   3.0030E+04  5.4597E+18  13.6082
   1.03047   3.0591E+04  5.3402E+18  14.2931
   1.03131   2.9838E+04  4.9872E+18  14.9177
   1.03314   2.8557E+04  4.7919E+18  14.9336
   1.03624   2.7882E+04  4.5981E+18  15.2044
   1.03738   2.7023E+04  4.6771E+18  13.8137
   1.03823   2.7149E+04  4.8126E+18  13.1551
   1.04007   2.6552E+04  4.8590E+18  12.3071
   1.04314   2.5461E+04  4.6792E+18  12.2869
   1.04429   2.3966E+04  4.5181E+18  11.7255
   1.04514   2.3063E+04  4.2919E+18  12.1850
   1.04699   2.2529E+04  4.3045E+18  11.6412
   1.05003   2.1411E+04  4.2263E+18  10.8118
   1.05120   2.1341E+04  4.2330E+18  10.6903
   1.05205   2.1263E+04  4.0963E+18  11.3050
   1.05392   2.0141E+04  3.8630E+18  11.3893
   1.05694   1.9140E+04  3.6324E+18  11.5649
   1.05811   1.8621E+04  3.5957E+18  11.1225
   1.05897   1.7790E+04  3.3746E+18  11.4063
   1.06085   1.6401E+04  3.2765E+18  10.3654
   1.06384   1.5867E+04  3.1065E+18  10.6208
   1.06502   1.5498E+04  3.0524E+18  10.4923
   1.06589   1.4904E+04  2.9257E+18  10.5701
   1.06778   1.4034E+04  2.8285E+18  10.0763
   1.07075   1.3486E+04  2.7558E+18   9.8016
   1.07194   1.2985E+04  2.7298E+18   9.2738
   1.07281   1.2442E+04  2.6557E+18   9.0023
   1.07471   1.2435E+04  2.7151E+18   8.5790
   1.07765   1.1404E+04  2.5082E+18   8.2804
   1.07885   1.1290E+04  2.5167E+18   8.0809
