{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   1.01060   9.9460E+02  2.9472E+17   4.6260
   1.01240   3.2751E+03  1.8102E+18   1.3297
   1.01556   4.3960E+03  1.2217E+18   5.2595
   1.01668   5.4941E+03  2.0217E+18   2.9999
   1.01750   5.9142E+03  3.1046E+18   3.2611
   1.01931   7.5359E+03  4.0268E+18   2.8956
   1.02245   1.1072E+04  4.5566E+18   4.0334
   1.02357   1.7080E+04  5.8050E+18   4.4430
   1.02441   2.4473E+04  7.8520E+18   4.6699
   1.02623   3.5085E+04  1.0616E+19   4.9816
   1.02934   4.6465E+04  1.2754E+19   5.4214
   1.03131   5.7128E+04  1.4535E+19   6.1296
   1.03314   6.7757E+04  1.7385E+19   6.3452
   1.03624   7.7365E+04  1.9410E+19   6.8871
   1.03823   8.8293E+04  2.1664E+19   7.4412
   1.04007   9.8927E+04  2.4782E+19   6.7993
   1.04314   1.0567E+05  2.6602E+19   6.5760
   1.04429   1.1249E+05  2.7889E+19   6.7983
   1.04514   1.1487E+05  2.8894E+19   6.6792
   1.04699   1.1796E+05  3.0366E+19   6.1788
   1.05003   1.1718E+05  3.0800E+19   5.9250
   1.05120   1.1681E+05  3.0755E+19   5.9039
   1.05205   1.1738E+05  3.1153E+19   5.8002
   1.05392   1.1799E+05  3.1550E+19   5.7084
   1.05694   1.1329E+05  3.0616E+19   5.5789
   1.05811   1.1017E+05  3.0331E+19   5.3502
   1.05897   1.0557E+05  3.0379E+19   4.9301
   1.06085   1.0200E+05  2.8706E+19   5.2704
   1.06384   9.3716E+04  2.6479E+19   5.4316
   1.06502   9.0451E+04  2.4964E+19   5.7483
   1.06589   8.6633E+04  2.3618E+19   5.9478
   1.06778   8.3829E+04  2.1945E+19   6.8178
   1.07075   7.6956E+04  2.0491E+19   6.6054
   1.07194   7.5914E+04  2.0253E+19   6.5787
   1.07281   7.2116E+04  1.9192E+19   6.5582
   1.07471   6.8193E+04  1.7942E+19   6.5181
   1.07765   6.3087E+04  1.7388E+19   6.0009
   1.07885   6.1584E+04  1.7559E+19   5.5612
   1.07972   6.0921E+04  1.7681E+19   5.3416
   1.08164   5.9155E+04  1.7673E+19   5.0160
   1.08455   5.3641E+04  1.6904E+19   4.3642
   1.08576   5.2051E+04  1.5812E+19   4.8920
   1.08665   4.6667E+04  1.3898E+19   5.3090
   1.08857   4.3778E+04  1.2811E+19   5.6780
   1.09835   3.9798E+04  1.0951E+19   6.3410
   1.09958   3.8487E+04  1.0027E+19   6.8942
   1.10047   3.6987E+04  9.3234E+18   7.1096
   1.10242   3.2118E+04  8.0116E+18   7.0047
   1.10523   2.8190E+04  6.6894E+18   7.1973
   1.10647   2.7444E+04  6.6629E+18   6.9107
   1.10737   2.5073E+04  6.2154E+18   6.6951
   1.10934   2.2780E+04  5.7601E+18   6.3903
   1.11212   2.1014E+04  5.3653E+18   6.3772
   1.11337   1.9980E+04  5.2088E+18   6.0377
   1.11428   1.7749E+04  4.8213E+18   5.5708
   1.11625   1.5345E+04  4.1763E+18   5.6339
   1.11900   1.5057E+04  4.0114E+18   5.8273
   1.12026   1.4141E+04  3.7794E+18   5.7654
   1.12117   1.3524E+04  3.5233E+18   5.9292
   1.12316   1.2893E+04  3.4590E+18   5.7049
   1.12586   1.3618E+04  3.6652E+18   5.6879
   1.12713   1.2103E+04  3.3270E+18   5.4572
   1.12805   1.2307E+04  3.3496E+18   5.5744
   1.13005   1.1876E+04  3.1683E+18   5.8035
   1.13271   1.1455E+04  3.0962E+18   5.6722
   1.13399   1.0636E+04  2.8982E+18   5.5716
   1.13492   1.1192E+04  3.0731E+18   5.5105
   1.13693   1.1195E+04  2.7085E+18  13.7855
   1.13957   1.0481E+04  2.4980E+18  13.7653
   1.14086   9.0273E+03  2.0930E+18  13.7705
   1.14179   9.4651E+03  2.2454E+18  13.5457
   1.14381   9.2513E+03  2.0983E+18  14.3720
   1.14639   1.0058E+04  2.2976E+18  14.4094
   1.14769   9.6039E+03  2.1946E+18  14.3060
   1.14862   9.7723E+03  2.1955E+18  14.5956
   1.15066   1.1257E+04  2.3165E+18  15.4630
   1.15319   9.8954E+03  2.3625E+18   6.9787
   1.15451   9.2004E+03  2.1566E+18   6.9087
   1.15545   9.4886E+03  2.2464E+18   6.8509
   1.15750   9.3768E+03  2.1404E+18   7.8194
   1.16000   8.9504E+03  2.1368E+18   6.9576
   1.16132   7.9187E+03  1.8888E+18   6.8269
