{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   0.84215   1.0781E+02  1.7900E+17   0.1473
   0.84372   4.3555E+02  1.2481E+17   4.9464
   0.85096   5.3414E+02  1.4864E+17   6.7803
   0.86460   5.8988E+02  1.2703E+17   9.1627
   0.86463   6.3179E+02  1.3747E+17   9.2522
   0.86542   5.9343E+02  1.3274E+17   8.7924
   0.87195   6.1073E+02  1.4282E+17   8.0575
   0.87273   5.5234E+02  1.3200E+17   7.8346
   0.88008   6.1591E+02  1.4553E+17   7.5218
   0.88024   6.2286E+02  1.4286E+17   7.8446
   0.89478   5.8613E+02  1.3224E+17   8.1772
   0.89483   5.7130E+02  1.2821E+17   8.2143
   0.89499   5.8647E+02  1.3868E+17   7.6034
   0.91049   5.7955E+02  1.3865E+17   7.4060
   0.91067   5.6002E+02  1.3231E+17   7.5852
   0.91167   5.9966E+02  1.4009E+17   7.7256
   0.92535   5.5471E+02  1.2468E+17   8.7138
   0.92555   6.2037E+02  1.2496E+17  10.1065
   0.92643   7.6163E+02  1.7011E+17   9.3646
   0.94004   7.8521E+02  1.7794E+17   9.1437
   0.94022   7.7478E+02  1.7785E+17   8.8093
   0.94045   8.5465E+02  1.9373E+17   8.6345
   0.94082   1.2488E+03  2.7574E+17   8.2559
   0.94120   1.9131E+03  4.3768E+17   8.3972
   0.95574   2.1711E+03  4.8235E+17   9.1050
   0.95596   2.5058E+03  5.8045E+17   8.6423
   0.95621   2.7135E+03  6.3492E+17   7.9462
   0.95652   3.1032E+03  7.6829E+17   7.1485
   0.95683   3.2026E+03  7.9491E+17   7.1308
   0.96330   3.2515E+03  8.5672E+17   5.8826
   0.96355   3.5151E+03  9.2108E+17   5.9911
   0.96380   3.8000E+03  1.0025E+18   5.7218
   0.96408   5.2599E+03  1.4719E+18   5.4238
   0.96436   8.0295E+03  2.2053E+18   5.3313
   0.97095   9.4925E+03  2.4312E+18   6.7171
   0.97121   1.0733E+04  2.8595E+18   6.3799
   0.97148   1.2150E+04  3.2616E+18   6.2082
   0.97172   1.4825E+04  4.0535E+18   6.2080
   0.97197   2.6036E+04  6.5588E+18   6.5132
   0.97859   2.8829E+04  7.6245E+18   5.1836
   0.97888   3.1980E+04  8.4970E+18   5.3269
   0.97916   3.4468E+04  9.1656E+18   5.3530
   0.97937   3.8527E+04  9.9853E+18   5.6820
   0.97959   3.3278E+04  8.7534E+18   5.6933
   0.98637   3.7599E+04  9.4538E+18   6.2722
   0.98668   4.1178E+04  1.0084E+19   6.6823
   0.98696   4.5366E+04  1.1221E+19   6.6826
   0.98715   4.3864E+04  1.0698E+19   6.8858
   0.98733   4.7529E+04  1.1079E+19   7.4678
   0.99390   4.6803E+04  1.0885E+19   7.5018
   0.99423   4.6437E+04  1.0831E+19   7.4553
   0.99453   4.5304E+04  1.0333E+19   7.6906
   0.99468   4.1996E+04  9.8115E+18   7.1622
   0.99483   3.3946E+04  8.7336E+18   6.0268
   1.00157   3.1235E+04  8.0353E+18   6.1865
   1.00192   3.0139E+04  6.7788E+18  11.3681
   1.00223   2.8699E+04  6.2146E+18  11.8298
   1.00235   2.7917E+04  5.9410E+18  11.9090
   1.00247   2.8686E+04  5.8323E+18  12.3932
   1.00924   2.7508E+04  5.7212E+18  11.9834
   1.00961   2.4792E+04  5.9253E+18   7.0901
   1.00993   2.3540E+04  5.7178E+18   6.9049
