{NUMBER OF COLUMNS}       4
*
* SHOTS  =   24861
* TIMES  =     0.230053 to     0.249813 s
*
*       PSIn        jsat        jsol          Te
*                (A m-2)       (A ?)        (eV)
{DATA LIST}
    0.926648    6.45E+02    6.45E+02        0.46
    0.926738    9.79E+02    8.39E+02        3.62
    0.927033    1.12E+03    1.12E+03        0.46
    0.927418    1.63E+03    1.51E+03        1.03
    0.927628    2.78E+02   -1.57E+02        4.10
    0.927802    9.30E+02    9.30E+02        0.45
    0.928187    1.17E+03    1.17E+03        0.49
    0.928519    9.92E+02    9.92E+02        0.50
    0.929409    1.20E+03   -5.87E+02        5.70
    0.930299    8.99E+02    8.98E+02        0.43
    0.931190    1.71E+03    7.27E+02        2.59
    0.932080    1.43E+03    1.43E+03        1.29
    0.932970    2.56E+03   -1.41E+03        7.05
    0.933861    2.67E+03   -3.80E+02        6.08
    0.934751    6.33E+02    6.33E+02        0.55
    0.935641    5.23E+02   -3.97E+02        5.48
    0.936532    1.13E+03    1.13E+03        0.47
    0.937422    1.79E+03    1.79E+03        0.44
    0.938250    1.72E+03   -1.89E+03        5.30
    0.938312    1.60E+03   -5.19E+02        5.00
    0.938342    1.79E+03    1.79E+03        0.50
    0.938623    3.52E+03    1.47E+03        7.64
    0.938996    5.31E+03   -1.84E+03        4.29
    0.939203    1.66E+03    1.66E+03        0.46
    0.939218    3.32E+03    6.62E+02        6.65
    0.939369    2.38E+03    2.38E+03        0.52
    0.939742    2.75E+03    6.38E+02        2.63
    0.940094    2.50E+03   -3.07E+03        5.77
    0.940969    3.10E+03    2.05E+03        5.81
    0.941845    1.92E+03    1.92E+03        0.40
    0.942721    2.41E+03   -3.91E+02        4.99
    0.943597    3.46E+03   -2.10E+02        5.98
    0.944473    3.95E+03   -1.18E+02        6.60
    0.945349    3.80E+03    1.55E+03        3.63
    0.945978    3.99E+03    4.57E+02        4.70
    0.946070    5.83E+03    6.86E+00        5.28
    0.946225    3.40E+03    3.40E+03        0.47
    0.946346    5.70E+03   -1.74E+03        7.63
    0.946713    5.53E+03    6.91E+02        7.18
    0.946936    2.89E+03    1.32E+03        2.47
    0.947080    2.84E+03   -7.62E+02        4.86
    0.947101    2.72E+03    2.72E+03        1.37
    0.947448    4.10E+03    1.90E+03        6.27
