{NUMBER OF COLUMNS}       5
*
* SHOTS  =   24861
* TIMES  =     0.233333 to     0.249333 s
* SMOOTH =       7
* SAMPLE =       1
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.150280    0.899634    0.000000    5.54E+19      458.94
    0.150795    0.890735    0.000000    5.57E+19      453.64
    0.151141    0.890046    0.000000    5.61E+19      457.84
    0.151475    0.889356    0.000000    5.64E+19      454.33
    0.151955    0.891425    0.000000    5.65E+19      452.29
    0.153185    0.880491    0.000000    5.63E+19      445.88
    0.153482    0.879784    0.000000    5.65E+19      450.58
    0.153766    0.879077    0.000000    5.66E+19      436.06
    0.154390    0.881198    0.000000    5.58E+19      446.55
    0.156659    0.870246    0.000000    5.57E+19      435.73
    0.156912    0.869523    0.000000    5.54E+19      440.24
    0.157153    0.868799    0.000000    5.58E+19      433.77
    0.157904    0.870970    0.000000    5.50E+19      444.73
    0.161227    0.860001    0.000000    5.50E+19      440.96
    0.161438    0.859260    0.000000    5.51E+19      445.58
    0.161636    0.858519    0.000000    5.55E+19      437.58
    0.162510    0.860742    0.000000    5.47E+19      448.01
    0.166836    0.849757    0.000000    5.50E+19      439.49
    0.167007    0.848998    0.000000    5.55E+19      437.06
    0.167163    0.848241    0.000000    5.66E+19      423.82
    0.168158    0.850515    0.000000    5.66E+19      426.14
    0.169635    0.893151    0.000000    5.69E+19      425.37
    0.171942    0.882965    0.000000    5.66E+19      428.39
    0.173477    0.839513    0.000000    5.76E+19      414.76
    0.173615    0.838737    0.000000    5.79E+19      416.50
    0.173740    0.837963    0.000000    5.77E+19      413.36
    0.174831    0.840287    0.000000    5.71E+19      419.89
    0.175326    0.872781    0.000000    5.70E+19      417.43
    0.179809    0.862595    0.000000    5.63E+19      426.66
    0.181165    0.829264    0.000000    5.68E+19      415.39
    0.181272    0.828470    0.000000    5.70E+19      418.01
    0.181367    0.827676    0.000000    5.60E+19      427.90
    0.182547    0.830058    0.000000    5.53E+19      433.13
    0.185344    0.852410    0.000000    5.45E+19      436.69
    0.189834    0.819009    0.000000    5.43E+19      433.77
    0.189923    0.818184    0.000000    5.53E+19      424.38
    0.189999    0.817360    0.000000    5.54E+19      431.35
    0.191235    0.819834    0.000000    5.48E+19      435.05
    0.191899    0.842225    0.000000    5.53E+19      427.93
    0.199470    0.808753    0.000000    5.49E+19      432.25
    0.199499    0.832044    0.000000    5.58E+19      418.11
    0.199554    0.807899    0.000000    5.63E+19      420.58
    0.199628    0.807043    0.000000    5.53E+19      423.04
    0.200876    0.809609    0.000000    5.45E+19      423.00
    0.208057    0.821896    0.000000    5.34E+19      425.84
    0.210082    0.798498    0.000000    5.31E+19      418.55
    0.210165    0.797613    0.000000    5.39E+19      410.08
    0.210237    0.796727    0.000000    5.35E+19      417.50
    0.211493    0.799383    0.000000    5.30E+19      420.94
    0.217553    0.811746    0.000000    5.29E+19      421.31
    0.221589    0.788241    0.000000    5.36E+19      412.47
    0.221673    0.787326    0.000000    5.48E+19      404.82
    0.221747    0.786410    0.000000    5.44E+19      414.10
    0.223000    0.789157    0.000000    5.38E+19      415.88
    0.228022    0.801597    0.000000    5.32E+19      422.52
    0.233978    0.777986    0.000000    5.32E+19      413.81
    0.234081    0.777040    0.000000    5.40E+19      408.27
    0.234175    0.776094    0.000000    5.36E+19      415.93
    0.235374    0.778932    0.000000    5.28E+19      421.42
    0.239393    0.791446    0.000000    5.23E+19      423.06
    0.247257    0.767731    0.000000    5.27E+19      416.89
    0.247383    0.766754    0.000000    5.38E+19      406.67
    0.247497    0.765777    0.000000    5.37E+19      415.91
    0.248638    0.768706    0.000000    5.33E+19      420.79
    0.251606    0.781297    0.000000    5.28E+19      424.78
    0.261331    0.757474    0.000000    5.35E+19      415.86
    0.261478    0.756468    0.000000    5.53E+19      412.75
    0.261618    0.755461    0.000000    5.49E+19      422.68
    0.262690    0.758482    0.000000    5.46E+19      427.75
    0.264710    0.771147    0.000000    5.41E+19      428.63
    0.276192    0.747219    0.000000    5.41E+19      418.74
    0.276383    0.746182    0.000000    5.52E+19      412.81
    0.276567    0.745145    0.000000    5.44E+19      424.32
    0.277514    0.748256    0.000000    5.34E+19      421.43
    0.278611    0.760999    0.000000    5.29E+19      419.10
    0.291843    0.736963    0.000000    5.30E+19      408.81
    0.292078    0.735896    0.000000    5.39E+19      408.52
    0.292307    0.734828    0.000000    5.32E+19      417.98
    0.293124    0.738031    0.000000    5.21E+19      418.48
    0.293254    0.750849    0.000000    5.26E+19      411.99
    0.308169    0.726708    0.000000    5.17E+19      413.97
    0.308452    0.725610    0.000000    5.25E+19      403.04
    0.308683    0.740700    0.000000    5.26E+19      408.06
    0.308729    0.724513    0.000000    5.18E+19      407.67
    0.309411    0.727806    0.000000    5.18E+19      406.08
    0.324802    0.730550    0.000000    5.13E+19      404.64
    0.325179    0.716452    0.000000    5.08E+19      398.98
    0.325532    0.715323    0.000000    5.19E+19      398.75
    0.325880    0.714195    0.000000    5.15E+19      403.32
    0.326359    0.717579    0.000000    5.09E+19      401.92
    0.341540    0.720400    0.000000    5.10E+19      392.01
    0.342862    0.706196    0.000000    5.15E+19      382.41
    0.343283    0.705037    0.000000    5.24E+19      375.28
    0.343699    0.703879    0.000000    5.20E+19      375.25
    0.343975    0.707355    0.000000    5.12E+19      365.85
    0.358952    0.710250    0.000000    5.06E+19      362.18
    0.361097    0.695940    0.000000    5.02E+19      359.28
    0.361587    0.694751    0.000000    5.07E+19      357.29
    0.362078    0.693562    0.000000    5.04E+19      360.02
    0.362146    0.697129    0.000000    5.05E+19      359.72
    0.376924    0.700102    0.000000    5.09E+19      362.54
    0.379896    0.685684    0.000000    5.10E+19      361.54
    0.380478    0.684466    0.000000    5.20E+19      359.62
    0.380853    0.686904    0.000000    5.18E+19      353.80
    0.381065    0.683246    0.000000    5.10E+19      353.46
    0.395390    0.689953    0.000000    5.08E+19      356.08
    0.399240    0.675429    0.000000    5.02E+19      358.59
    0.399915    0.674180    0.000000    5.07E+19      357.36
    0.400109    0.676679    0.000000    5.09E+19      355.88
    0.400593    0.672930    0.000000    5.03E+19      355.93
    0.414407    0.679803    0.000000    5.09E+19      364.31
    0.419001    0.665174    0.000000    5.08E+19      361.32
    0.419771    0.663894    0.000000    5.14E+19      351.55
    0.419785    0.666453    0.000000    5.16E+19      345.10
    0.420548    0.662614    0.000000    5.12E+19      351.37
    0.433854    0.669654    0.000000    5.10E+19      352.13
    0.439206    0.654918    0.000000    5.05E+19      348.03
    0.439873    0.656228    0.000000    5.12E+19      343.96
    0.440093    0.653608    0.000000    5.15E+19      339.85
    0.440988    0.652297    0.000000    5.12E+19      351.85
    0.453662    0.659504    0.000000    5.13E+19      351.55
    0.459823    0.644662    0.000000    5.07E+19      332.06
    0.460376    0.646003    0.000000    5.14E+19      325.26
    0.460824    0.643321    0.000000    5.21E+19      320.93
    0.461833    0.641980    0.000000    5.11E+19      325.92
    0.473887    0.649354    0.000000    5.15E+19      326.42
    0.480722    0.634406    0.000000    5.13E+19      309.00
    0.481163    0.635777    0.000000    5.17E+19      305.48
    0.481837    0.633035    0.000000    5.23E+19      305.67
    0.482967    0.631663    0.000000    5.19E+19      315.93
    0.494409    0.639205    0.000000    5.19E+19      317.34
    0.501934    0.624150    0.000000    5.21E+19      300.89
    0.502234    0.625552    0.000000    5.24E+19      295.52
    0.503185    0.622749    0.000000    5.28E+19      293.78
    0.504451    0.621348    0.000000    5.33E+19      301.44
    0.515155    0.629056    0.000000    5.36E+19      302.25
    0.523418    0.613895    0.000000    5.35E+19      287.56
    0.523586    0.615326    0.000000    5.43E+19      283.79
    0.524801    0.612463    0.000000    5.45E+19      278.76
    0.526200    0.611031    0.000000    5.46E+19      280.47
    0.536187    0.618906    0.000000    5.48E+19      277.65
    0.545050    0.603639    0.000000    5.42E+19      262.29
    0.545084    0.605101    0.000000    5.43E+19      257.06
    0.546566    0.602177    0.000000    5.48E+19      255.06
    0.548103    0.600715    0.000000    5.42E+19      250.93
    0.557381    0.608757    0.000000    5.39E+19      250.64
    0.566738    0.594877    0.000000    5.33E+19      244.62
    0.566864    0.593384    0.000000    5.32E+19      240.86
    0.568534    0.591891    0.000000    5.31E+19      237.88
    0.570223    0.590399    0.000000    5.24E+19      235.03
    0.578672    0.598607    0.000000    5.18E+19      233.85
    0.588542    0.584650    0.000000    5.14E+19      231.06
    0.588821    0.583127    0.000000    5.16E+19      226.58
    0.590634    0.581604    0.000000    5.13E+19      220.95
    0.592470    0.580081    0.000000    5.01E+19      218.64
    0.600114    0.588457    0.000000    4.93E+19      216.36
    0.610360    0.574425    0.000000    4.87E+19      210.23
    0.610788    0.572872    0.000000    4.87E+19      208.12
    0.612747    0.571319    0.000000    4.85E+19      201.24
    0.614736    0.569765    0.000000    4.75E+19      196.89
    0.621591    0.578307    0.000000    4.67E+19      196.32
    0.632212    0.564200    0.000000    4.69E+19      193.02
    0.632816    0.562616    0.000000    4.75E+19      190.25
    0.634936    0.561033    0.000000    4.73E+19      186.17
    0.637087    0.559449    0.000000    4.61E+19      178.40
    0.643037    0.568159    0.000000    4.54E+19      179.64
    0.654081    0.553974    0.000000    4.51E+19      179.64
    0.654849    0.552360    0.000000    4.53E+19      179.72
    0.657121    0.550747    0.000000    4.46E+19      172.72
    0.659423    0.549133    0.000000    4.32E+19      168.02
    0.664508    0.558009    0.000000    4.28E+19      168.31
    0.676703    0.543344    0.000000    4.27E+19      164.44
    0.677642    0.541698    0.000000    4.24E+19      161.19
    0.680074    0.540053    0.000000    4.20E+19      153.04
    0.682541    0.538408    0.000000    4.11E+19      145.67
    0.686741    0.547457    0.000000    4.06E+19      146.21
    0.699240    0.532713    0.000000    4.05E+19      143.86
    0.700368    0.531035    0.000000    4.04E+19      142.34
    0.702971    0.529359    0.000000    3.99E+19      137.91
    0.705611    0.527682    0.000000    3.90E+19      133.56
    0.708825    0.536905    0.000000    3.86E+19      135.76
    0.721652    0.522082    0.000000    3.84E+19      133.38
    0.722957    0.520373    0.000000    3.84E+19      133.54
    0.725718    0.518665    0.000000    3.84E+19      130.69
    0.728514    0.516957    0.000000    3.81E+19      126.90
    0.730798    0.526353    0.000000    3.79E+19      128.89
    0.743824    0.511452    0.000000    3.84E+19      127.15
    0.745305    0.509712    0.000000    3.88E+19      127.24
    0.748230    0.507972    0.000000    3.89E+19      123.55
    0.751197    0.506231    0.000000    3.84E+19      118.30
    0.752550    0.515802    0.000000    3.78E+19      118.04
    0.765799    0.500821    0.000000    3.77E+19      114.88
    0.767470    0.499049    0.000000    3.77E+19      113.82
    0.770562    0.497277    0.000000    3.70E+19      109.12
    0.773692    0.495505    0.000000    3.63E+19      103.05
    0.774053    0.505250    0.000000    3.58E+19      104.07
    0.787520    0.490190    0.000000    3.58E+19      103.15
    0.789361    0.488388    0.000000    3.59E+19       99.95
    0.792604    0.486584    0.000000    3.57E+19       96.72
    0.795323    0.494698    0.000000    3.50E+19       92.09
    0.795883    0.484780    0.000000    3.49E+19       93.06
    0.808894    0.479560    0.000000    3.52E+19       92.91
    0.810913    0.477726    0.000000    3.50E+19       89.42
    0.814313    0.475890    0.000000    3.50E+19       84.41
    0.816260    0.484147    0.000000    3.45E+19       82.39
    0.817752    0.474055    0.000000    3.45E+19       82.63
    0.829970    0.468928    0.000000    3.50E+19       82.26
    0.832167    0.467063    0.000000    3.54E+19       79.43
    0.835717    0.465196    0.000000    3.50E+19       74.40
    0.836863    0.473594    0.000000    3.46E+19       72.57
    0.839308    0.463329    0.000000    3.44E+19       73.78
    0.850677    0.458297    0.000000    3.46E+19       74.52
    0.853042    0.456398    0.000000    3.47E+19       72.40
    0.856727    0.454499    0.000000    3.41E+19       68.88
    0.857118    0.463046    0.000000    3.32E+19       67.96
    0.860452    0.452599    0.000000    3.29E+19       70.11
    0.870953    0.447666    0.000000    3.28E+19       70.00
    0.873489    0.445733    0.000000    3.25E+19       68.03
    0.876946    0.452500    0.000000    3.18E+19       63.63
    0.877322    0.443799    0.000000    3.11E+19       62.09
    0.881195    0.441866    0.000000    3.09E+19       63.16
    0.890837    0.437034    0.000000    3.12E+19       62.22
    0.893539    0.435066    0.000000    3.11E+19       58.82
    0.896368    0.441951    0.000000    3.08E+19       55.81
    0.897503    0.433100    0.000000    3.02E+19       53.60
    0.901509    0.431132    0.000000    3.01E+19       54.34
    0.910261    0.426402    0.000000    3.01E+19       53.52
    0.913109    0.424401    0.000000    2.99E+19       50.06
    0.915357    0.431405    0.000000    2.89E+19       47.14
    0.917190    0.422400    0.000000    2.80E+19       45.11
    0.921310    0.420399    0.000000    2.79E+19       45.97
    0.927171    0.416915    0.000000    2.75E+19       45.59
    0.930153    0.414884    0.000000    2.69E+19       43.08
    0.931890    0.421993    0.000000    2.59E+19       40.80
    0.934342    0.412853    0.000000    2.49E+19       39.41
    0.938569    0.410822    0.000000    2.47E+19       40.41
    0.943708    0.407428    0.000000    2.46E+19       39.78
    0.946815    0.405367    0.000000    2.36E+19       36.82
    0.948044    0.412581    0.000000    2.30E+19       34.27
    0.951099    0.403306    0.000000    2.17E+19       32.32
    0.955418    0.401245    0.000000    2.17E+19       32.42
    0.959833    0.397941    0.000000    2.10E+19       30.30
    0.963050    0.395850    0.000000    1.95E+19       26.59
