# AUG16Fluids FromSolPSToSteve.py generated @ Monday, 07. January 2013 09:19
# electron density (m^-3)
   ix   iy      x           y           z01
    1    1  1.2435E+00 -1.1004E+00  5.013042E+15
    2    1  1.2470E+00 -1.0985E+00  5.013042E+15
    3    1  1.2541E+00 -1.0944E+00  7.427164E+15
    4    1  1.2620E+00 -1.0899E+00  1.019995E+16
    5    1  1.2710E+00 -1.0850E+00  1.349680E+16
    6    1  1.2814E+00 -1.0795E+00  1.722676E+16
    7    1  1.2937E+00 -1.0732E+00  2.142286E+16
    8    1  1.3083E+00 -1.0662E+00  2.596974E+16
    9    1  1.3256E+00 -1.0587E+00  3.064530E+16
   10    1  1.3457E+00 -1.0511E+00  3.516794E+16
   11    1  1.3678E+00 -1.0446E+00  3.905046E+16
   12    1  1.3905E+00 -1.0407E+00  4.217100E+16
   13    1  1.4125E+00 -1.0400E+00  4.459812E+16
   14    1  1.5278E+00 -4.7420E-01  2.394016E+19
   15    1  1.5114E+00 -4.6887E-01  2.391858E+19
   16    1  1.4697E+00 -4.4770E-01  2.393153E+19
   17    1  1.4007E+00 -3.9120E-01  2.397330E+19
   18    1  1.3289E+00 -2.9118E-01  2.399664E+19
   19    1  1.2748E+00 -1.5386E-01  2.395536E+19
   20    1  1.2514E+00  7.5673E-03  2.384755E+19
   21    1  1.2664E+00  1.7857E-01  2.371093E+19
   22    1  1.3237E+00  3.4063E-01  2.360728E+19
   23    1  1.4166E+00  4.6770E-01  2.359874E+19
   24    1  1.5193E+00  5.3893E-01  2.363527E+19
   25    1  1.6225E+00  5.5996E-01  2.367287E+19
   26    1  1.7463E+00  5.3135E-01  2.370756E+19
   27    1  1.8782E+00  4.3914E-01  2.373850E+19
   28    1  1.9782E+00  2.9388E-01  2.375196E+19
   29    1  2.0249E+00  1.2261E-01  2.378295E+19
   30    1  2.0154E+00 -5.0942E-02  2.381653E+19
   31    1  1.9577E+00 -2.0851E-01  2.383234E+19
   32    1  1.8663E+00 -3.3673E-01  2.384116E+19
   33    1  1.7589E+00 -4.2565E-01  2.388234E+19
   34    1  1.6575E+00 -4.7058E-01  2.391582E+19
   35    1  1.5850E+00 -4.8122E-01  2.393507E+19
   36    1  1.5514E+00 -4.7927E-01  2.393618E+19
   37    1  1.5387E+00 -4.7691E-01  2.394018E+19
   38    1  1.4344E+00 -1.0433E+00  4.709877E+16
   39    1  1.4570E+00 -1.0510E+00  5.023412E+16
   40    1  1.4802E+00 -1.0632E+00  5.474845E+16
   41    1  1.5026E+00 -1.0788E+00  6.006109E+16
   42    1  1.5226E+00 -1.0952E+00  6.573189E+16
   43    1  1.5397E+00 -1.1107E+00  7.146262E+16
   44    1  1.5540E+00 -1.1248E+00  7.686411E+16
   45    1  1.5661E+00 -1.1373E+00  8.184857E+16
   46    1  1.5768E+00 -1.1485E+00  8.642989E+16
   47    1  1.5862E+00 -1.1586E+00  9.066016E+16
   48    1  1.5948E+00 -1.1681E+00  9.436151E+16
   49    1  1.6031E+00 -1.1773E+00  9.830763E+16
   50    1  1.6072E+00 -1.1819E+00  9.830763E+16
    1    2  1.2452E+00 -1.0954E+00  5.013042E+15
    2    2  1.2487E+00 -1.0934E+00  5.013042E+15
    3    2  1.2558E+00 -1.0893E+00  7.427164E+15
    4    2  1.2637E+00 -1.0847E+00  1.019995E+16
    5    2  1.2726E+00 -1.0797E+00  1.349680E+16
    6    2  1.2830E+00 -1.0741E+00  1.722676E+16
    7    2  1.2952E+00 -1.0677E+00  2.142286E+16
    8    2  1.3097E+00 -1.0605E+00  2.596974E+16
    9    2  1.3269E+00 -1.0528E+00  3.064530E+16
   10    2  1.3469E+00 -1.0448E+00  3.516794E+16
   11    2  1.3691E+00 -1.0380E+00  3.905046E+16
   12    2  1.3917E+00 -1.0337E+00  4.217100E+16
   13    2  1.4138E+00 -1.0330E+00  4.459812E+16
   14    2  1.5208E+00 -5.0368E-01  2.394016E+19
   15    2  1.5017E+00 -4.9729E-01  2.391858E+19
   16    2  1.4548E+00 -4.7215E-01  2.393153E+19
   17    2  1.3821E+00 -4.0886E-01  2.397330E+19
   18    2  1.3094E+00 -3.0176E-01  2.399664E+19
   19    2  1.2558E+00 -1.5888E-01  2.395536E+19
   20    2  1.2329E+00  7.0174E-03  2.384755E+19
   21    2  1.2481E+00  1.8249E-01  2.371093E+19
   22    2  1.3058E+00  3.5018E-01  2.360728E+19
   23    2  1.4008E+00  4.8452E-01  2.359874E+19
   24    2  1.5098E+00  5.6221E-01  2.363527E+19
   25    2  1.6225E+00  5.8469E-01  2.367287E+19
   26    2  1.7546E+00  5.5125E-01  2.370756E+19
   27    2  1.8907E+00  4.5167E-01  2.373850E+19
   28    2  1.9918E+00  3.0022E-01  2.375196E+19
   29    2  2.0387E+00  1.2405E-01  2.378295E+19
   30    2  2.0288E+00 -5.3731E-02  2.381653E+19
   31    2  1.9706E+00 -2.1533E-01  2.383234E+19
   32    2  1.8786E+00 -3.4822E-01  2.384116E+19
   33    2  1.7698E+00 -4.4329E-01  2.388234E+19
   34    2  1.6644E+00 -4.9504E-01  2.391582E+19
   35    2  1.5851E+00 -5.0999E-01  2.393507E+19
   36    2  1.5461E+00 -5.0892E-01  2.393618E+19
   37    2  1.5318E+00 -5.0639E-01  2.394018E+19
   38    2  1.4357E+00 -1.0365E+00  4.709877E+16
   39    2  1.4584E+00 -1.0445E+00  5.023412E+16
   40    2  1.4817E+00 -1.0574E+00  5.474845E+16
   41    2  1.5041E+00 -1.0738E+00  6.006109E+16
   42    2  1.5240E+00 -1.0907E+00  6.573189E+16
   43    2  1.5408E+00 -1.1066E+00  7.146262E+16
   44    2  1.5549E+00 -1.1210E+00  7.686411E+16
   45    2  1.5670E+00 -1.1337E+00  8.184857E+16
   46    2  1.5775E+00 -1.1449E+00  8.642989E+16
   47    2  1.5868E+00 -1.1552E+00  9.066016E+16
   48    2  1.5954E+00 -1.1648E+00  9.436151E+16
   49    2  1.6036E+00 -1.1741E+00  9.830763E+16
   50    2  1.6077E+00 -1.1788E+00  9.830763E+16
    1    3  1.2484E+00 -1.0861E+00  2.842344E+17
    2    3  1.2519E+00 -1.0840E+00  2.842344E+17
    3    3  1.2590E+00 -1.0797E+00  3.120978E+17
    4    3  1.2668E+00 -1.0750E+00  3.263668E+17
    5    3  1.2757E+00 -1.0698E+00  3.498959E+17
    6    3  1.2859E+00 -1.0640E+00  3.690120E+17
    7    3  1.2980E+00 -1.0574E+00  3.772113E+17
    8    3  1.3124E+00 -1.0499E+00  3.870223E+17
    9    3  1.3294E+00 -1.0416E+00  3.905333E+17
   10    3  1.3492E+00 -1.0331E+00  3.972602E+17
   11    3  1.3713E+00 -1.0255E+00  3.970078E+17
   12    3  1.3941E+00 -1.0205E+00  3.979942E+17
   13    3  1.4162E+00 -1.0194E+00  3.955526E+17
   14    3  1.5073E+00 -5.6025E-01  2.330741E+19
   15    3  1.4825E+00 -5.5137E-01  2.319946E+19
   16    3  1.4254E+00 -5.1749E-01  2.327190E+19
   17    3  1.3469E+00 -4.4055E-01  2.332628E+19
   18    3  1.2736E+00 -3.2036E-01  2.337046E+19
   19    3  1.2213E+00 -1.6767E-01  2.340778E+19
   20    3  1.1994E+00  6.0972E-03  2.341048E+19
   21    3  1.2149E+00  1.8947E-01  2.336751E+19
   22    3  1.2728E+00  3.6723E-01  2.333912E+19
   23    3  1.3713E+00  5.1513E-01  2.336722E+19
   24    3  1.4918E+00  6.0552E-01  2.343452E+19
   25    3  1.6228E+00  6.3062E-01  2.355455E+19
   26    3  1.7703E+00  5.8730E-01  2.369021E+19
   27    3  1.9134E+00  4.7389E-01  2.370219E+19
   28    3  2.0164E+00  3.1140E-01  2.361854E+19
   29    3  2.0635E+00  1.2656E-01  2.348909E+19
   30    3  2.0529E+00 -5.8696E-02  2.336243E+19
   31    3  1.9938E+00 -2.2738E-01  2.323143E+19
   32    3  1.9011E+00 -3.6841E-01  2.314998E+19
   33    3  1.7905E+00 -4.7455E-01  2.312658E+19
   34    3  1.6787E+00 -5.3962E-01  2.319290E+19
   35    3  1.5873E+00 -5.6421E-01  2.328545E+19
   36    3  1.5369E+00 -5.6571E-01  2.326882E+19
   37    3  1.5185E+00 -5.6294E-01  2.331226E+19
   38    3  1.4382E+00 -1.0232E+00  3.979147E+17
   39    3  1.4611E+00 -1.0322E+00  4.002501E+17
   40    3  1.4846E+00 -1.0467E+00  4.033475E+17
   41    3  1.5069E+00 -1.0644E+00  4.042050E+17
   42    3  1.5265E+00 -1.0824E+00  4.085846E+17
   43    3  1.5429E+00 -1.0990E+00  4.111483E+17
   44    3  1.5567E+00 -1.1138E+00  4.138240E+17
   45    3  1.5685E+00 -1.1268E+00  4.137547E+17
   46    3  1.5788E+00 -1.1384E+00  4.147726E+17
   47    3  1.5880E+00 -1.1488E+00  3.936358E+17
   48    3  1.5964E+00 -1.1586E+00  3.634616E+17
   49    3  1.6046E+00 -1.1681E+00  2.327388E+17
   50    3  1.6086E+00 -1.1730E+00  2.327388E+17
    1    4  1.2512E+00 -1.0780E+00  5.104339E+17
    2    4  1.2547E+00 -1.0759E+00  5.104339E+17
    3    4  1.2618E+00 -1.0714E+00  5.311585E+17
    4    4  1.2696E+00 -1.0666E+00  5.893034E+17
    5    4  1.2784E+00 -1.0612E+00  6.267598E+17
    6    4  1.2886E+00 -1.0551E+00  6.595627E+17
    7    4  1.3005E+00 -1.0482E+00  6.886574E+17
    8    4  1.3147E+00 -1.0404E+00  7.058242E+17
    9    4  1.3315E+00 -1.0316E+00  7.374530E+17
   10    4  1.3511E+00 -1.0224E+00  7.630754E+17
   11    4  1.3732E+00 -1.0140E+00  7.954586E+17
   12    4  1.3962E+00 -1.0082E+00  8.074933E+17
   13    4  1.4185E+00 -1.0068E+00  8.184412E+17
   14    4  1.4947E+00 -6.1343E-01  2.245664E+19
   15    4  1.4633E+00 -6.0104E-01  2.252596E+19
   16    4  1.3968E+00 -5.5658E-01  2.271822E+19
   17    4  1.3153E+00 -4.6596E-01  2.281737E+19
   18    4  1.2432E+00 -3.3470E-01  2.288983E+19
   19    4  1.1926E+00 -1.7436E-01  2.295687E+19
   20    4  1.1717E+00  5.4676E-03  2.301474E+19
   21    4  1.1874E+00  1.9500E-01  2.305700E+19
   22    4  1.2451E+00  3.8082E-01  2.307875E+19
   23    4  1.3455E+00  5.4052E-01  2.313880E+19
   24    4  1.4758E+00  6.4316E-01  2.333457E+19
   25    4  1.6240E+00  6.7037E-01  2.365191E+19
   26    4  1.7846E+00  6.1690E-01  2.384088E+19
   27    4  1.9323E+00  4.9135E-01  2.377851E+19
   28    4  2.0364E+00  3.2008E-01  2.357808E+19
   29    4  2.0835E+00  1.2847E-01  2.337567E+19
   30    4  2.0723E+00 -6.2628E-02  2.314591E+19
   31    4  2.0126E+00 -2.3678E-01  2.288662E+19
   32    4  1.9198E+00 -3.8401E-01  2.263987E+19
   33    4  1.8087E+00 -4.9895E-01  2.248618E+19
   34    4  1.6936E+00 -5.7644E-01  2.242466E+19
   35    4  1.5930E+00 -6.1270E-01  2.239445E+19
   36    4  1.5304E+00 -6.1880E-01  2.249065E+19
   37    4  1.5061E+00 -6.1608E-01  2.263010E+19
   38    4  1.4406E+00 -1.0107E+00  8.252814E+17
   39    4  1.4637E+00 -1.0208E+00  8.128898E+17
   40    4  1.4873E+00 -1.0370E+00  8.021002E+17
   41    4  1.5095E+00 -1.0562E+00  7.922130E+17
   42    4  1.5285E+00 -1.0752E+00  7.875475E+17
   43    4  1.5446E+00 -1.0924E+00  7.900887E+17
   44    4  1.5582E+00 -1.1076E+00  7.895713E+17
   45    4  1.5697E+00 -1.1209E+00  7.989437E+17
   46    4  1.5798E+00 -1.1327E+00  8.306841E+17
   47    4  1.5889E+00 -1.1434E+00  8.245994E+17
   48    4  1.5973E+00 -1.1534E+00  7.516620E+17
   49    4  1.6054E+00 -1.1631E+00  4.883221E+17
   50    4  1.6094E+00 -1.1679E+00  4.883221E+17
    1    5  1.2536E+00 -1.0711E+00  7.122619E+17
    2    5  1.2571E+00 -1.0688E+00  7.122619E+17
    3    5  1.2642E+00 -1.0643E+00  7.953532E+17
    4    5  1.2720E+00 -1.0593E+00  8.755536E+17
    5    5  1.2807E+00 -1.0537E+00  9.420656E+17
    6    5  1.2909E+00 -1.0474E+00  1.032303E+18
    7    5  1.3027E+00 -1.0402E+00  1.077744E+18
    8    5  1.3167E+00 -1.0321E+00  1.167155E+18
    9    5  1.3333E+00 -1.0229E+00  1.279598E+18
   10    5  1.3528E+00 -1.0130E+00  1.426851E+18
   11    5  1.3749E+00 -1.0036E+00  1.626962E+18
   12    5  1.3980E+00 -9.9686E-01  1.771581E+18
   13    5  1.4205E+00 -9.9497E-01  1.859122E+18
   14    5  1.4826E+00 -6.6342E-01  2.228131E+19
   15    5  1.4440E+00 -6.4593E-01  2.218660E+19
   16    5  1.3697E+00 -5.8913E-01  2.245874E+19
   17    5  1.2879E+00 -4.8556E-01  2.261035E+19
   18    5  1.2181E+00 -3.4546E-01  2.269030E+19
   19    5  1.1694E+00 -1.7938E-01  2.274511E+19
   20    5  1.1494E+00  5.0441E-03  2.275007E+19
   21    5  1.1651E+00  1.9929E-01  2.266554E+19
   22    5  1.2223E+00  3.9138E-01  2.254735E+19
   23    5  1.3236E+00  5.6105E-01  2.247554E+19
   24    5  1.4621E+00  6.7509E-01  2.268993E+19
   25    5  1.6254E+00  7.0386E-01  2.316376E+19
   26    5  1.7969E+00  6.4053E-01  2.322593E+19
   27    5  1.9477E+00  5.0478E-01  2.300448E+19
   28    5  2.0523E+00  3.2671E-01  2.283722E+19
   29    5  2.0992E+00  1.2991E-01  2.278568E+19
   30    5  2.0876E+00 -6.5677E-02  2.271405E+19
   31    5  2.0275E+00 -2.4396E-01  2.258099E+19
   32    5  1.9347E+00 -3.9583E-01  2.244970E+19
   33    5  1.8242E+00 -5.1747E-01  2.238900E+19
   34    5  1.7082E+00 -6.0558E-01  2.231415E+19
   35    5  1.6014E+00 -6.5466E-01  2.228944E+19
   36    5  1.5268E+00 -6.6798E-01  2.225545E+19
   37    5  1.4952E+00 -6.6624E-01  2.219037E+19
   38    5  1.4427E+00 -9.9890E-01  1.826669E+18
   39    5  1.4660E+00 -1.0103E+00  1.714938E+18
   40    5  1.4898E+00 -1.0285E+00  1.634386E+18
   41    5  1.5116E+00 -1.0491E+00  1.580362E+18
   42    5  1.5302E+00 -1.0690E+00  1.571170E+18
   43    5  1.5459E+00 -1.0867E+00  1.562285E+18
   44    5  1.5593E+00 -1.1022E+00  1.594700E+18
   45    5  1.5707E+00 -1.1158E+00  1.683607E+18
   46    5  1.5807E+00 -1.1278E+00  1.836760E+18
   47    5  1.5897E+00 -1.1387E+00  1.860168E+18
   48    5  1.5980E+00 -1.1489E+00  1.862133E+18
   49    5  1.6060E+00 -1.1588E+00  1.593653E+18
   50    5  1.6101E+00 -1.1638E+00  1.593653E+18
