#Layout of plot zone PFR-m : ITER#1514_(F57_ref-20-NF-C0,_tau=0.45e-6,_ntime=150)                            
#R	Z	Rc	Zc	x	xs	DG_elm
 4.17711E+00	-3.88897E+00	 4.22852E+00	-3.89301E+00	 5.15667E-02	 1.03133E-01	   97
 4.27993E+00	-3.89705E+00	 4.33134E+00	-3.90109E+00	 1.54699E-01	 2.06265E-01	   98
 4.38274E+00	-3.90513E+00	 4.43415E+00	-3.90916E+00	 2.57832E-01	 3.09398E-01	   99
 4.48556E+00	-3.91320E+00	 4.48322E+00	-3.94286E+00	 3.39148E-01	 3.68898E-01	  100
 4.48089E+00	-3.97252E+00	 4.46833E+00	-4.00677E+00	 4.05381E-01	 4.41864E-01	  101
 4.45577E+00	-4.04103E+00	 4.42390E+00	-4.04589E+00	 4.74097E-01	 5.06331E-01	  102
 4.39204E+00	-4.05075E+00	 4.39468E+00	-4.07994E+00	 5.35643E-01	 5.64955E-01	  103
 4.49390E+00	-4.14828E+00	 4.44561E+00	-4.12871E+00	 6.17060E-01	 6.69165E-01	  172
 4.59048E+00	-4.18744E+00	 4.54219E+00	-4.16786E+00	 7.21272E-01	 7.73380E-01	  187
 4.68706E+00	-4.22658E+00	 4.63877E+00	-4.20701E+00	 8.25485E-01	 8.77590E-01	  186
 4.78364E+00	-4.26573E+00	 4.73535E+00	-4.24616E+00	 9.29696E-01	 9.81801E-01	  185
 4.88022E+00	-4.30488E+00	 4.83193E+00	-4.28530E+00	 1.03391E+00	 1.08601E+00	  184
 4.97680E+00	-4.34403E+00	 4.92851E+00	-4.32445E+00	 1.13812E+00	 1.19022E+00	  183
 5.07338E+00	-4.38318E+00	 5.02509E+00	-4.36360E+00	 1.24233E+00	 1.29444E+00	  182
 5.16996E+00	-4.42232E+00	 5.12167E+00	-4.40275E+00	 1.34654E+00	 1.39865E+00	  181
 5.16996E+00	-4.42232E+00	 5.17699E+00	-4.42489E+00	 1.40614E+00	 1.41362E+00	   73
 5.18403E+00	-4.42745E+00	 5.19518E+00	-4.42342E+00	 1.42548E+00	 1.43733E+00	   74
 5.20633E+00	-4.41940E+00	 5.20037E+00	-4.39718E+00	 1.46034E+00	 1.48335E+00	   75
 5.19442E+00	-4.37495E+00	 5.19506E+00	-4.36276E+00	 1.49556E+00	 1.50777E+00	   76
 5.19570E+00	-4.35057E+00	 5.21210E+00	-4.32726E+00	 1.53626E+00	 1.56476E+00	   77
 5.22849E+00	-4.30395E+00	 5.24691E+00	-4.28553E+00	 1.59081E+00	 1.61686E+00	   78
 5.26534E+00	-4.26711E+00	 5.30146E+00	-4.30325E+00	 1.66796E+00	 1.71905E+00	   79
 5.33758E+00	-4.33938E+00	 5.37370E+00	-4.37552E+00	 1.77015E+00	 1.82124E+00	   80
 5.40983E+00	-4.41165E+00	 5.44595E+00	-4.44779E+00	 1.87233E+00	 1.92343E+00	   81
 5.48207E+00	-4.48392E+00	 5.51820E+00	-4.52006E+00	 1.97452E+00	 2.02562E+00	   82
 5.55432E+00	-4.55619E+00
