# ITER#1542 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 61.0 ms
# ion temperature (eV)
   ix   iy      x           y           z01
    1    1  4.1805E+03 -3.8836E+03  1.641034E-01
    2    1  4.1824E+03 -3.8828E+03  1.869409E-01
    3    1  4.1844E+03 -3.8820E+03  2.059076E-01
    4    1  4.1869E+03 -3.8810E+03  1.831399E-01
    5    1  4.1905E+03 -3.8796E+03  2.388463E-01
    6    1  4.1960E+03 -3.8775E+03  2.446444E-01
    7    1  4.2042E+03 -3.8742E+03  3.612878E-01
    8    1  4.2161E+03 -3.8696E+03  4.756171E-01
    9    1  4.2326E+03 -3.8631E+03  6.484777E-01
   10    1  4.2548E+03 -3.8546E+03  7.078143E-01
   11    1  4.2836E+03 -3.8436E+03  8.628422E-01
   12    1  4.3204E+03 -3.8299E+03  7.648015E-01
   13    1  4.3667E+03 -3.8129E+03  7.954942E-01
   14    1  4.4249E+03 -3.7925E+03  8.651097E-01
   15    1  4.4971E+03 -3.7686E+03  9.096477E-01
   16    1  4.5842E+03 -3.7423E+03  6.037161E-01
   17    1  4.6845E+03 -3.7170E+03  6.887507E-01
   18    1  4.7929E+03 -3.6989E+03  8.874964E-01
   19    1  4.8964E+03 -3.6959E+03  1.003679E+00
   20    1  4.9755E+03 -3.7077E+03  1.077298E+00
   21    1  5.4416E+03 -2.6135E+03  2.129478E+03
   22    1  5.3527E+03 -2.5513E+03  2.129922E+03
   23    1  5.1855E+03 -2.3739E+03  2.130714E+03
   24    1  5.0190E+03 -2.1003E+03  2.131418E+03
   25    1  4.8749E+03 -1.7821E+03  2.131873E+03
   26    1  4.7513E+03 -1.4488E+03  2.132115E+03
   27    1  4.6451E+03 -1.1082E+03  2.132224E+03
   28    1  4.5555E+03 -7.6268E+02  2.132258E+03
   29    1  4.4819E+03 -4.1310E+02  2.132253E+03
   30    1  4.4237E+03 -6.0661E+01  2.132232E+03
   31    1  4.3824E+03  2.9378E+02  2.132211E+03
   32    1  4.3589E+03  6.5012E+02  2.132194E+03
   33    1  4.3515E+03  1.0072E+03  2.132180E+03
   34    1  4.3605E+03  1.3634E+03  2.132159E+03
   35    1  4.3879E+03  1.7170E+03  2.132115E+03
   36    1  4.4377E+03  2.0654E+03  2.132023E+03
   37    1  4.5125E+03  2.4051E+03  2.131848E+03
   38    1  4.6154E+03  2.7294E+03  2.131549E+03
   39    1  4.7504E+03  3.0251E+03  2.131093E+03
   40    1  4.9164E+03  3.2727E+03  2.130484E+03
   41    1  5.1052E+03  3.4555E+03  2.129777E+03
   42    1  5.3135E+03  3.5722E+03  2.129016E+03
   43    1  5.5546E+03  3.6286E+03  2.128195E+03
   44    1  5.8345E+03  3.6189E+03  2.127314E+03
   45    1  6.1357E+03  3.5401E+03  2.126414E+03
   46    1  6.4361E+03  3.4023E+03  2.125553E+03
   47    1  6.7223E+03  3.2179E+03  2.124770E+03
   48    1  6.9892E+03  2.9969E+03  2.124061E+03
   49    1  7.2338E+03  2.7476E+03  2.123436E+03
   50    1  7.4516E+03  2.4737E+03  2.122901E+03
   51    1  7.6402E+03  2.1775E+03  2.122451E+03
   52    1  7.7989E+03  1.8632E+03  2.122092E+03
   53    1  7.9254E+03  1.5344E+03  2.121821E+03
   54    1  8.0173E+03  1.1942E+03  2.121640E+03
   55    1  8.0748E+03  8.4620E+02  2.121547E+03
