# ITER#1542 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 61.0 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -1.658512E+03 -1.634271E+03 -1.645837E+03 -1.606737E+03 -1.637685E+03 -1.643974E+03 -1.646383E+03 -1.647092E+03 -1.647595E+03
    2    1  4.1824E+03 -3.8828E+03 -2.920472E+02 -2.474585E+02 -2.690923E+02 -2.011652E+02 -2.550226E+02 -2.662886E+02 -2.706422E+02 -2.719704E+02 -2.729051E+02
    3    1  4.1844E+03 -3.8820E+03 -2.245841E+02 -1.955140E+02 -2.106764E+02 -1.689418E+02 -2.021251E+02 -2.094147E+02 -2.122369E+02 -2.132279E+02 -2.138832E+02
    4    1  4.1869E+03 -3.8810E+03 -8.721635E+02 -8.593733E+02 -8.667302E+02 -8.465045E+02 -8.625752E+02 -8.660735E+02 -8.673834E+02 -8.679235E+02 -8.682478E+02
    5    1  4.1905E+03 -3.8796E+03 -7.518221E+02 -7.394601E+02 -7.467782E+02 -7.258524E+02 -7.425272E+02 -7.461120E+02 -7.474480E+02 -7.479942E+02 -7.483207E+02
    6    1  4.1960E+03 -3.8775E+03 -6.996057E+02 -6.787255E+02 -6.912609E+02 -6.569043E+02 -6.840772E+02 -6.902706E+02 -6.925532E+02 -6.935351E+02 -6.940960E+02
    7    1  4.2042E+03 -3.8742E+03 -9.158368E+02 -8.735457E+02 -8.988096E+02 -8.397165E+02 -8.838273E+02 -8.967647E+02 -9.016388E+02 -9.038763E+02 -9.051138E+02
    8    1  4.2161E+03 -3.8696E+03 -1.048497E+03 -9.853495E+02 -1.019169E+03 -9.690141E+02 -9.967103E+02 -1.015857E+03 -1.024306E+03 -1.028531E+03 -1.030914E+03
    9    1  4.2326E+03 -3.8631E+03 -1.542205E+03 -1.576658E+03 -1.543157E+03 -1.649886E+03 -1.560616E+03 -1.545612E+03 -1.542735E+03 -1.542050E+03 -1.541901E+03
   10    1  4.2548E+03 -3.8546E+03 -2.162275E+03 -2.374822E+03 -2.223411E+03 -2.544707E+03 -2.312670E+03 -2.235291E+03 -2.209766E+03 -2.198863E+03 -2.193367E+03
   11    1  4.2836E+03 -3.8436E+03 -2.759877E+03 -2.955158E+03 -2.833275E+03 -3.052695E+03 -2.910580E+03 -2.844118E+03 -2.817352E+03 -2.804648E+03 -2.797817E+03
   12    1  4.3204E+03 -3.8299E+03 -2.549797E+03 -2.519472E+03 -2.561826E+03 -2.475027E+03 -2.546482E+03 -2.562551E+03 -2.560728E+03 -2.557721E+03 -2.555554E+03
   13    1  4.3667E+03 -3.8129E+03 -2.205431E+03 -2.050459E+03 -2.132263E+03 -2.056178E+03 -2.079414E+03 -2.127009E+03 -2.149195E+03 -2.160081E+03 -2.166261E+03
   14    1  4.4249E+03 -3.7925E+03 -2.339694E+03 -2.302286E+03 -2.264217E+03 -2.323687E+03 -2.285484E+03 -2.268442E+03 -2.278726E+03 -2.290244E+03 -2.298999E+03
