* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
  1.000   1.000   8.168   0.678  -0.872
  2.000   1.000   8.149   0.678  -0.915
  3.000   1.000   8.154   0.678  -0.917
  4.000   1.000   8.173   0.678  -0.874
  5.000   2.000   8.187   0.678  -0.828
  6.000   2.000   8.168   0.678  -0.872
  7.000   2.000   8.173   0.678  -0.874
  8.000   2.000   8.192   0.678  -0.830
  9.000   3.000   8.207   0.678  -0.785
 10.000   3.000   8.187   0.678  -0.828
 11.000   3.000   8.192   0.678  -0.830
 12.000   3.000   8.211   0.678  -0.787
 13.000   4.000   8.226   0.678  -0.742
 14.000   4.000   8.207   0.678  -0.785
 15.000   4.000   8.211   0.678  -0.787
 16.000   4.000   8.230   0.678  -0.744
 17.000   5.000   8.245   0.678  -0.699
 18.000   5.000   8.226   0.678  -0.742
 19.000   5.000   8.230   0.678  -0.744
 20.000   5.000   8.249   0.678  -0.701
 21.000   6.000   8.264   0.678  -0.655
 22.000   6.000   8.245   0.678  -0.699
 23.000   6.000   8.249   0.678  -0.701
 24.000   6.000   8.268   0.678  -0.658
 25.000   7.000   8.283   0.678  -0.612
 26.000   7.000   8.264   0.678  -0.655
 27.000   7.000   8.268   0.678  -0.658
 28.000   7.000   8.288   0.678  -0.614
 29.000   8.000   8.302   0.678  -0.569
 30.000   8.000   8.283   0.678  -0.612
 31.000   8.000   8.288   0.678  -0.614
 32.000   8.000   8.307   0.678  -0.571
 33.000   9.000   8.321   0.678  -0.526
 34.000   9.000   8.302   0.678  -0.569
 35.000   9.000   8.307   0.678  -0.571
 36.000   9.000   8.326   0.678  -0.528
 37.000  10.000   8.340   0.678  -0.483
 38.000  10.000   8.321   0.678  -0.526
 39.000  10.000   8.326   0.678  -0.528
 40.000  10.000   8.345   0.678  -0.485
 41.000  11.000   8.345   0.678  -0.474
 42.000  11.000   8.340   0.678  -0.483
 43.000  11.000   8.345   0.678  -0.485
 44.000  11.000   8.349   0.678  -0.476
 45.000  12.000   8.334   0.668  -0.469
 46.000  12.000   8.345   0.678  -0.474
 47.000  12.000   8.349   0.678  -0.476
 48.000  12.000   8.338   0.668  -0.471
 49.000  13.000   8.316   0.615  -0.461
 50.000  13.000   8.334   0.668  -0.469
 51.000  13.000   8.338   0.668  -0.471
 52.000  13.000   8.321   0.615  -0.463
 53.000  14.000   8.310   0.562  -0.458
 54.000  14.000   8.316   0.615  -0.461
 55.000  14.000   8.321   0.615  -0.463
 56.000  14.000   8.315   0.562  -0.460
 57.000  15.000   8.307   0.509  -0.457
 58.000  15.000   8.310   0.562  -0.458
 59.000  15.000   8.315   0.562  -0.460
 60.000  15.000   8.311   0.509  -0.459
 61.000  16.000   8.304   0.456  -0.456
 62.000  16.000   8.307   0.509  -0.457
 63.000  16.000   8.311   0.509  -0.459
 64.000  16.000   8.309   0.456  -0.458
 65.000  17.000   8.303   0.403  -0.455
 66.000  17.000   8.304   0.456  -0.456
 67.000  17.000   8.309   0.456  -0.458
 68.000  17.000   8.307   0.403  -0.457
 69.000  18.000   8.301   0.351  -0.454
 70.000  18.000   8.303   0.403  -0.455
 71.000  18.000   8.307   0.403  -0.457
 72.000  18.000   8.306   0.351  -0.456
 73.000  19.000   8.300   0.298  -0.454
 74.000  19.000   8.301   0.351  -0.454
 75.000  19.000   8.306   0.351  -0.456
 76.000  19.000   8.304   0.298  -0.456
 77.000  20.000   8.299   0.245  -0.453
 78.000  20.000   8.300   0.298  -0.454
 79.000  20.000   8.304   0.298  -0.456
 80.000  20.000   8.303   0.245  -0.455
 81.000  21.000   8.301   0.194  -0.454
 82.000  21.000   8.299   0.245  -0.453
 83.000  21.000   8.303   0.245  -0.455
 84.000  21.000   8.306   0.194  -0.456
 85.000  22.000   8.303   0.142  -0.455
 86.000  22.000   8.301   0.194  -0.454
 87.000  22.000   8.306   0.194  -0.456
 88.000  22.000   8.308   0.142  -0.457
 89.000  23.000   8.306   0.091  -0.456
 90.000  23.000   8.303   0.142  -0.455
 91.000  23.000   8.308   0.142  -0.457
 92.000  23.000   8.310   0.091  -0.458
 93.000  24.000   8.309   0.040  -0.458
 94.000  24.000   8.306   0.091  -0.456
 95.000  24.000   8.310   0.091  -0.458
 96.000  24.000   8.313   0.040  -0.460
 97.000  25.000   8.309   0.030  -0.458
 98.000  25.000   8.309   0.040  -0.458
 99.000  25.000   8.313   0.040  -0.460
100.000  25.000   8.314   0.030  -0.460
101.000  26.000   8.305   0.030  -0.467
102.000  26.000   8.309   0.030  -0.458
103.000  26.000   8.314   0.030  -0.460
104.000  26.000   8.310   0.030  -0.469
105.000  27.000   8.286   0.030  -0.510
106.000  27.000   8.305   0.030  -0.467
107.000  27.000   8.310   0.030  -0.469
108.000  27.000   8.291   0.030  -0.512
