# ITER#1537 (F57 ref-20-NF-C0, tau=0.4e-6, ntime=150)  - 57.3 ms
# electron density (m^-3)
   ix   iy      x           y           z01
    1    1  4.1805E+03 -3.8836E+03  9.402393E+18
    2    1  4.1824E+03 -3.8828E+03  2.221524E+19
    3    1  4.1844E+03 -3.8820E+03  3.157232E+19
    4    1  4.1869E+03 -3.8810E+03  4.043158E+19
    5    1  4.1905E+03 -3.8796E+03  4.347624E+19
    6    1  4.1960E+03 -3.8775E+03  4.875390E+19
    7    1  4.2042E+03 -3.8742E+03  4.082922E+19
    8    1  4.2161E+03 -3.8696E+03  3.152615E+19
    9    1  4.2326E+03 -3.8631E+03  2.490761E+19
   10    1  4.2548E+03 -3.8546E+03  2.004640E+19
   11    1  4.2836E+03 -3.8436E+03  1.941191E+19
   12    1  4.3204E+03 -3.8299E+03  2.159584E+19
   13    1  4.3667E+03 -3.8129E+03  2.328263E+19
   14    1  4.4249E+03 -3.7925E+03  2.355201E+19
   15    1  4.4971E+03 -3.7686E+03  2.371431E+19
   16    1  4.5842E+03 -3.7423E+03  2.375621E+19
   17    1  4.6845E+03 -3.7170E+03  2.151630E+19
   18    1  4.7929E+03 -3.6989E+03  1.683730E+19
   19    1  4.8964E+03 -3.6959E+03  1.120351E+19
   20    1  4.9755E+03 -3.7077E+03  7.712676E+18
   21    1  5.4416E+03 -2.6135E+03  4.386704E+19
   22    1  5.3527E+03 -2.5513E+03  4.386944E+19
   23    1  5.1855E+03 -2.3739E+03  4.388056E+19
   24    1  5.0190E+03 -2.1003E+03  4.389086E+19
   25    1  4.8749E+03 -1.7821E+03  4.389735E+19
   26    1  4.7513E+03 -1.4488E+03  4.390015E+19
   27    1  4.6451E+03 -1.1082E+03  4.390090E+19
   28    1  4.5555E+03 -7.6268E+02  4.390059E+19
   29    1  4.4819E+03 -4.1310E+02  4.389972E+19
   30    1  4.4237E+03 -6.0661E+01  4.389897E+19
   31    1  4.3824E+03  2.9378E+02  4.389837E+19
   32    1  4.3589E+03  6.5012E+02  4.389820E+19
   33    1  4.3515E+03  1.0072E+03  4.389840E+19
   34    1  4.3605E+03  1.3634E+03  4.389875E+19
   35    1  4.3879E+03  1.7170E+03  4.389885E+19
   36    1  4.4377E+03  2.0654E+03  4.389841E+19
   37    1  4.5125E+03  2.4051E+03  4.389649E+19
   38    1  4.6154E+03  2.7294E+03  4.389272E+19
   39    1  4.7504E+03  3.0251E+03  4.388642E+19
   40    1  4.9164E+03  3.2727E+03  4.387784E+19
   41    1  5.1052E+03  3.4555E+03  4.386782E+19
   42    1  5.3135E+03  3.5722E+03  4.385697E+19
   43    1  5.5546E+03  3.6286E+03  4.384558E+19
   44    1  5.8345E+03  3.6189E+03  4.383377E+19
   45    1  6.1357E+03  3.5401E+03  4.382072E+19
   46    1  6.4361E+03  3.4023E+03  4.380842E+19
   47    1  6.7223E+03  3.2179E+03  4.379713E+19
   48    1  6.9892E+03  2.9969E+03  4.378651E+19
   49    1  7.2338E+03  2.7476E+03  4.377694E+19
   50    1  7.4516E+03  2.4737E+03  4.376858E+19
   51    1  7.6402E+03  2.1775E+03  4.376087E+19
   52    1  7.7989E+03  1.8632E+03  4.375499E+19
   53    1  7.9254E+03  1.5344E+03  4.375045E+19
   54    1  8.0173E+03  1.1942E+03  4.374737E+19
   55    1  8.0748E+03  8.4620E+02  4.374565E+19
   56    1  8.0955E+03  4.9507E+02  4.374609E+19
   57    1  8.0760E+03  1.4422E+02  4.374693E+19
   58    1  8.0182E+03 -2.0275E+02  4.375039E+19
   59    1  7.9235E+03 -5.4071E+02  4.375443E+19
   60    1  7.7913E+03 -8.6495E+02  4.375990E+19
   61    1  7.6233E+03 -1.1723E+03  4.376682E+19
   62    1  7.4231E+03 -1.4604E+03  4.377458E+19
   63    1  7.1956E+03 -1.7276E+03  4.378417E+19
   64    1  6.9444E+03 -1.9711E+03  4.379353E+19
   65    1  6.6712E+03 -2.1892E+03  4.380493E+19
   66    1  6.3795E+03 -2.3804E+03  4.381755E+19
   67    1  6.0760E+03 -2.5349E+03  4.383125E+19
   68    1  5.7833E+03 -2.6271E+03  4.384474E+19
   69    1  5.5581E+03 -2.6394E+03  4.385465E+19
   70    1  5.4620E+03 -2.6219E+03  4.385713E+19
   71    1  5.0368E+03 -3.7322E+03  6.115652E+18
   72    1  5.1093E+03 -3.7836E+03  4.920406E+18
   73    1  5.1911E+03 -3.8676E+03  4.566429E+18
   74    1  5.2648E+03 -3.9669E+03  5.998329E+18
   75    1  5.3274E+03 -4.0657E+03  8.064639E+18
   76    1  5.3798E+03 -4.1563E+03  8.897494E+18
   77    1  5.4222E+03 -4.2339E+03  8.938897E+18
   78    1  5.4554E+03 -4.2970E+03  8.389979E+18
   79    1  5.4810E+03 -4.3470E+03  6.955121E+18
   80    1  5.5007E+03 -4.3864E+03  5.445254E+18
   81    1  5.5159E+03 -4.4170E+03  5.109258E+18
   82    1  5.5274E+03 -4.4405E+03  5.724336E+18
   83    1  5.5359E+03 -4.4580E+03  6.599206E+18
   84    1  5.5420E+03 -4.4706E+03  6.996714E+18
