{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.169108    0.899634    0.000000    6.78E+19      359.19
    0.172107    0.889356    0.000000    6.51E+19      356.33
    0.172481    0.890046    0.000000    6.92E+19      418.98
    0.174623    0.893495    0.000000    7.18E+19      430.98
    0.176156    0.879077    0.000000    6.82E+19      381.24
    0.176489    0.879784    0.000000    7.16E+19      424.47
    0.178212    0.883319    0.000000    7.23E+19      415.81
    0.180141    0.890735    0.000000    7.17E+19      381.83
    0.180302    0.891425    0.000000    7.02E+19      386.35
    0.181250    0.868799    0.000000    6.50E+19      352.15
    0.181538    0.869523    0.000000    6.65E+19      417.82
    0.182820    0.873142    0.000000    7.24E+19      411.15
    0.183962    0.880491    0.000000    6.98E+19      372.14
    0.184007    0.881198    0.000000    6.79E+19      404.40
    0.185666    0.893151    0.000000    7.59E+19      379.44
    0.187392    0.858519    0.000000    6.51E+19      355.28
    0.187636    0.859260    0.000000    6.87E+19      435.10
    0.188468    0.862966    0.000000    7.12E+19      428.79
    0.188746    0.870970    0.000000    6.81E+19      375.96
    0.188823    0.870246    0.000000    6.73E+19      370.30
    0.189277    0.882965    0.000000    7.59E+19      389.36
    0.193909    0.872781    0.000000    7.48E+19      360.27
    0.194530    0.848241    0.000000    6.59E+19      363.29
    0.194533    0.860742    0.000000    6.76E+19      388.38
    0.194731    0.848998    0.000000    6.70E+19      406.46
    0.194733    0.860001    0.000000    6.71E+19      371.05
    0.195116    0.852789    0.000000    7.03E+19      408.67
    0.199584    0.862595    0.000000    7.49E+19      364.31
    0.201320    0.850515    0.000000    6.79E+19      380.39
    0.201644    0.849757    0.000000    6.72E+19      385.41
    0.202667    0.837963    0.000000    6.74E+19      377.88
    0.202731    0.842613    0.000000    7.05E+19      398.18
    0.202818    0.838737    0.000000    6.82E+19      392.77
    0.206261    0.852410    0.000000    7.32E+19      364.80
    0.209093    0.840287    0.000000    6.87E+19      371.09
    0.209544    0.839513    0.000000    6.85E+19      360.37
    0.211336    0.832442    0.000000    7.01E+19      414.95
    0.211807    0.827676    0.000000    6.49E+19      367.64
    0.211907    0.828470    0.000000    6.91E+19      398.32
    0.213907    0.842225    0.000000    7.36E+19      352.09
    0.217866    0.830058    0.000000    6.54E+19      370.31
    0.218448    0.829264    0.000000    6.83E+19      375.22
    0.220847    0.822308    0.000000    6.98E+19      396.04
    0.221909    0.817360    0.000000    6.30E+19      384.10
    0.221948    0.818184    0.000000    6.67E+19      401.47
    0.222545    0.832044    0.000000    7.30E+19      356.89
    0.227576    0.819834    0.000000    6.37E+19      369.56
    0.228298    0.819009    0.000000    6.45E+19      403.12
    0.231255    0.812173    0.000000    6.83E+19      428.45
    0.232093    0.821896    0.000000    7.39E+19      388.80
    0.232924    0.807899    0.000000    6.74E+19      399.79
    0.232959    0.807043    0.000000    6.50E+19      383.33
    0.238208    0.809609    0.000000    6.50E+19      363.68
    0.239077    0.808753    0.000000    6.66E+19      390.09
    0.242541    0.811746    0.000000    7.24E+19      360.05
    0.242590    0.802039    0.000000    6.73E+19      399.24
    0.244835    0.797613    0.000000    6.38E+19      381.00
    0.244942    0.796727    0.000000    6.29E+19      393.54
    0.249780    0.799383    0.000000    6.52E+19      356.93
    0.250794    0.798498    0.000000    6.14E+19      369.66
    0.253917    0.801597    0.000000    7.24E+19      393.35
    0.254793    0.791904    0.000000    6.91E+19      416.85
    0.257604    0.787326    0.000000    6.56E+19      368.74
    0.257783    0.786410    0.000000    6.53E+19      377.85
    0.262218    0.789157    0.000000    6.73E+19      356.47
    0.263376    0.788241    0.000000    6.45E+19      383.20
    0.266161    0.791446    0.000000    7.20E+19      372.15
    0.267813    0.781770    0.000000    7.06E+19      388.53
    0.271232    0.777040    0.000000    6.60E+19      376.37
    0.271497    0.776094    0.000000    6.15E+19      379.07
    0.275501    0.778932    0.000000    6.45E+19      355.63
    0.276809    0.777986    0.000000    6.28E+19      374.95
    0.279222    0.781297    0.000000    7.29E+19      378.12
    0.281690    0.771636    0.000000    7.18E+19      385.08
    0.285713    0.766754    0.000000    6.48E+19      361.40
    0.286062    0.765777    0.000000    6.18E+19      374.48
    0.289649    0.768706    0.000000    6.71E+19      356.77
    0.291102    0.767731    0.000000    6.34E+19      396.79
    0.293141    0.771147    0.000000    7.20E+19      375.58
    0.296351    0.761502    0.000000    7.09E+19      336.50
    0.300953    0.756468    0.000000    6.69E+19      335.75
    0.301386    0.755461    0.000000    6.31E+19      362.56
    0.304569    0.758482    0.000000    6.68E+19      356.53
    0.306167    0.757474    0.000000    6.38E+19      396.14
    0.307837    0.760999    0.000000    7.46E+19      378.41
    0.311738    0.751368    0.000000    7.09E+19      346.05
    0.316967    0.746182    0.000000    6.78E+19      341.34
    0.317498    0.745145    0.000000    6.02E+19      341.57
    0.320250    0.748256    0.000000    6.46E+19      339.82
    0.321995    0.747219    0.000000    6.28E+19      371.43
    0.323263    0.750849    0.000000    7.33E+19      346.87
    0.327897    0.741234    0.000000    6.83E+19      329.46
    0.333736    0.735896    0.000000    6.59E+19      310.23
    0.334363    0.734828    0.000000    6.06E+19      328.00
    0.336703    0.738031    0.000000    6.32E+19      322.92
    0.338591    0.736963    0.000000    6.12E+19      349.77
    0.339457    0.740700    0.000000    6.89E+19      340.03
    0.344744    0.731100    0.000000    6.74E+19      281.31
    0.351153    0.725610    0.000000    6.16E+19      309.67
    0.351873    0.724513    0.000000    5.87E+19      301.45
    0.353828    0.727806    0.000000    6.27E+19      309.09
    0.355845    0.726708    0.000000    5.89E+19      343.82
    0.356334    0.730550    0.000000    7.09E+19      324.23
    0.362213    0.720965    0.000000    6.54E+19      296.61
    0.369246    0.715323    0.000000    5.94E+19      284.61
    0.370077    0.714195    0.000000    5.48E+19      294.93
    0.371612    0.717579    0.000000    5.99E+19      309.10
    0.373768    0.716452    0.000000    5.75E+19      327.94
