Parameter fuer die tot-gleichung: 29.4 ,  1. ,  0.71 ,  1. ,  2.5 ,  0.9
Process 1:  e + CH_4^+ -> CH_3^+ + H + e	 Eopt= 3 Ek= 1.3  
Process 2:  e + CH_4^+ -> CH_3 + H^+ + e	 Eopt= 3 Ek= 1.91
Process 3:  e + CH_4^+ -> CH_2^+ + H_2 + e       Eopt= 3 Ek= 2.01
Process 4:  e + CH_4^+ -> CH_2 + H_2^+ + e	 Eopt= 3 Ek= 2.25
Process 5:  e + CH_4^+ -> CH^+ + H_2 + H + e     Eopt= 3 Ek= 2.15
Process 6:  e + CH_4^+ -> C^+ + 2H_2 + e	 Eopt= 3 Ek= 2.04
Process 7:  e + CH_3^+ -> CH_2^+ + H + e	 Eopt= 3 Ek= 1.62
Process 8:  e + CH_3^+ -> CH_2 + H^+ + e	 Eopt= 3 Ek= 2.58
Process 9:  e + CH_3^+ -> CH^+ + H_2 + e	 Eopt= 3 Ek= 1.67
Process 10:  e + CH_3^+ -> CH + H_2^+ + e	 Eopt= 3 Ek= 3.1
Process 11:  e + CH_3^+ -> C^+ + H_2 + H + e     Eopt= 3 Ek= 2.92
Process 12:  e + CH_2^+ -> CH^+ + H + e	         Eopt= 3 Ek= 1.4
Process 13:  e + CH_2^+ -> CH + H^+ + e	         Eopt= 3 Ek= 2.29
Process 14:  e + CH_2^+ -> C + H + H^+ + e	 Eopt= 3 Ek= 3.35
Process 15:  e + CH_2^+ -> C^+ + H_2 + e	 Eopt= 3 Ek= 1.3
Process 16:  e + CH_2^+ -> C + H_2^+ + e	 Eopt= 3 Ek= 2.54
Process 17:  e + CH_2^+ -> C^+ + 2H + e	         Eopt= 3 Ek= 2.66
Process 18:  e + CH^+   -> C^+ + H + e	         Eopt= 3 Ek= 2.5
Process 19:  e + CH^+   -> C + H^+ + e	         Eopt= 3 Ek= 1.5

                Process 1     Process 2     Process 3     Process 4     Process 5     Process 6     Process 7     Process 8     Process 9     Process 10    Process 11    Process 12    Process 13    Process 14    Process 15    Process 16    Process 17    Process 18    Process 19 
     RDE       3.600000E-01  3.150000E-01  1.400000E-01  7.300000E-02  6.800000E-02  4.400000E-02  2.560000E-01  5.150000E-01  1.250000E-01  4.800000E-02  5.600000E-02  1.950000E-01  6.750000E-01  4.000000E-02  5.600000E-02  2.100000E-02  1.300000E-02  9.000000E-02  9.100000E-01
     eth                                                                                                                                                                                                                                                                               
      E      
 1.000000E-01  2.931281E-25  3.677645E-43  4.225027E-28  4.323934E-50  3.030845E-48  2.163077E-46  1.806233E-41  4.817621E-56  6.965127E-42  1.416659E-57  3.474283E-63  4.453132E-36  1.271270E-46  2.761859E-71  5.900540E-36  4.702201E-59  6.362284E-59  2.068307E-37  3.512921E-32
 1.123655E-01  1.702943E-23  3.188704E-39  5.772071E-26  1.909099E-45  8.247563E-44  3.471851E-42  5.158904E-38  1.006651E-50  2.105414E-38  3.377421E-52  3.653932E-57  3.586176E-33  2.414671E-42  2.295390E-64  3.561280E-33  1.556493E-53  1.928624E-53  2.533355E-34  1.069920E-29
 1.262600E-01  6.460259E-22  1.013465E-35  4.584512E-24  2.582486E-41  7.252726E-40  1.908644E-38  6.280693E-35  5.434676E-46  2.678821E-35  2.050375E-47  8.308189E-52  1.391424E-30  1.543247E-38  3.283939E-58  1.086497E-30  1.264855E-48  1.449238E-48  1.414858E-31  1.775348E-27
 1.418727E-01  1.676414E-20  1.318721E-32  2.248351E-22  1.219180E-37  2.334023E-36  4.043908E-35  3.578934E-32  8.799443E-42  1.579259E-32  3.685028E-43  4.834367E-47  2.821651E-28  3.741931E-35  9.815781E-53  1.805590E-28  2.945354E-44  3.147624E-44  3.929802E-29  1.715269E-25
 1.594159E-01  3.101249E-19  7.751174E-30  7.183428E-21  2.255568E-34  3.070510E-33  3.667694E-32  1.037393E-29  4.879140E-38  4.698057E-30  2.242047E-39  8.364526E-43  3.215327E-26  3.830324E-32  7.282814E-48  1.746847E-26  2.255314E-40  2.265345E-40  5.864632E-27  1.023710E-23
 1.791284E-01  4.242981E-18  2.246344E-27  1.568318E-19  1.813027E-31  1.822232E-30  1.563465E-29  1.647157E-27  1.042614E-34  7.607572E-28  5.203313E-36  4.918411E-39  2.195911E-24  1.820343E-29  1.563641E-43  1.043812E-24  6.418668E-37  6.101320E-37  5.037503E-25  3.977939E-22
 2.012785E-01  4.435812E-17  3.469946E-25  2.441397E-18  6.940443E-29  5.325564E-28  3.404171E-27  1.530157E-25  9.537756E-32  7.172266E-26  5.122524E-33  1.106940E-35  9.518336E-23  4.371309E-27  1.113597E-39  4.060408E-23  7.571766E-34  6.852847E-34  2.647966E-23  1.054608E-20
 2.261676E-01  3.648027E-16  3.062181E-23  2.814409E-17  1.373076E-26  8.286871E-26  4.076775E-25  8.818480E-24  4.101517E-29  4.179165E-24  2.351393E-30  1.059977E-32  2.755391E-21  5.719205E-25  2.970573E-36  1.077501E-21  4.079474E-31  3.534487E-31  8.995711E-22  1.988577E-19
 2.541343E-01  2.421825E-15  1.642156E-21  2.484956E-16  1.509782E-24  7.359473E-24  2.868295E-23  3.321568E-22  9.011344E-27  1.586980E-22  5.474700E-28  4.745137E-30  5.573472E-20  4.359727E-23  3.307031E-33  2.033477E-20  1.094394E-28  9.120945E-29  2.073449E-20  2.767448E-18
 2.855592E-01  1.328005E-14  5.653819E-20  1.731650E-15  9.843786E-23  3.968137E-22  1.257209E-21  8.564765E-21  1.089384E-24  4.116616E-21  6.968391E-26  1.079920E-27  8.200170E-19  2.055511E-21  1.691691E-30  2.832082E-19  1.578672E-26  1.271065E-26  3.385974E-19  2.937573E-17
 3.208700E-01  6.138969E-14  1.312382E-18  9.781367E-15  4.031474E-21  1.372499E-20  3.616966E-20  1.575485E-19  7.740763E-23  7.605659E-20  5.183374E-24  1.346282E-25  9.093561E-18  6.321354E-20  4.332030E-28  3.008212E-18  1.311221E-24  1.023818E-24  4.071405E-18  2.448913E-16
 3.605471E-01  2.436199E-13  2.145282E-17  4.586055E-14  1.091681E-19  3.198157E-19  7.155174E-19  2.144671E-18  3.428620E-21  1.038636E-18  2.391073E-22  9.825034E-24  7.844365E-17  1.329511E-18  5.993252E-26  2.509307E-17  6.664674E-23  5.063810E-23  3.730587E-17  1.645614E-15
 4.051305E-01  8.434520E-13  2.567160E-16  1.822766E-13  2.045911E-18  5.244319E-18  1.014390E-17  2.232090E-17  9.974931E-20  1.083463E-17  7.211694E-21  4.453180E-22  5.412821E-16  1.994683E-17  4.794099E-24  1.687096E-16  2.188516E-21  1.622998E-21  2.685631E-16  9.122084E-15
 4.552268E-01  2.584465E-12  2.327864E-15  6.257443E-13  2.763689E-17  6.291307E-17  1.069292E-16  1.828333E-16  1.997043E-18  8.889537E-17  1.490708E-19  1.321328E-20  3.062420E-15  2.216457E-16  2.355369E-22  9.356448E-16  4.872498E-20  3.536426E-20  1.560821E-15  4.257938E-14
 5.115178E-01  7.098817E-12  1.649476E-14  1.886415E-12  2.790082E-16  5.715645E-16  8.660374E-16  1.209436E-15  2.867923E-17  5.887434E-16  2.202242E-18  2.689754E-19  1.452027E-14  1.886107E-15  7.500147E-21  4.369153E-15  7.678005E-19  5.467046E-19  7.502241E-15  1.704436E-13
 5.747694E-01  1.767812E-11  9.386461E-14  5.067897E-12  2.174000E-15  4.055323E-15  5.548896E-15  6.610656E-15  3.065434E-16  3.220778E-15  2.413606E-17  3.916538E-18  5.882317E-14  1.266259E-14  1.623777E-19  1.749596E-14  8.897254E-18  6.228524E-18  3.047094E-14  5.946957E-13
 6.458424E-01  4.031869E-11  4.395485E-13  1.229155E-11  1.345464E-14  2.309507E-14  2.886663E-14  3.047096E-14  2.520265E-15  1.485491E-14  2.028773E-16  4.233686E-17  2.071133E-13  6.887136E-14  2.494207E-18  6.106483E-14  7.844566E-17  5.409473E-17  1.065900E-13  1.834916E-12
 7.257040E-01  8.497685E-11  1.730940E-12  2.722410E-11  6.784898E-14  1.081781E-13  1.247835E-13  1.206068E-13  1.641159E-14  5.882306E-14  1.347166E-15  3.511819E-16  6.434536E-13  3.107156E-13  2.823328E-17  1.884662E-13  5.424500E-16  3.691006E-16  3.266076E-13  5.071363E-12
 8.154407E-01  1.668373E-10  5.844074E-12  5.562390E-11  2.851976E-13  4.259098E-13  4.575517E-13  4.165756E-13  8.688221E-14  2.032390E-13  7.255638E-15  2.302178E-15  1.787647E-12  1.187456E-12  2.436004E-16  5.210094E-13  3.022438E-15  2.032373E-15  8.898564E-13  1.269939E-11
